area,tecnologia,defecto,causa,division,proyecto
SMD,AOI,PCB ABORTADO,MAQUINA,PSAD,HYUNDAI
SMD,AOI,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
SMD,AOI,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,AOI,EXCESO DE PRUEBAS,MANO DE OBRA,PSAD,HYUNDAI
SMD,AOI,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
SMD,AOI,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
SMD,AOI,LIBERACION DE EQUIPO,METODO,PSAD,HYUNDAI
SMD,AOI,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
SMD,AOI,SIN PRUEBA ANTERIOR,MANO DE OBRA,PSAD,HYUNDAI
SMD,AOI,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
SMD,AOI,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASPI,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASPI,LIBERACION DE EQUIPO,METODO,PSAD,HYUNDAI
SMD,ASPI,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
SMD,ASPI,PCB ABORTADO,MAQUINA,PSAD,HYUNDAI
SMD,ASPI,PANEL BARRIDO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASYS,DESPLAZADO,MAQUINA,PSAD,HYUNDAI
SMD,ASYS,PANEL ATORADO,METODO,PSAD,HYUNDAI
SMD,ASYS,PANEL ATORADO,MAQUINA,PSAD,HYUNDAI
SMD,ASYS,PANEL ATORADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASYS,DESPLAZADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASYS,SET UP DE EQUIPO,MAQUINA,PSAD,HYUNDAI
SMD,ASYS,SET UP DE EQUIPO,MANO DE OBRA,PSAD,HYUNDAI
SMD,ASYS,LIBERACION DE EQUIPO,METODO,PSAD,HYUNDAI
SMD,ASYS,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,PANEL ATORADO,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,PANEL ATORADO,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,PANEL ATORADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,PERLAS DE SOLDADURA,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,PERLAS DE SOLDADURA,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MANO DE OBRA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,CORTOS,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,CORTOS,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,CORTOS,MANO DE OBRA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,METODO,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,MAQUINA,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,PROVEEDOR,PSAD,HYUNDAI
SMD,IMPRESION DE PASTA,CONTAMINACION,MANO DE OBRA,PSAD,HYUNDAI
