area,tecnologia,proyecto,,
SMD,AOI INSPECCION,TOYOTA HVAC,,
SMD,CARGADORA,TOYOTA HVAC,,
SMD,CONVEYOR,TOYOTA HVAC,,
SMD,DEK,TOYOTA HVAC,,
SMD,HORNO,TOYOTA HVAC,,
SMD,ICT,TOYOTA HVAC,,
SMD,INSERCION DE CONECTORES,TOYOTA HVAC,,
SMD,SIPLACE,TOYOTA HVAC,,
SMD,AOI INSPECCION,MB BR166,,
SMD,CARGADORA,MB BR166,,
SMD,CONVEYOR,MB BR166,,
SMD,DEK,MB BR166,,
SMD,HORNO,MB BR166,,
SMD,ICT,MB BR166,,
SMD,INSERCION DE CONECTORES,MB BR166,,
SMD,SIPLACE,MB BR166,,
SMD,AOI INSPECCION,HVAC CHRYSLER,,
SMD,CARGADORA,HVAC CHRYSLER,,
SMD,CONVEYOR,HVAC CHRYSLER,,
SMD,DEK,HVAC CHRYSLER,,
SMD,HORNO,HVAC CHRYSLER,,
SMD,ICT,HVAC CHRYSLER,,
SMD,INSERCION DE CONECTORES,HVAC CHRYSLER,,
SMD,SIPLACE,HVAC CHRYSLER,,
SMD,AOI INSPECCION,VW A4,,
SMD,CARGADORA,VW A4,,
SMD,CONVEYOR,VW A4,,
SMD,DEK,VW A4,,
SMD,HORNO,VW A4,,
SMD,ICT,VW A4,,
SMD,INSERCION DE CONECTORES,VW A4,,
SMD,SIPLACE,VW A4,,
