area,tecnologia,defecto,causa,proyecto
SMD,AOI,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE DAÑADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE DAÑADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,EXCESO DE PRUEBAS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,AOI,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,AOI,SIN PRUEBA ANTERIOR,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE ARRANCADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE ARRANCADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE DAÑADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE DAÑADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,EXCESO DE PRUEBAS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,AOI,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,AOI,SIN PRUEBA ANTERIOR,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE ARRANCADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE ARRANCADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE DAÑADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE DAÑADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,EXCESO DE PRUEBAS,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,AOI,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,AOI,SIN PRUEBA ANTERIOR,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE ARRANCADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,AOI,COMPONENTE ARRANCADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PANEL BARRIDO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PANEL BARRIDO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PCB ABORTADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASPI,PANEL BARRIDO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,SET UP DE EQUIPO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,LIBERACION DE EQUIPO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PRUEBA DE INGENIERIA,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,METODO,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MAQUINA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,PANEL ATORADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,DESPLAZADO,MANO DE OBRA,ARAMIS 2010 / 2011 / 2012
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,ARAMIS 2010 / 2011 / 2012
