area;tegnologia;division;proyecto
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;BMW
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;BMW
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;EFLEX
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;EFLEX
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;EPSILON FAMILIA 1
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;EPSILON FAMILIA 1
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;EPSILON FAMILIA 2
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;EPSILON FAMILIA 2
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;EPSILON FAMILIA 3
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;EPSILON FAMILIA 3
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;MB BR 166
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;MB BR 166
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;VOLT
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;VOLT
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;VW A4
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;VW A4
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;VW A6
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;VW A6
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;ID 2;ZUSAT
BACKEND/ENSAMBLE FINAL;EMPAQUE;ID 2;ZUSAT
DIAGNOSTICO ;RETRABAJO;ID 2;BMW
DIAGNOSTICO ;RETRABAJO;ID 2;EFLEX
DIAGNOSTICO ;RETRABAJO;ID 2;EPSILON FAMILIA 1
DIAGNOSTICO ;RETRABAJO;ID 2;EPSILON FAMILIA 2
DIAGNOSTICO ;RETRABAJO;ID 2;EPSILON FAMILIA 3
DIAGNOSTICO ;RETRABAJO;ID 2;MB BR 166
DIAGNOSTICO ;RETRABAJO;ID 2;VOLT
DIAGNOSTICO ;RETRABAJO;ID 2;VW A4
DIAGNOSTICO ;RETRABAJO;ID 2;VW A6
DIAGNOSTICO ;RETRABAJO;ID 2;ZUSAT
SMD;ASYS;ID 2;BMW
SMD;DEK;ID 2;BMW
SMD;SIPLACE;ID 2;BMW
SMD;HORNO DE REFLUJO;ID 2;BMW
SMD;AOI;ID 2;BMW
SMD;DESPANALIZADO ;ID 2;BMW
SMD;DESPANALIZADO;ID 2;BMW
SMD;MOTOR PIN-PRESS;ID 2;BMW
SMD;ICT;ID 2;BMW
SMD;PRUEBA FUNCIONAL;ID 2;BMW
SMD;ASYS;ID 2;EFLEX
SMD;DEK;ID 2;EFLEX
SMD;SIPLACE;ID 2;EFLEX
SMD;HORNO DE REFLUJO;ID 2;EFLEX
SMD;AOI;ID 2;EFLEX
SMD;DESPANALIZADO ;ID 2;EFLEX
SMD;DESPANALIZADO;ID 2;EFLEX
SMD;MOTOR PIN-PRESS;ID 2;EFLEX
SMD;ICT;ID 2;EFLEX
SMD;PRUEBA FUNCIONAL;ID 2;EFLEX
SMD;ASYS;ID 2;EPSILON FAMILIA 1
SMD;DEK;ID 2;EPSILON FAMILIA 1
SMD;SIPLACE;ID 2;EPSILON FAMILIA 1
SMD;HORNO DE REFLUJO;ID 2;EPSILON FAMILIA 1
SMD;AOI;ID 2;EPSILON FAMILIA 1
SMD;DESPANALIZADO ;ID 2;EPSILON FAMILIA 1
SMD;DESPANALIZADO;ID 2;EPSILON FAMILIA 1
SMD;MOTOR PIN-PRESS;ID 2;EPSILON FAMILIA 1
SMD;ICT;ID 2;EPSILON FAMILIA 1
SMD;PRUEBA FUNCIONAL;ID 2;EPSILON FAMILIA 1
SMD;ASYS;ID 2;EPSILON FAMILIA 2
SMD;DEK;ID 2;EPSILON FAMILIA 2
SMD;SIPLACE;ID 2;EPSILON FAMILIA 2
SMD;HORNO DE REFLUJO;ID 2;EPSILON FAMILIA 2
SMD;AOI;ID 2;EPSILON FAMILIA 2
SMD;DESPANALIZADO ;ID 2;EPSILON FAMILIA 2
SMD;DESPANALIZADO;ID 2;EPSILON FAMILIA 2
SMD;MOTOR PIN-PRESS;ID 2;EPSILON FAMILIA 2
SMD;ICT;ID 2;EPSILON FAMILIA 2
SMD;PRUEBA FUNCIONAL;ID 2;EPSILON FAMILIA 2
SMD;ASYS;ID 2;EPSILON FAMILIA 3
SMD;DEK;ID 2;EPSILON FAMILIA 3
SMD;SIPLACE;ID 2;EPSILON FAMILIA 3
SMD;HORNO DE REFLUJO;ID 2;EPSILON FAMILIA 3
SMD;AOI;ID 2;EPSILON FAMILIA 3
SMD;DESPANALIZADO ;ID 2;EPSILON FAMILIA 3
SMD;DESPANALIZADO;ID 2;EPSILON FAMILIA 3
SMD;MOTOR PIN-PRESS;ID 2;EPSILON FAMILIA 3
SMD;ICT;ID 2;EPSILON FAMILIA 3
SMD;PRUEBA FUNCIONAL;ID 2;EPSILON FAMILIA 3
SMD;ASYS;ID 2;MB BR 166
SMD;DEK;ID 2;MB BR 166
SMD;SIPLACE;ID 2;MB BR 166
SMD;HORNO DE REFLUJO;ID 2;MB BR 166
SMD;AOI;ID 2;MB BR 166
SMD;DESPANALIZADO ;ID 2;MB BR 166
SMD;DESPANALIZADO;ID 2;MB BR 166
SMD;MOTOR PIN-PRESS;ID 2;MB BR 166
SMD;ICT;ID 2;MB BR 166
SMD;PRUEBA FUNCIONAL;ID 2;MB BR 166
SMD;ASYS;ID 2;VOLT
SMD;DEK;ID 2;VOLT
SMD;SIPLACE;ID 2;VOLT
SMD;HORNO DE REFLUJO;ID 2;VOLT
SMD;AOI;ID 2;VOLT
SMD;DESPANALIZADO ;ID 2;VOLT
SMD;DESPANALIZADO;ID 2;VOLT
SMD;MOTOR PIN-PRESS;ID 2;VOLT
SMD;ICT;ID 2;VOLT
SMD;PRUEBA FUNCIONAL;ID 2;VOLT
SMD;ASYS;ID 2;VW A4
SMD;DEK;ID 2;VW A4
SMD;SIPLACE;ID 2;VW A4
SMD;HORNO DE REFLUJO;ID 2;VW A4
SMD;AOI;ID 2;VW A4
SMD;DESPANALIZADO ;ID 2;VW A4
SMD;DESPANALIZADO;ID 2;VW A4
SMD;MOTOR PIN-PRESS;ID 2;VW A4
SMD;ICT;ID 2;VW A4
SMD;PRUEBA FUNCIONAL;ID 2;VW A4
SMD;ASYS;ID 2;VW A6
SMD;DEK;ID 2;VW A6
SMD;SIPLACE;ID 2;VW A6
SMD;HORNO DE REFLUJO;ID 2;VW A6
SMD;AOI;ID 2;VW A6
SMD;DESPANALIZADO ;ID 2;VW A6
SMD;DESPANALIZADO;ID 2;VW A6
SMD;MOTOR PIN-PRESS;ID 2;VW A6
SMD;ICT;ID 2;VW A6
SMD;PRUEBA FUNCIONAL;ID 2;VW A6
SMD;ASYS;ID 2;ZUSAT
SMD;DEK;ID 2;ZUSAT
SMD;SIPLACE;ID 2;ZUSAT
SMD;HORNO DE REFLUJO;ID 2;ZUSAT
SMD;AOI;ID 2;ZUSAT
SMD;DESPANALIZADO ;ID 2;ZUSAT
SMD;DESPANALIZADO;ID 2;ZUSAT
SMD;MOTOR PIN-PRESS;ID 2;ZUSAT
SMD;ICT;ID 2;ZUSAT
SMD;PRUEBA FUNCIONAL;ID 2;ZUSAT
