area;tegnologia;linea;dibivision;proyecto
SMD;ASYS;Linea 10;ID 2;BMW
SMD;DEK;Linea 10;ID 2;BMW
SMD;SIPLACE;Linea 10;ID 2;BMW
SMD;HORNO DE REFLUJO;Linea 10;ID 2;BMW
SMD;AOI;Linea 10;ID 2;BMW
SMD;DESPANALIZADO ;Linea 10;ID 2;BMW
SMD;DESPANALIZADO;Linea 10;ID 2;BMW
SMD;MOTOR PIN-PRESS;Linea 10;ID 2;BMW
SMD;ICT;Linea 10;ID 2;BMW
SMD;PRUEBA FUNCIONAL;Linea 10;ID 2;BMW
SMD;ASYS;Linea 1;ID 2;EFLEX
SMD;DEK;Linea 1;ID 2;EFLEX
SMD;SIPLACE;Linea 1;ID 2;EFLEX
SMD;HORNO DE REFLUJO;Linea 1;ID 2;EFLEX
SMD;AOI;Linea 1;ID 2;EFLEX
SMD;DESPANALIZADO ;Linea 1;ID 2;EFLEX
SMD;DESPANALIZADO;Linea 1;ID 2;EFLEX
SMD;MOTOR PIN-PRESS;Linea 1;ID 2;EFLEX
SMD;ICT;Linea 1;ID 2;EFLEX
SMD;PRUEBA FUNCIONAL;Linea 1;ID 2;EFLEX
SMD;ASYS;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;DEK;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;SIPLACE;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;HORNO DE REFLUJO;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;AOI;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;DESPANALIZADO ;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;DESPANALIZADO;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;MOTOR PIN-PRESS;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;ICT;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;PRUEBA FUNCIONAL;Linea 1;ID 2;EPSILON FAMILIA 1
SMD;ASYS;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;DEK;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;SIPLACE;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;HORNO DE REFLUJO;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;AOI;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;DESPANALIZADO ;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;DESPANALIZADO;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;MOTOR PIN-PRESS;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;ICT;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;PRUEBA FUNCIONAL;Linea 1;ID 2;EPSILON FAMILIA 2
SMD;ASYS;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;DEK;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;SIPLACE;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;HORNO DE REFLUJO;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;AOI;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;DESPANALIZADO ;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;DESPANALIZADO;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;MOTOR PIN-PRESS;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;ICT;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;PRUEBA FUNCIONAL;Linea 1;ID 2;EPSILON FAMILIA 3
SMD;ASYS;Linea 10;ID 2;MB BR 166
SMD;DEK;Linea 10;ID 2;MB BR 166
SMD;SIPLACE;Linea 10;ID 2;MB BR 166
SMD;HORNO DE REFLUJO;Linea 10;ID 2;MB BR 166
SMD;AOI;Linea 10;ID 2;MB BR 166
SMD;DESPANALIZADO ;Linea 10;ID 2;MB BR 166
SMD;DESPANALIZADO;Linea 10;ID 2;MB BR 166
SMD;MOTOR PIN-PRESS;Linea 10;ID 2;MB BR 166
SMD;ICT;Linea 10;ID 2;MB BR 166
SMD;PRUEBA FUNCIONAL;Linea 10;ID 2;MB BR 166
SMD;ASYS;Linea 5;ID 2;VOLT
SMD;DEK;Linea 5;ID 2;VOLT
SMD;SIPLACE;Linea 5;ID 2;VOLT
SMD;HORNO DE REFLUJO;Linea 5;ID 2;VOLT
SMD;AOI;Linea 5;ID 2;VOLT
SMD;DESPANALIZADO ;Linea 5;ID 2;VOLT
SMD;DESPANALIZADO;Linea 5;ID 2;VOLT
SMD;MOTOR PIN-PRESS;Linea 5;ID 2;VOLT
SMD;ICT;Linea 5;ID 2;VOLT
SMD;PRUEBA FUNCIONAL;Linea 5;ID 2;VOLT
SMD;ASYS;Linea 9;ID 2;VW A4
SMD;DEK;Linea 9;ID 2;VW A4
SMD;SIPLACE;Linea 9;ID 2;VW A4
SMD;HORNO DE REFLUJO;Linea 9;ID 2;VW A4
SMD;AOI;Linea 9;ID 2;VW A4
SMD;DESPANALIZADO ;Linea 9;ID 2;VW A4
SMD;DESPANALIZADO;Linea 9;ID 2;VW A4
SMD;MOTOR PIN-PRESS;Linea 9;ID 2;VW A4
SMD;ICT;Linea 9;ID 2;VW A4
SMD;PRUEBA FUNCIONAL;Linea 9;ID 2;VW A4
SMD;ASYS;Linea 5;ID 2;VW A6
SMD;DEK;Linea 5;ID 2;VW A6
SMD;SIPLACE;Linea 5;ID 2;VW A6
SMD;HORNO DE REFLUJO;Linea 5;ID 2;VW A6
SMD;AOI;Linea 5;ID 2;VW A6
SMD;DESPANALIZADO ;Linea 5;ID 2;VW A6
SMD;DESPANALIZADO;Linea 5;ID 2;VW A6
SMD;MOTOR PIN-PRESS;Linea 5;ID 2;VW A6
SMD;ICT;Linea 5;ID 2;VW A6
SMD;PRUEBA FUNCIONAL;Linea 5;ID 2;VW A6
SMD;ASYS;Linea 5;ID 2;ZUSAT
SMD;DEK;Linea 5;ID 2;ZUSAT
SMD;SIPLACE;Linea 5;ID 2;ZUSAT
SMD;HORNO DE REFLUJO;Linea 5;ID 2;ZUSAT
SMD;AOI;Linea 5;ID 2;ZUSAT
SMD;DESPANALIZADO ;Linea 5;ID 2;ZUSAT
SMD;DESPANALIZADO;Linea 5;ID 2;ZUSAT
SMD;MOTOR PIN-PRESS;Linea 5;ID 2;ZUSAT
SMD;ICT;Linea 5;ID 2;ZUSAT
SMD;PRUEBA FUNCIONAL;Linea 5;ID 2;ZUSAT
