area;tegnologia;defecto;causa;division;proyecto
SMD;ASYS;CAMBIO DE INGENIERIA ;;MANO DE OBRA;EPSILON FAMILIA 1
SMD;ASYS;COBRE EXPUESTO;;METODO;EPSILON FAMILIA 1
SMD;ASYS;COMPONENTE ARRANCADO;;MAQUINA;EPSILON FAMILIA 1
SMD;ASYS;COMPONENTE FRACTURADO;;MAQUINA;EPSILON FAMILIA 1
SMD;ASYS;CONTAMINACION;;MAQUINA;EPSILON FAMILIA 1
SMD;ASYS;ERROR DE OPERACION ;;MANO DE OBRA;EPSILON FAMILIA 1
SMD;ASYS;INDICE VIEJO ;;MANO DE OBRA;EPSILON FAMILIA 1
SMD;ASYS;MAL MANEJO;;MANO DE OBRA;EPSILON FAMILIA 1
SMD;ASYS;PANEL ABORTADO;;METODO;EPSILON FAMILIA 1
SMD;ASYS;PANEL ATORADO;;MAQUINA;EPSILON FAMILIA 1
SMD;ASYS;PANEL ENCIMADO;;MAQUINA;EPSILON FAMILIA 1
SMD;ASYS;PANEL QUEBRADO;;METODO;EPSILON FAMILIA 1
SMD;ASYS;UNIDAD CAIDA AL PISO;;METODO;EPSILON FAMILIA 1
SMD;ASYS;UNIDAD DAÑADA;;MAQUINA;EPSILON FAMILIA 1
SMD;ASYS;UNIDAD GOLPEADA;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;BARRIDA;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;COBRE EXPUESTO;;MANO DE OBRA;EPSILON FAMILIA 1
SMD;DEK;CONTAMINACION;;METODO;EPSILON FAMILIA 1
SMD;DEK;CORTOS;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX DESPLAZADO ;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX ILEGIBLE;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX INCORRECTO;;METODO;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX MAL IMPRESO;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;FALLA DE VISION ;;MAQUINA;EPSILON FAMILIA 1
SMD;DEK;MAL FLUJO;;MANO DE OBRA;EPSILON FAMILIA 1
SMD;DEK;IMPRESION DESPLAZADA;;MAQUINA;EPSILON FAMILIA 1
