area;tegnologia;defecto;causa;division;proyecto
SMD;ASYS;CAMBIO DE INGENIERIA ;MANO DE OBRA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;COBRE EXPUESTO;METODO;ID 2;EPSILON FAMILIA 1
SMD;ASYS;COMPONENTE ARRANCADO;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;COMPONENTE FRACTURADO;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;CONTAMINACION;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;ERROR DE OPERACION ;MANO DE OBRA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;INDICE VIEJO ;MANO DE OBRA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;MAL MANEJO;MANO DE OBRA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;PANEL ABORTADO;METODO;ID 2;EPSILON FAMILIA 1
SMD;ASYS;PANEL ATORADO;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;PANEL ENCIMADO;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;PANEL QUEBRADO;METODO;ID 2;EPSILON FAMILIA 1
SMD;ASYS;UNIDAD CAIDA AL PISO;METODO;ID 2;EPSILON FAMILIA 1
SMD;ASYS;UNIDAD DAÑADA;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;ASYS;UNIDAD GOLPEADA;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;DEK;BARRIDA;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;DEK;COBRE EXPUESTO;MANO DE OBRA;ID 2;EPSILON FAMILIA 1
SMD;DEK;CONTAMINACION;METODO;ID 2;EPSILON FAMILIA 1
SMD;DEK;CORTOS;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX DESPLAZADO ;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX ILEGIBLE;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX INCORRECTO;METODO;ID 2;EPSILON FAMILIA 1
SMD;DEK;DATA MATRIX MAL IMPRESO;MAQUINA;ID 2;EPSILON FAMILIA 1
SMD;DEK;FALLA DE VISION ;MAQUINA;ID 2;EPSILON FAMILIA 1
