area;tecnologia;division;proyecto
BACKEND/ENSAMBLE FINAL;ATORNILLADO;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;CALIENTE;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;CRIMPING;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;DISPENSADO;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;DOSIFICADO;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;ENSAMBLE DE TAPA;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;HERMETICIDAD;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;PRESS FIT;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;PROGRAMACION;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;PRUEBA FINAL;PE;SIMOS 12.2
BACKEND/ENSAMBLE FINAL;ROOM TEST;PE;SIMOS 12.2
SMD;AOI;PE;SIMOS 12.2
SMD;ASYS;PE;SIMOS 12.2
SMD;DEK;PE;SIMOS 12.2
SMD;DESPANELIZADO;PE;SIMOS 12.2
SMD;DIAGNOSTICO;PE;SIMOS 12.2
SMD;F4;PE;SIMOS 12.2
SMD;FUJI;PE;SIMOS 12.2
SMD;HORNO DE REFLUJO;PE;SIMOS 12.2
SMD;HS 50;PE;SIMOS 12.2
SMD;HS 60;PE;SIMOS 12.2
SMD;ICT;PE;SIMOS 12.2
SMD;LAQUEADO;PE;SIMOS 12.2
SMD;LASER;PE;SIMOS 12.2
SMD;MPM;PE;SIMOS 12.2
SMD;OLA;PE;SIMOS 12.2
SMD;PIN IN PASTE;PE;SIMOS 12.2
SMD;PROGRAMACION;PE;SIMOS 12.2
SMD;S25;PE;SIMOS 12.2
SMD;SIPLACE;PE;SIMOS 12.2
SMD;UNIVERSAL;PE;SIMOS 12.2
SMD;X4;PE;SIMOS 12.2
WHSE;2;PE;SIMOS 12.2
