area,tecnologia,defecto,linea,division,proyecto
SMD,DEK,BARRIDA,Linea I,B&S 2,SKREEM
SMD,DEK,COBRE EXPUESTO,Linea I,B&S 2,SKREEM
SMD,DEK,CONTAMINACION,Linea I,B&S 2,SKREEM
SMD,DEK,CORTO,Linea I,B&S 2,SKREEM
SMD,DEK,FALLA DE VISION,Linea I,B&S 2,SKREEM
SMD,DEK,FLUJO INADECUADO,Linea I,B&S 2,SKREEM
SMD,DEK,INSUFICIENCIA,Linea I,B&S 2,SKREEM
SMD,DEK,PANEL ABORTADO,Linea I,B&S 2,SKREEM
SMD,DEK,PANEL ATORADO,Linea I,B&S 2,SKREEM
SMD,DEK,PANEL ENCIMADO,Linea I,B&S 2,SKREEM
SMD,DEK,PANEL QUEBRADO,Linea I,B&S 2,SKREEM
SMD,DEK,PASTA ALTA,Linea I,B&S 2,SKREEM
SMD,DEK,BARRIDA,Linea O,B&S 2,SKREEM
SMD,DEK,COBRE EXPUESTO,Linea O,B&S 2,SKREEM
SMD,DEK,CONTAMINACION,Linea O,B&S 2,SKREEM
SMD,DEK,CORTO,Linea O,B&S 2,SKREEM
SMD,DEK,FALLA DE VISION,Linea O,B&S 2,SKREEM
SMD,DEK,FLUJO INADECUADO,Linea O,B&S 2,SKREEM
SMD,DEK,INSUFICIENCIA,Linea O,B&S 2,SKREEM
SMD,DEK,PANEL ABORTADO,Linea O,B&S 2,SKREEM
SMD,DEK,PANEL ATORADO,Linea O,B&S 2,SKREEM
SMD,DEK,PANEL ENCIMADO,Linea O,B&S 2,SKREEM
SMD,DEK,PANEL QUEBRADO,Linea O,B&S 2,SKREEM
SMD,DEK,PASTA ALTA,Linea O,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,BARRIDA,Linea I,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,COBRE EXPUESTO,Linea I,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,COMPONENTE ELEVADO,Linea I,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,COMPONENTE FRACTURADO,Linea I,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,CONTAMINACION,Linea I,B&S 2,SKREEM
SMD,HORNO DE REFLUJO,CORTO,Linea I,B&S 2,SKREEM
