area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Carcasa Dañada,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Carcasa Dañada,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Carcasa Dañada,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Carcasa Dañada,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Cobre Expuesto,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Cobre Expuesto,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Componente Dañado/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Componente Dañado/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Material Obsoleto,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Pruebas De Ingenieria,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Set Up De Equipo,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Subensamble Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Subensamble Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Tapa Dañada,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Tapa Dañada,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Tapa Dañada,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Tapa Dañada,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Unidad Caida Al Piso,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,Unidad Caida Al Piso,METODO,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Componente Arrancado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Componente Arrancado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Componente Dañado/Golpeado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Componente Dañado/Golpeado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Conector Dañado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Conector Dañado,MAQUINA,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Conector Dañado,Proveedor,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Conector Manchado,Mano De Obra,PSAD,DAIMLER STAR 2
BACKEND/ENSAMBLE FINAL,Dta,Conector Manchado,MAQUINA,PSAD,DAIMLER STAR 2
