area,tecnologia,defecto,causa,division,proyecto,,,,,,
WHSE,014,CADUCO,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,CADUCO,METODO,PE,B299,,,,,,
WHSE,014,CADUCO,PROVEEDOR,PE,B299,,,,,,
WHSE,014,CAMBIO DE INGENIERIA,METODO,PE,B299,,,,,,
WHSE,014,DAÑADO,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,DAÑADO,METODO,PE,B299,,,,,,
WHSE,014,DAÑADO,PROVEEDOR,PE,B299,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,METODO,PE,B299,,,,,,
WHSE,014,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,B299,,,,,,
WHSE,014,DERRAME,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,DERRAME,METODO,PE,B299,,,,,,
WHSE,014,DERRAME,PROVEEDOR,PE,B299,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,METODO,PE,B299,,,,,,
WHSE,014,DERRAME POR TRANSPORTE,PROVEEDOR,PE,B299,,,,,,
WHSE,014,GOLPEADO,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,GOLPEADO,METODO,PE,B299,,,,,,
WHSE,014,GOLPEADO,PROVEEDOR,PE,B299,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,MAL MANEJO DE ALMACEN,METODO,PE,B299,,,,,,
WHSE,014,MATERIAL DAÑADO,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,MATERIAL DAÑADO,METODO,PE,B299,,,,,,
WHSE,014,MATERIAL DAÑADO,PROVEEDOR,PE,B299,,,,,,
WHSE,014,MOJADO,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,MOJADO,METODO,PE,B299,,,,,,
WHSE,014,MOJADO,PROVEEDOR,PE,B299,,,,,,
WHSE,014,OBSOLETO,MANO DE OBRA,PE,B299,,,,,,
WHSE,014,OBSOLETO,METODO,PE,B299,,,,,,
WHSE,014,SOBRE INVENTARIO,METODO,PE,B299,,,,,,
WHSE,015,CADUCO,MANO DE OBRA,PE,B299,,,,,,
WHSE,015,CADUCO,METODO,PE,B299,,,,,,
WHSE,015,CADUCO,PROVEEDOR,PE,B299,,,,,,
WHSE,015,CAMBIO DE INGENIERIA,METODO,PE,B299,,,,,,
WHSE,015,DAÑADO,MANO DE OBRA,PE,B299,,,,,,
WHSE,015,DAÑADO,METODO,PE,B299,,,,,,
WHSE,015,DAÑADO,PROVEEDOR,PE,B299,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,METODO,PE,B299,,,,,,
WHSE,015,DAÑADO POR TRANSPORTE,PROVEEDOR,PE,B299,,,,,,
WHSE,015,DERRAME,MANO DE OBRA,PE,B299,,,,,,
WHSE,015,DERRAME,METODO,PE,B299,,,,,,
WHSE,015,DERRAME,PROVEEDOR,PE,B299,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,MANO DE OBRA,PE,B299,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,METODO,PE,B299,,,,,,
WHSE,015,DERRAME POR TRANSPORTE,PROVEEDOR,PE,B299,,,,,,
WHSE,015,GOLPEADO,MANO DE OBRA,PE,B299,,,,,,
