area,tecnologia,division,proyecto,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,ICT,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,POTTING,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,PRESSFIT,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,ROLL OVER,PSAD,Star2_ISC,,
BACKEND/ENSAMBLE FINAL,SAWING,PSAD,Star2_ISC,,
SMD,AOI,PSAD,Star2_ISC,,
SMD,ASPI,PSAD,Star2_ISC,,
SMD,ASYS,PSAD,Star2_ISC,,
SMD,HORNO,PSAD,Star2_ISC,,
SMD,IMPRESION DE PASTA,PSAD,Star2_ISC,,
SMD,LASER,PSAD,Star2_ISC,,
SMD,SIPLACE,PSAD,Star2_ISC,,
,,,,,
