area,tecnologia,defecto,causa,division,proyecto,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Carcasa Dañada,METODO,PSAD,GM BRASIL,,#NAME?
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Cobre Expuesto,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Componente Arrancado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Componente Dañado/Golpeado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Material Obsoleto,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Set Up De Equipo,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Subensamble Dañado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Tapa Dañada,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Atornillado Automatico,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,BRANSON,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,DATA MATRIX,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Dta,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Componente Dañado/Golpeado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Material Obsoleto,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Pines De Conector Sumidos,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Serial Duplicado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Empaque,Unidad Golpeada/Dañada,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Componentes Arrancados,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Componentes Dañados/Golpeado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Exceso De Pruebas,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Material Obsoleto,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Sin Prueba Anterior,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Unidad Caída Al Piso,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Ict,Unidad Dañada Por Equipo -Eos,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,KITTING,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,LAQUEADORA,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,PREFORME,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,PRODEL,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Conector Dañado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Exceso De Pruebas,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Material Obsoleto,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Muestra De Oro Obsoleta,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Pines De Conector Sumidos,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Set Up De Equipo,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Prueba Final,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Sawing,Componentes Arrancados,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Sawing,Componentes Dañados/Golpeado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Sawing,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Sawing,Pcb Mal Cortado,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,Sawing,Unidad Caída Al Piso,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,SOLDADURA OLA,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
BACKEND/ENSAMBLE FINAL,WELDING,FALLA DE EQUIPO,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Componente Arrancado,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Componente Dañado (Golpeado),METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Exceso De Pruebas,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Pcb Abortado,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Pruebas De Ingeniería,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Sin Prueba Anterior,METODO,PSAD,GM BRASIL,,
PTH,Aoi de Ola,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Componente Arrancado,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Componente fracturado,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Conector fracturado,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Conector quemado,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Cortos lado BOTTOM,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Cortos lado TOP,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Insuficiencia de Soldadura,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,PCB delaminado,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Pin Sin soldar,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Poros de Soldadura,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Pruebas De Ingeniería,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Soldadura sobre PCB,METODO,PSAD,GM BRASIL,,
PTH,Soldadura de Ola,Unidad Caída Al Piso,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Componente Arrancado,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Componente Dañado (Golpeado),METODO,PSAD,GM BRASIL,,
SMD,Aoi,Exceso De Pruebas,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Pcb Abortado,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Pruebas De Ingeniería,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Sin Prueba Anterior,METODO,PSAD,GM BRASIL,,
SMD,Aoi,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
SMD,Aspi,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Aspi,Pánel Barrido,METODO,PSAD,GM BRASIL,,
SMD,Aspi,Pcb Abortado,METODO,PSAD,GM BRASIL,,
SMD,Aspi,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
SMD,Aspi,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
SMD,Asys,Desplazado,METODO,PSAD,GM BRASIL,,
SMD,Asys,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Asys,Panel Atorado,METODO,PSAD,GM BRASIL,,
SMD,Asys,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
SMD,Asys,Set Up Equipo,METODO,PSAD,GM BRASIL,,
SMD,Asys,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
SMD,Horno,Componente Arrancado,METODO,PSAD,GM BRASIL,,
SMD,Horno,Componente Dañado (Golpeado),METODO,PSAD,GM BRASIL,,
SMD,Horno,Componente De Canto (De Lado),METODO,PSAD,GM BRASIL,,
SMD,Horno,Componente Faltante,METODO,PSAD,GM BRASIL,,
SMD,Horno,Contaminación,METODO,PSAD,GM BRASIL,,
SMD,Horno,Cortos /Puente De Soldadura,METODO,PSAD,GM BRASIL,,
SMD,Horno,Desplazado,METODO,PSAD,GM BRASIL,,
SMD,Horno,Insuficiencia De Soldadura Lado A,METODO,PSAD,GM BRASIL,,
SMD,Horno,Insuficiencia De Soldadura Lado B,METODO,PSAD,GM BRASIL,,
SMD,Horno,Liberación De Equipo,METODO,PSAD,GM BRASIL,,
SMD,Horno,Panel Atorado,METODO,PSAD,GM BRASIL,,
SMD,Horno,Pcb Abortado,METODO,PSAD,GM BRASIL,,
SMD,Horno,Perlas De Soldadura,METODO,PSAD,GM BRASIL,,
SMD,Horno,Pruebas De Ingenieria,METODO,PSAD,GM BRASIL,,
SMD,Horno,Sin Prueba Anterior,METODO,PSAD,GM BRASIL,,
SMD,Horno,Soldadura Porosa,METODO,PSAD,GM BRASIL,,
SMD,Horno,Tombstone,METODO,PSAD,GM BRASIL,,
SMD,Horno,Unidad Caida Al Piso,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Contaminación,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Cortos /Puente De Soldadura,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Exceso De Soldadura,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Insuficiencia De Soldadura Lado A,METODO,PSAD,GM BRASIL,,
SMD,Impresion De Pasta,Insuficiencia De Soldadura Lado B,METODO,PSAD,GM BRASIL,,
