area,tecnologia,defecto,division,causa,proyecto,division
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANALIZADAS SIN DATOS DE AOI,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANALIZADAS,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANALIZADAS,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL DESPANALIZADAS,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SIN INTERLOCKING,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD DAÑADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD CAIDA AL PISO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET BARRIDO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET BARRIDO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET MANCHADO,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET MANCHADO,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET MANCHADO,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CAMBIO DE INGENIERIA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CAMBIO DE INGENIERIA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CAMBIO DE INGENIERIA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA QUEBRADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA QUEBRADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA RAYADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CARCASA RAYADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,UINIDAD DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,UINIDAD DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA ABIERTA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA ABIERTA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA ABIERTA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA QUEBRADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA QUEBRADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA QUEBRADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,B&S,PROVEEDOR,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCAZA DAÑADA,B&S,MANO DE OBRA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCAZA DAÑADA,B&S,MAQUINA,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCAZA DAÑADA,B&S,METODO,BCM,B&S
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,ETIQUETA MAL IMPRESA,B&S,MANO DE OBRA,BCM,B&S
