division,segmento,profit_center,proyecto,codigo_scrap,orden_interna,,
B&S,OES,30301-056,CD338,010-3,95000129,,
B&S,OES,30301-056,CD338,010-4,95000129,,
B&S,OES,30301-056,CD338,010-5,95000129,,
B&S,OES,30301-056,CD338,010-6,95000129,,
B&S,OES,30301-056,CD338,012-1,95000129,,
B&S,OES,30301-056,CD338,013-1,95000129,,
B&S,OES,30301-056,CSM,010-3,95000130,,
B&S,OES,30301-056,CSM,010-4,95000130,,
B&S,OES,30301-056,CSM,010-5,95000130,,
B&S,OES,30301-056,CSM,010-6,95000130,,
B&S,OES,30301-056,CSM,012-1,95000130,,
B&S,OES,30301-056,CSM,013-1,95000130,,
B&S,OES,30301-056,D219 IIC,010-3,95000131,,
B&S,OES,30301-056,D219 IIC,010-4,95000131,,
B&S,OES,30301-056,D219 IIC,010-5,95000131,,
B&S,OES,30301-056,D219 IIC,010-6,95000131,,
B&S,OES,30301-056,D219 IIC,012-1,95000131,,
B&S,OES,30301-056,D219 IIC,013-1,95000131,,
B&S,OES,30301-056,HONDA WL,010-3,95000116,,
B&S,OES,30301-056,HONDA WL,010-4,95000116,,
B&S,OES,30301-056,HONDA WL,010-5,95000116,,
B&S,OES,30301-056,HONDA WL,010-6,95000116,,
B&S,OES,30301-056,HONDA WL,012-1,95000116,,
B&S,OES,30301-056,HONDA WL,013-1,95000116,,
B&S,OES,30301-056,P221,010-3,95000132,,
B&S,OES,30301-056,P221,010-4,95000132,,
B&S,OES,30301-056,P221,010-5,95000132,,
B&S,OES,30301-056,P221,010-6,95000132,,
B&S,OES,30301-056,P221,012-1,95000132,,
B&S,OES,30301-056,P221,013-1,95000132,,
B&S,OES,30301-056,PATS MODULE,010-3,95000133,,
B&S,OES,30301-056,PATS MODULE,010-4,95000133,,
B&S,OES,30301-056,PATS MODULE,010-5,95000133,,
B&S,OES,30301-056,PATS MODULE,010-6,95000133,,
B&S,OES,30301-056,PATS MODULE,012-1,95000133,,
B&S,OES,30301-056,PATS MODULE,013-1,95000133,,
B&S,OES,30301-056,TPMR,010-3,95000134,,
B&S,OES,30301-056,TPMR,010-4,95000134,,
B&S,OES,30301-056,TPMR,010-5,95000134,,
B&S,OES,30301-056,TPMR,010-6,95000134,,
B&S,OES,30301-056,TPMR,012-1,95000134,,
B&S,OES,30301-056,TPMR,013-1,95000134,,
B&S,S1,30301-004,ABM,010-3,95000011,,
B&S,S1,30301-004,ABM,010-4,95000011,,
B&S,S1,30301-004,ABM,010-5,95000011,,
B&S,S1,30301-004,ABM,010-6,95000011,,
B&S,S1,30301-004,ABM,012-1,95000011,,
B&S,S1,30301-004,ABM,013-1,95000011,,
B&S,S1,30301-004,EZKEY,010-3,95000008,,
B&S,S1,30301-004,EZKEY,010-4,95000008,,
B&S,S1,30301-004,EZKEY,010-5,95000008,,
B&S,S1,30301-004,EZKEY,010-6,95000008,,
B&S,S1,30301-004,EZKEY,012-1,95000008,,
B&S,S1,30301-004,EZKEY,013-1,95000008,,
B&S,S1,30301-004,GLOBAL A,010-3,95000010,,
B&S,S1,30301-004,GLOBAL A,010-4,95000010,,
B&S,S1,30301-004,GLOBAL A,010-5,95000010,,
B&S,S1,30301-004,GLOBAL A,010-6,95000010,,
B&S,S1,30301-004,GLOBAL A,012-1,95000010,,
B&S,S1,30301-004,GLOBAL A,013-1,95000010,,
B&S,S1,30301-004,GM RKE,010-3,95000009,,
B&S,S1,30301-004,GM RKE,010-4,95000009,,
B&S,S1,30301-004,GM RKE,010-5,95000009,,
B&S,S1,30301-004,GM RKE,010-6,95000009,,
B&S,S1,30301-004,GM RKE,012-1,95000009,,
B&S,S1,30301-004,GM RKE,013-1,95000009,,
B&S,S1,30301-004,PATS,010-3,95000012,,
B&S,S1,30301-004,PATS,010-4,95000012,,
B&S,S1,30301-004,PATS,010-5,95000012,,
B&S,S1,30301-004,PATS,010-6,95000012,,
B&S,S1,30301-004,PATS,012-1,95000012,,
B&S,S1,30301-004,PATS,013-1,95000012,,
B&S,S1,30301-004,PEPS,010-3,95000014,,
B&S,S1,30301-004,PEPS,010-4,95000014,,
B&S,S1,30301-004,PEPS,010-5,95000014,,
B&S,S1,30301-004,PEPS,010-6,95000014,,
B&S,S1,30301-004,PEPS,012-1,95000014,,
B&S,S1,30301-004,PEPS,013-1,95000014,,
B&S,S1,30301-004,PEPS PK MY13,010-3,95000013,,
B&S,S1,30301-004,PEPS PK MY13,010-4,95000013,,
B&S,S1,30301-004,PEPS PK MY13,010-5,95000013,,
B&S,S1,30301-004,PEPS PK MY13,010-6,95000013,,
B&S,S1,30301-004,PEPS PK MY13,012-1,95000013,,
B&S,S1,30301-004,PEPS PK MY13,013-1,95000013,,
B&S,S1,30301-004,TIS1C127 GM,010-3,95000019,,
B&S,S1,30301-004,TIS1C127 GM,010-4,95000019,,
B&S,S1,30301-004,TIS1C127 GM,010-5,95000019,,
B&S,S1,30301-004,TIS1C127 GM,010-6,95000019,,
B&S,S1,30301-004,TIS1C127 GM,012-1,95000019,,
B&S,S1,30301-004,TIS1C127 GM,013-1,95000019,,
B&S,S2,30301-011,BCM,010-3,95000031,,
B&S,S2,30301-011,BCM,010-4,95000031,,
B&S,S2,30301-011,BCM,010-5,95000031,,
B&S,S2,30301-011,BCM,010-6,95000031,,
B&S,S2,30301-011,BCM,012-1,95000031,,
B&S,S2,30301-011,BCM,013-1,95000031,,
B&S,S2,30301-011,BCM SQUARE D,010-3,95000032,,
B&S,S2,30301-011,BCM SQUARE D,010-4,95000032,,
B&S,S2,30301-011,BCM SQUARE D,010-5,95000032,,
B&S,S2,30301-011,BCM SQUARE D,010-6,95000032,,
B&S,S2,30301-011,BCM SQUARE D,012-1,95000032,,
B&S,S2,30301-011,BCM SQUARE D,013-1,95000032,,
B&S,S2,30301-011,FOB READER,010-3,95000025,,
B&S,S2,30301-011,FOB READER,010-4,95000025,,
B&S,S2,30301-011,FOB READER,010-5,95000025,,
B&S,S2,30301-011,FOB READER,010-6,95000025,,
B&S,S2,30301-011,FOB READER,012-1,95000025,,
B&S,S2,30301-011,FOB READER,013-1,95000025,,
B&S,S2,30301-011,KEY FOB,010-3,95000026,,
B&S,S2,30301-011,KEY FOB,010-4,95000026,,
B&S,S2,30301-011,KEY FOB,010-5,95000026,,
B&S,S2,30301-011,KEY FOB,010-6,95000026,,
B&S,S2,30301-011,KEY FOB,012-1,95000026,,
B&S,S2,30301-011,KEY FOB,013-1,95000026,,
B&S,S2,30301-011,NIMOCO RECEIVER NISZZDIVRE,010-3,95000030,,
B&S,S2,30301-011,NIMOCO RECEIVER NISZZDIVRE,010-4,95000030,,
B&S,S2,30301-011,NIMOCO RECEIVER NISZZDIVRE,010-5,95000030,,
B&S,S2,30301-011,NIMOCO RECEIVER NISZZDIVRE,010-6,95000030,,
B&S,S2,30301-011,NIMOCO RECEIVER NISZZDIVRE,012-1,95000030,,
B&S,S2,30301-011,NIMOCO RECEIVER NISZZDIVRE,013-1,95000030,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,010-3,95000028,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,010-4,95000028,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,010-5,95000028,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,010-6,95000028,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,012-1,95000028,,
B&S,S2,30301-011,NISSAN KEY FOB SQUARE D,013-1,95000028,,
B&S,S2,30301-011,NISSAN STEPS,010-3,95000027,,
B&S,S2,30301-011,NISSAN STEPS,010-4,95000027,,
B&S,S2,30301-011,NISSAN STEPS,010-5,95000027,,
B&S,S2,30301-011,NISSAN STEPS,010-6,95000027,,
B&S,S2,30301-011,NISSAN STEPS,012-1,95000027,,
B&S,S2,30301-011,NISSAN STEPS,013-1,95000027,,
B&S,S2,30301-011,RF TUNER,010-3,95000029,,
B&S,S2,30301-011,RF TUNER,010-4,95000029,,
B&S,S2,30301-011,RF TUNER,010-5,95000029,,
B&S,S2,30301-011,RF TUNER,010-6,95000029,,
B&S,S2,30301-011,RF TUNER,012-1,95000029,,
B&S,S2,30301-011,RF TUNER,013-1,95000029,,
B&S,S4,30301-023,PQ GATEWAY,010-3,95000061,,
B&S,S4,30301-023,PQ GATEWAY,010-4,95000061,,
B&S,S4,30301-023,PQ GATEWAY,010-5,95000061,,
B&S,S4,30301-023,PQ GATEWAY,010-6,95000061,,
B&S,S4,30301-023,PQ GATEWAY,012-1,95000061,,
B&S,S4,30301-023,PQ GATEWAY,013-1,95000061,,
B&S,S4,30301-023,PQ25,010-3,95000060,,
B&S,S4,30301-023,PQ25,010-4,95000060,,
B&S,S4,30301-023,PQ25,010-5,95000060,,
B&S,S4,30301-023,PQ25,010-6,95000060,,
B&S,S4,30301-023,PQ25,012-1,95000060,,
B&S,S4,30301-023,PQ25,013-1,95000060,,
B&S,S4,30301-023,PQ35,010-3,95000059,,
B&S,S4,30301-023,PQ35,010-4,95000059,,
B&S,S4,30301-023,PQ35,010-5,95000059,,
B&S,S4,30301-023,PQ35,010-6,95000059,,
B&S,S4,30301-023,PQ35,012-1,95000059,,
B&S,S4,30301-023,PQ35,013-1,95000059,,
B&S,S4,30301-023,PQ35 5TA GEN,010-3,95000062,,
B&S,S4,30301-023,PQ35 5TA GEN,010-4,95000062,,
B&S,S4,30301-023,PQ35 5TA GEN,010-5,95000062,,
B&S,S4,30301-023,PQ35 5TA GEN,010-6,95000062,,
B&S,S4,30301-023,PQ35 5TA GEN,012-1,95000062,,
B&S,S4,30301-023,PQ35 5TA GEN,013-1,95000062,,
B&S,S5,30301-014,ACURA TX4 TX6,010-3,95000040,,
B&S,S5,30301-014,ACURA TX4 TX6,010-4,95000040,,
B&S,S5,30301-014,ACURA TX4 TX6,010-5,95000040,,
B&S,S5,30301-014,ACURA TX4 TX6,010-6,95000040,,
B&S,S5,30301-014,ACURA TX4 TX6,012-1,95000040,,
B&S,S5,30301-014,ACURA TX4 TX6,013-1,95000040,,
B&S,S5,30301-014,ECU TX4 TX6,010-3,95000039,,
B&S,S5,30301-014,ECU TX4 TX6,010-4,95000039,,
B&S,S5,30301-014,ECU TX4 TX6,010-5,95000039,,
B&S,S5,30301-014,ECU TX4 TX6,010-6,95000039,,
B&S,S5,30301-014,ECU TX4 TX6,012-1,95000039,,
B&S,S5,30301-014,ECU TX4 TX6,013-1,95000039,,
B&S,S5,30301-014,FOBS TX4 TX6,010-3,95000041,,
B&S,S5,30301-014,FOBS TX4 TX6,010-4,95000041,,
B&S,S5,30301-014,FOBS TX4 TX6,010-5,95000041,,
B&S,S5,30301-014,FOBS TX4 TX6,010-6,95000041,,
B&S,S5,30301-014,FOBS TX4 TX6,012-1,95000041,,
B&S,S5,30301-014,FOBS TX4 TX6,013-1,95000041,,
B&S,S5,30301-014,TIS1C127 HMC,010-3,95000053,,
B&S,S5,30301-014,TIS1C127 HMC,010-4,95000053,,
B&S,S5,30301-014,TIS1C127 HMC,010-5,95000053,,
B&S,S5,30301-014,TIS1C127 HMC,010-6,95000053,,
B&S,S5,30301-014,TIS1C127 HMC,012-1,95000053,,
B&S,S5,30301-014,TIS1C127 HMC,013-1,95000053,,
B&S,S6,30301-004,KWANG JIN,010-3,95000005,,
B&S,S6,30301-004,KWANG JIN,010-4,95000005,,
B&S,S6,30301-004,KWANG JIN,010-5,95000005,,
B&S,S6,30301-004,KWANG JIN,010-6,95000005,,
B&S,S6,30301-004,KWANG JIN,012-1,95000005,,
B&S,S6,30301-004,KWANG JIN,013-1,95000005,,
B&S,S6,30301-065,ESCL,010-3,95000064,,
B&S,S6,30301-065,ESCL,010-4,95000064,,
B&S,S6,30301-065,ESCL,010-5,95000064,,
B&S,S6,30301-065,ESCL,010-6,95000064,,
B&S,S6,30301-065,ESCL,012-1,95000064,,
B&S,S6,30301-065,ESCL,013-1,95000064,,
B&S,S6,30301-065,WEBASTO,010-3,95000063,,
B&S,S6,30301-065,WEBASTO,010-4,95000063,,
B&S,S6,30301-065,WEBASTO,010-5,95000063,,
B&S,S6,30301-065,WEBASTO,010-6,95000063,,
B&S,S6,30301-065,WEBASTO,012-1,95000063,,
B&S,S6,30301-065,WEBASTO,013-1,95000063,,
B&S 2,OES,30301-056,SKIM,010-3,95000135,,
B&S 2,OES,30301-056,SKIM,010-4,95000135,,
B&S 2,OES,30301-056,SKIM,010-5,95000135,,
B&S 2,OES,30301-056,SKIM,010-6,95000135,,
B&S 2,OES,30301-056,SKIM,012-1,95000135,,
B&S 2,OES,30301-056,SKIM,013-1,95000135,,
B&S 2,S1,30301-004,CORPORATE,010-3,95000194,,
B&S 2,S1,30301-004,CORPORATE,010-4,95000194,,
B&S 2,S1,30301-004,CORPORATE,010-5,95000194,,
B&S 2,S1,30301-004,CORPORATE,010-6,95000194,,
B&S 2,S1,30301-004,CORPORATE,012-1,95000194,,
B&S 2,S1,30301-004,CORPORATE,013-1,95000194,,
B&S 2,S1,30301-004,CUSW,010-3,95000017,,
B&S 2,S1,30301-004,CUSW,010-4,95000017,,
B&S 2,S1,30301-004,CUSW,010-5,95000017,,
B&S 2,S1,30301-004,CUSW,010-6,95000017,,
B&S 2,S1,30301-004,CUSW,012-1,95000017,,
B&S 2,S1,30301-004,CUSW,013-1,95000017,,
B&S 2,S1,30301-004,IGNM CUSW,010-3,95000022,,
B&S 2,S1,30301-004,IGNM CUSW,010-4,95000022,,
B&S 2,S1,30301-004,IGNM CUSW,010-5,95000022,,
B&S 2,S1,30301-004,IGNM CUSW,010-6,95000022,,
B&S 2,S1,30301-004,IGNM CUSW,012-1,95000022,,
B&S 2,S1,30301-004,IGNM CUSW,013-1,95000022,,
