area,tecnologia,Linea,division,proyecto,,,,,,,,BACKEND/ENSAMBLE FINAL,PARTES A,PSAD,BOSE BMW
BACKEND/ENSAMBLE FINAL,PARTES A,ACCORD 00,PSAD,ACCORD,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ACCORD 01,PSAD,ACCORD,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ACCORD 02,PSAD,ACCORD,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ACCORD 08,PSAD,ACCORD,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ADSCS,PSAD,ADSCS,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ARAMIS 2010,PSAD,ARAMIS 2010,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ARAMIS 2011,PSAD,ARAMIS 2011,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ARAMIS 2012,PSAD,ARAMIS 2012,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,Aramis I,PSAD,ARAMIS I,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,ARAMIS II MCG,PSAD,ARAMIS II MCG,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,Aramis III,PSAD,ARAMIS III,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,BOSE BMW,PSAD,BOSE BMW,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,BOSE VW,PSAD,BOSE VW,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,CHRYSLER MY2013,PSAD,CHRYSLER MY2013,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,D3,PSAD,D3,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,DAIMLER STAR 2,PSAD,DAIMLER STAR 2,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,Speed,PSAD,DAIMLER STAR2_ISC,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,EPS,PSAD,EPS,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,EPSILON,PSAD,EPSILON,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,EPSILON MYO5,PSAD,EPSILON,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,EPSILON MYO6,PSAD,EPSILON,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,EPSILON MYO7,PSAD,EPSILON,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,FIAT BRAZIL,PSAD,FIAT BRAZIL,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,FORD,PSAD,FORD,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,GM BRASIL,PSAD,GM BRASIL,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,HONDA ACCORD,PSAD,HONDA ACCORD,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,HONDA CR-V HE,PSAD,HONDA CR-V HE,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,HONDA CR-V MC,PSAD,HONDA CR-V MC,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,HONDA HRS5,PSAD,HONDA HRS5,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,HONDA HRS6,PSAD,HONDA HRS6,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,HYUNDAI,PSAD,HYUNDAI,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,OCS NISSAN,PSAD,OCS NISSAN,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,OCS SUZUKI,PSAD,OCS SUZUKI,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,VW10,PSAD,VW10 LC,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,VW10 LC,PSAD,VW10 LC,,,,,,,,,,,
BACKEND/ENSAMBLE FINAL,PARTES A,VW20,PSAD,VW20,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
