area,tecnologia,defecto ,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ACCORD
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ADSCS
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS 2010
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS 2011
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS 2012
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS 2013
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS I
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS II MCG
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,ARAMIS III
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,BOSE BMW
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,BOSE VW
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,CHRYSLER MY2013
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,D3
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,DAIMLER STAR2
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,EPS
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,EPSILON
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,FIAT BRAZIL
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,FORD
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,GM BRASIL
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,HONDA ACCORD
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,HONDA CR-V HE
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,HONDA HRS5
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,HONDA HRS6
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,HONDA CR-V MC
BACKEND/ENSAMBLE FINAL,PARTES A,FALLA DE EQUIPO,MANO DE OBRA,PSAD,HYUNDAI
