area,tecnologia,Linea,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,DTA,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,EMPAQUE,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,ENSAMBLES DE CARCAZA,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE LOGO,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,HEAD STAKE,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,ICT,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,LAQUEADO,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,OLA,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,PINTADO DE BOTON,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,POTTING,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,PREFORMADO,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,PRESSFIT,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,PRODEL,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,PROGRAMING,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,ROLL OVER,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,SAFE LUNCH,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,SHAKER,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,SOLDADURA DE OLA,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,ULTRASONIDO,HONDA,PSAD,HONDA
BACKEND/ENSAMBLE FINAL,VISION Y ENSAMBLE DE PILA,HONDA,PSAD,HONDA
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
