Area,Tecnologia,Division,Proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ICT,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,LAQUEADO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,PRESSFIT,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,SAWING,PSAD,RENAULT
SMD,AOI,PSAD,RENAULT
SMD,ASPI,PSAD,RENAULT
SMD,ASYS,PSAD,RENAULT
SMD,HORNO,PSAD,RENAULT
SMD,IMPRESION DE PASTA,PSAD,RENAULT
SMD,LASER,PSAD,RENAULT
SMD,SIPLACE,PSAD,RENAULT
