area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,BIDIR FOB HONDA MY14 ,B&S 3,BIDIR FOB HONDA MY14 
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,BIDIR FOB HONDA MY14 ,B&S 3,BIDIR FOB HONDA MY14 
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,BIDIR FOB HONDA MY14 ,B&S 3,BIDIR FOB HONDA MY14 
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,BIDIR FOB HONDA MY14 ,B&S 3,BIDIR FOB HONDA MY14 
BACKEND/ENSAMBLE FINAL,ENSAMBLE,FOB HONDA MY14,B&S 3,FOB HONDA MY14
BACKEND/ENSAMBLE FINAL,ENSAMBLE,FOB HONDA MY14,B&S 3,FOB HONDA MY14
BACKEND/ENSAMBLE FINAL,ENSAMBLE,FOB HONDA MY14,B&S 3,FOB HONDA MY14
BACKEND/ENSAMBLE FINAL,ENSAMBLE,FOB HONDA MY14,B&S 3,FOB HONDA MY14
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,PCU HONDA MY14,B&S 3,PCU HONDA MY14
BACKEND/ENSAMBLE FINAL,ROUTER,PQ25 LP3,B&S,PQ25 LP3
BACKEND/ENSAMBLE FINAL,ROUTER,PQ25 LP3,B&S,PQ25 LP3
BACKEND/ENSAMBLE FINAL,Insercion de Pines (Eberhard),PQ25 LP3,B&S,PQ25 LP3
BACKEND/ENSAMBLE FINAL,ROUTER,PQ35 6ta Gen,B&S,PQ35 6ta Gen
SMD,SIPLACE,PQ35 6ta Gen,B&S,PQ35 6ta Gen
