area,tecnologia,defecto,causa,division,proyecto,,,,,
SMD,DEK,BARRIDA,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,CONTAMINACION,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,CORTOS,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,EXCESO DE SOLDADURA,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,FLUJO INADECUADO,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,INSUFICIENCIAS,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,MAL MANEJO,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PANEL ABORTADO,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PANEL ATORADO,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PASTA DESPLAZADA,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,UNIDAD GOLPEADA,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PASTA ALTA,MAQUINA,B&S 2,PASE FOB CUSW,,,,, 
SMD,DEK,SET UP,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,UNIDAD CAIDA,MAQUINA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,BARRIDA,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,CONTAMINACION,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,CORTOS,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,EXCESO DE SOLDADURA,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,FLUJO INADECUADO,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,INSUFICIENCIAS,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,MAL MANEJO,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PANEL ABORTADO,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PANEL ATORADO,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PASTA DESPLAZADA,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,UNIDAD GOLPEADA,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PASTA ALTA,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,SET UP,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,UNIDAD CAIDA,MANO DE OBRA,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,BARRIDA,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,CONTAMINACION,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,CORTOS,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,EXCESO DE SOLDADURA,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,FLUJO INADECUADO,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,INSUFICIENCIAS,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,MAL MANEJO,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PANEL ABORTADO,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PANEL ATORADO,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PASTA DESPLAZADA,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,UNIDAD GOLPEADA,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,PASTA ALTA,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,SET UP,METODO,B&S 2,PASE FOB CUSW,,,,,
SMD,DEK,UNIDAD CAIDA,METODO,B&S 2,PASE FOB CUSW,,,,,
