g,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,FALLA DE ICT,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,GOLDEN OBSOLETA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,PRUEBAS DE INGENIERIA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,SET UP,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,BROCA O DISCO DAÑADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE FRACTURADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANELIZADAS SIN DATOS DE AOI,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROGRAMA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL CORTE,METODO,B&S,ABM
