area,tecnologia,defecto,causa,division,proyecto,
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,FALLA DE ICT,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,GOLDEN OBSOLETA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,PRUEBAS DE INGENIERIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,SET UP,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MAL COLOCADA EN FIXTURA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,BROCA O DISCO DAÑADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE FRACTURADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANELIZADAS SIN DATOS DE AOI,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROGRAMA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL CORTE,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PANEL QUEBRADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PRUEBAS DE INGENIERIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SET UP,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,AGUJAS DOBLADAS,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,DISPENSADOR DESCALIBRADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,PRUEBAS DE INGENIERIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,DESPLAZADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,EXCESO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,INSUFICIENCIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,LACA EN AREA NO PERMITIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,MAL MANEJO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,PRUEBA DE INGENIERIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,SET UP,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LAQUEADO,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,GOLDEN OBSOLETA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,PESTAÑAS DOBLADAS,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,SET UP,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD ABIERTA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,COMPONENTE ARRANCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,DEFECTO DE PROVEEDOR,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,ETIQUETA DUPLICADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,GOLDEN OBSOLETA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,HOUSING EQUIVOCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,MAL ENSAMBLE,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,MAL MANEJO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PESTAÑA DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PINES DAÑADOS,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PRUEBAS DE INGENIERIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,TAPA DAÑADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,UNIDAD CAIDA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,UNIDAD GOLPEADA,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LASER MARKING,COBRE EXPUESTO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LASER MARKING,DEFECTO DE PROVEEDOR,MANO DE OBRA,B&S,PEPS PK  1 WAY,
BACKEND/ENSAMBLE FINAL,LASER MARKING,DOBLE MARCADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,
