area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,ICT,PE,MCM2
BACKEND/ENSAMBLE FINAL,ATORNILLADO_1 (PCB),PE,MCM2
BACKEND/ENSAMBLE FINAL,ATORNILLADO_2 (Conector),PE,MCM2
BACKEND/ENSAMBLE FINAL,ATORNILLADO_3 (Tapa),PE,MCM2
BACKEND/ENSAMBLE FINAL,MINI OLA,PE,MCM2
BACKEND/ENSAMBLE FINAL,OLA,PE,MCM2
BACKEND/ENSAMBLE FINAL,PRESSING,PE,MCM2
BACKEND/ENSAMBLE FINAL,DISPENSADO Dow Corning,PE,MCM2
BACKEND/ENSAMBLE FINAL,DISPENSADO de GF1500,PE,MCM2
BACKEND/ENSAMBLE FINAL,DISPENSADO de Semicosil,PE,MCM2
BACKEND/ENSAMBLE FINAL,DAE & CAP,PE,MCM2
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,PE,MCM2
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PE,MCM2
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PE,MCM2
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,PE,MCM2
BACKEND/ENSAMBLE FINAL,ENSAMBLE,PE,MCM2
BACKEND/ENSAMBLE FINAL,ICT,PE,EVO
BACKEND/ENSAMBLE FINAL,ATORNILLADO_1 (PCB),PE,EVO
BACKEND/ENSAMBLE FINAL,ATORNILLADO_2 (Conector),PE,EVO
BACKEND/ENSAMBLE FINAL,ATORNILLADO_3 (Tapa),PE,EVO
BACKEND/ENSAMBLE FINAL,MINI OLA,PE,EVO
BACKEND/ENSAMBLE FINAL,OLA,PE,EVO
BACKEND/ENSAMBLE FINAL,PRESSING,PE,EVO
BACKEND/ENSAMBLE FINAL,DISPENSADO Dow Corning,PE,EVO
BACKEND/ENSAMBLE FINAL,DISPENSADO de GF1500,PE,EVO
BACKEND/ENSAMBLE FINAL,DISPENSADO de Semicosil,PE,EVO
BACKEND/ENSAMBLE FINAL,DAE & CAP,PE,EVO
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,PE,EVO
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PE,EVO
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PE,EVO
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,PE,EVO
BACKEND/ENSAMBLE FINAL,ENSAMBLE,PE,EVO
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,SKIM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,SKIM
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,SKIM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,SKIM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,B&S 2,SKIM
BACKEND/ENSAMBLE FINAL,RUN IN TEST,B&S 2,SKIM
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,RUN IN TEST,B&S 2,SKREEM
BACKEND/ENSAMBLE FINAL,ICT,B&S,TPMR
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S,TPMR
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S,TPMR
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S,TPMR
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,B&S,TPMR
BACKEND/ENSAMBLE FINAL,RUN IN TEST,B&S,TPMR
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE KEY LOOP,B&S,PEPS
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE KEY LOOP,B&S,PK MY 13 FORD
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE KEY LOOP,B&S,PEPS PK 1 WAY
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE KEY LOOP,B&S,PK MY14 LINCOLN
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE KEY LOOP,B&S,PEPS PK Lincoln Embrace
