No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
84653	ZSCR	551	040-2	NA	A2C53107631	NA	6578520305	2	3011	073		1402	Housing ECM2	NA	ROH	NA	201.68	4954786920
86940	ZSCR	551	050-1	NA	5WY7038	NA	6576372038	2	3011	073		1501	"INDUCTOR, 4.7UH, 12.7X30.5"	NA	ROH	NA	10.3	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6521017002	1	3011	073		1501	CONECTOR X2 CEC I	NA	ROH	NA	61.38	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	A2C00040366	2	3011	073		1501	"1,N_CHAN,MOS,POWER,200V,7A,400mOhm,TO-22"	NA	ROH	NA	5.86	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6521010706	1	3011	073		1501	SOPORTE PARA CAPACITOR RM15	NA	ROH	NA	1.02	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6591602099	2	3011	073		1501	"TRANSISTOR, BUZ31L, TO 220"	NA	ROH	NA	8.54	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6594312007	3	3011	073		1501	"DIODO, MUR840, TO 220"	NA	ROH	NA	6	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6521010709	7	3011	073		1501	PERNO DE UNION NAVYSTAR	NA	ROH	NA	23.03	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6593352098	1	3011	073		1501	"0R5,1%,TK0,10W,R_TO220,FIX RES"	NA	ROH	NA	9.41	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6521011304	7	3011	073		1501	TUERCA M4	NA	ROH	NA	0.84	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	A2C00022085	2	3011	073		1501	"1,42V,38mOhm,TO220-AB/5,GENERAL PURPOSE,"	NA	ROH	NA	23.52	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	A2C00065102	8	3011	073		1501	"1RANSISTOR, IRF9640, TO 220"	NA	ROH	NA	37.36	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6594392053	1	3011	073		1501	"1UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	1.65	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	A2C00011060	4	3011	073		1501	"60V,30mOhm,TO220-AB/5,GENERAL PURPOSE,HI"	NA	ROH	NA	30.44	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6596672047	1	3011	073		1501	"IC, LMB1029, TO 220"	NA	ROH	NA	0.3	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6521017001	1	3011	073		1501	CONECTOR X1 CEC I	NA	ROH	NA	61.38	4954786780
86940	ZSCR	551	050-1	NA	5WY7038	NA	6593352097	2	3011	073		1501	"0R12,1%,TK0,10W,R_TO220,FIX RE"	NA	ROH	NA	18.82	4954786780
