No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
79231	ZSCR	551	035-1	NA	A2C53393646	NA	A2C00058067	19	"ATIC120 D7 450kPa Green,SENSOR/SP35 D7"	NA	ROH	NA	451.44	4955027630
79746	ZSCR	551	035-1	NA	A2C53428272	NA	A2C53428196	32	"CONN,1 ROW,7CONT,1 ROW,MALE,7CONT,2.54MM"	NA	ROH	NA	209.92	4955027785
87292	ZSCR	551	035-1	NA	A2C53407336	NA	A2C00049122	71	"18.08MHz,10ppm,NX5032SD,QUARTZ CRYSTAL/N"	NA	ROH	NA	227.2	4955027752
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C40013664	1	"IC OPCOMP/SC2901DR2,SOIC14"	NA	ROH	NA	0.94	4955027169
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C40015254	45	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	845.55	4955027018
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C53428227	150	PIN	NA	ROH	NA	30	4955027018
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C40015254	45	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	845.55	4955027018
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C40009952	453	"D ZEN/MMSZ39T1,39V,500mW,SOD 123"	NA	ROH	NA	58.89	4955027169
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C40013664	20	"IC OPCOMP/SC2901DR2,SOIC14"	NA	ROH	NA	18.8	4955027169
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C40007522	10	"D REC/-,40V,1A,SMB,0s"	NA	ROH	NA	4.1	4955027169
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C40016778	2	"IC SMART POW/BTS6142D,6.73 X 10.40 / 2.2"	NA	ROH	NA	18.76	4955027169
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C00032166	1	"7,NPN,DARL,0.5A,50V,SO16,-40 to +105 C B"	NA	ROH	NA	1.26	4955027169
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C53428228	1800	PIN	NA	ROH	NA	360	4955027018
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C40012636	102	"T FET/SUD45N05-20L,MOS,POWER,TO252"	NA	ROH	NA	314.16	4955027169
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C53428229	250	"PIN,TNG FORK (TALL)"	NA	ROH	NA	55	4955027018
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C53428223	898	"PIN,NATURAL"	NA	ROH	NA	224.5	4955027018
87563	ZSCR	551	035-1	NA	5WY9011M	NA	A2C53428221	3	"PIN,STPD,COP,BRD TO BRD RCPT (TYCO)"	NA	ROH	NA	2.28	4955027018
87563	ZSCR	551	035-1	NA	A2C31231300T	NA	A2C00055547	3	"1,36V,135mOhm,SO8,GENERAL PURPOSE,HIGH S"	NA	ROH	NA	6.21	4955027169
88920	ZSCR	551	035-1	NA	A2C31231300	NA	A2C00062952	15	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	104.7	4955027137
88922	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428228	1250	PIN	NA	ROH	NA	250	4955027137
88925	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428219	22724	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	4544.8	4955027137
88927	ZSCR	551	035-1	NA	A2C31231300	NA	A2C40018533	50	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	191	4955027137
88928	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428221	1050	"PIN,STPD,COP,BRD TO BRD RCPT (TYCO)"	NA	ROH	NA	798	4955027137
88934	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428220	82	"CONN,0CONT,NEW MATL FRET RCPT"	NA	ROH	NA	55.76	4955027137
88936	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428222	2000	"PIN,SQUARE,BERYLLIUM-COPPER"	NA	ROH	NA	440	4955027137
88942	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428229	85	"PIN,TNG FORK (TALL)"	NA	ROH	NA	18.7	4955027137
88942	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428227	75	PIN	NA	ROH	NA	15	4955027137
88942	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428228	259	PIN	NA	ROH	NA	51.8	4955027137
88942	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428228	82	PIN	NA	ROH	NA	16.4	4955027137
