No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	0	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP	
113800	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00000305	1	1351	"D SUP/P6SMB33A,DO214AA"		ROH	NA	0.5	4955737272	
113800	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00000305	2	1351	"D SUP/P6SMB33A,DO214AA"		ROH	NA	1	4955737330	
113800	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00000345	1	1351	"70V,250mA,2,FAST,SOT23,RECT DIODE/BAV70"		ROH	NA	0.07	4955737330	
113800	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00000576	5	1351	"1,PNP,NORMAL,100mA,50V,SOT23,BIP/BCR192"		ROH	NA	0.5	4955737300	
113800	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00000609	2	1351	"1,N_CHAN,-,SMALLSIGNAL,50V,200mA,3.5Ohm,"		ROH	NA	0.48	4955737330	
113800	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00002014	12	1351	"100nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.48	4955737300	
113800	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00002014	11	1351	"100nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.44	4955737330	
113800	ZSCR	551	035-1	0	A2C3286590092	NA	A2C00002578	24	1351	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	17.76	4955737300	
113800	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00002578	7	1351	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	5.18	4955737330	
113800	ZSCR	551	035-1	0	A2C3286560093	NA	A2C00003400	5	1351	"0R05,125mW,2A,0805,JUMPER/"		ROH	NA	0.05	4955737272	
113800	ZSCR	551	035-1	0	A2C3286590093	NA	A2C00003400	58	1351	"0R05,125mW,2A,0805,JUMPER/"		ROH	NA	0.58	4955737330	
