No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
116118	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	5	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	196.5	4956143987
118256	ZSCR	551	030-1	NA	5WY7700	NA	A2C53114671	1	1301	housing	NA	ROH	NA	2.8	4956143792
118256	ZSCR	551	030-1	NA	5WY7700	NA	A2C53124003	1	1301	sticker	NA	ROH	NA	0.17	4956143792
118256	ZSCR	551	030-1	NA	5WY7700	NA	A2C53184512	1	1301	circuit board assy NIS D-PLAT PCB = CO	NA	HALB	S.Real/AutoBF	39.3	4956143987
118275	ZSCR	551	030-1	NA	5WY7700	NA	A2C53117474T	1	1301	Subassy Nissan D Fob Reader Top	NA	HALB	S.Real	25.66	4956143925
118342	ZSCR	551	034-2	NA	S180039015	NA	A2C53212575	19	1342	Subassy ICT TLS_RECEIV 433 MHz	NA	HALB	S.Real/AutoBF	1121.19	4956143659
119546	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	1	1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4956143303
119548	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53319341	12	1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.48	4956143602
119548	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53323911	12	1342	housing	NA	ROH	NA	12.72	4956143602
119548	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53323916	12	1342	slide	NA	ROH	NA	9.6	4956143602
119548	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	12	1342	housing bottom	NA	ROH	NA	11.52	4956143636
119558	ZSCR	551	040-2	NA	5WY7700	NA	A2C53114671	1	1402	housing	NA	ROH	NA	2.8	4956143418
119558	ZSCR	551	040-2	NA	5WY7700	NA	A2C53117319	2	1402	bracket	NA	ROH	NA	7.32	4956143418
119558	ZSCR	551	040-2	NA	5WY7700	NA	A2C53124003	1	1402	sticker	NA	ROH	NA	0.17	4956143418
119572	ZSCR	551	034-2	NA	5WK49670C	NA	A2C00004906	5	1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	6.85	4956143618
119572	ZSCR	551	034-2	NA	5WK49670C	NA	A2C53319341	5	1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.2	4956143618
119572	ZSCR	551	034-2	NA	5WK49670C	NA	A2C53323911	5	1342	housing	NA	ROH	NA	5.3	4956143618
119572	ZSCR	551	034-2	NA	5WK49670C	NA	A2C53323916	5	1342	slide	NA	ROH	NA	4	4956143618
119572	ZSCR	551	034-2	NA	5WK49670C	NA	A2C53358639	5	1342	contact spring	NA	ROH	NA	2.8	4956143618
119572	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	5	1342	housing bottom	NA	ROH	NA	4.8	4956143636
119576	ZSCR	551	040-3	NA	5WK50314C	NA	A2C53365044	1	1403	pushbutton	NA	ROH	NA	14.03	4956143238
