No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	 Valor 	No.Docto.SAP
101935	MB1A	551	064-2	NA	NA	NA	A2C00044583	6000	3011	054		1642	"100uH,600mA,SMD,COIL/"	NA	ROH	NA	" $8,460.00 "	
122013	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	21	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $8,336.16 "	4956288403
123824	ZSCR	551	034-2	NA	A2C53396262	NA	A2C53396263	18	3011	054		1342	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $7,145.28 "	4956288344
124190	ZSCR	551	034-2	NA	5WK43871	NA	A2C53189515MI	12	3011	054		1342	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	" $6,820.56 "	4956287814
122445	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	17	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $6,748.32 "	4956288403
123879	ZSCR	551	034-2	NA	5WY8748	NA	A2C53396244	168	3011	054		1342	"HEAT SINK,AL,FIAT"	NA	ROH	NA	" $6,400.80 "	
122399	ZSCR	551	030-1	NA	5WY72940	NA	6590119027	21	3011	054		1301	Func tests Epsilon GMX380ES 8 Loops - SP	NA	HALB	S.Real	" $6,374.13 "	4956288467
124077	ZSCR	551	034-3	NA	5WY8748	1	5WY8748	13	3011	054		1343	FIAT 843 EPS AEPSFT4304Q00	NA	FERT	NA	" $6,215.04 "	
124635	ZSCR	551	034-3	NA	A2C53396262	NA	A2C53396263	12	3011	054		1343	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $4,763.52 "	4956288254
124641	ZSCR	551	034-1	NA	5WY8747	1	5WY8747	8	3011	054		1341	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	" $3,870.56 "	
121155	ZSCR	551	034-2	NA	5WY8749	NA	A2C53396244	85	3011	054		1342	"HEAT SINK,AL,FIAT"	NA	ROH	NA	" $3,238.50 "	
122007	ZSCR	551	034-1	NA	5WY8747	NA	A2C53396263	8	3011	054		1341	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $3,175.68 "	4956288326
122008	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	8	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $3,175.68 "	4956288403
121333	ZSCR	551	034-2	NA	5WK42590	NA	A2C53379865	6	3011	054		1342	keypad assy	NA	HALB	S.Real/AutoBF	" $2,838.36 "	4956287731
123805	ZSCR	551	042-4	NA	5WK43967	NA	A2C53243155MI	6	3011	054		1424	MI assy C207 WITH PPS/WITHOUT RO	NA	HALB	S.Real	" $2,761.68 "	4956287749
119968	ZSCR	551	034-2	NA	A2C53350937B	NA	A2C53414652	78	3011	054		1342	.pcb MB ACU>6	NA	ROH	NA	" $2,669.94 "	
88017	MB1A	951	025-3	NA	NA	2	5WK44526	5	3011	054		1253	X204 WS212W/PyroPPSg W/RO WO/PO Aramis 3	VUG014969	FERT	NA	" $2,472.50 "	
88017	MB1A	951	025-3	NA	NA	NA	A2C53350937MI	4	3011	054		1253	MI Assy R231 W/PyroPPSg W/RO W/PO	VUG014969	HALB	S.Real	" $2,314.32 "	
124582	ZSCR	551	042-4	NA	5WY89340	NA	5WY89340	7	3011	054		1424	EPSILON MY2011 GMX386 12L	NA	FERT	NA	" $2,004.66 "	
121663	ZSCR	551	040-3	NA	5WY8747	NA	A2C53396263	5	3011	054		1403	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $1,984.80 "	4956288089
123777	ZSCR	551	034-2	NA	5WK44252		5WK44252	13	3011	054		1342	BoSe VW311	NA	FERT	NA	" $1,636.70 "	
122017	ZSCR	551	040-3	NA	5WY8747	NA	A2C53396263	4	3011	054		1403	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $1,587.84 "	4956288089
122018	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	4	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $1,587.84 "	4956288403
122019	ZSCR	551	030-1	NA	A2C53396263	NA	A2C53396263	4	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $1,587.84 "	4956288403
122462	ZSCR	551	030-1	NA	A2C53396261	NA	A2C53396263	4	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $1,587.84 "	4956288403
