No.Item	Txs SAP	Mov	Código Scrap	O.I.	OKJ	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
10086	MB1A	551	040-2	B30301-00495	NA	NA	A2C53333378	11	1095	FORD LOGO	NA	ROH	NA	53.9	4956703617
10086	MB1A	551	040-2	B30301-00495	NA	NA	A2C53333379	2	1095	LINCOLN LOGO	NA	ROH	NA	10.82	4956703617
23736	MB1A	551	040-3	B30301-00495	5WY8770	NA	A2C31197800	112	1095	key	NA	ROH	NA	48.16	4956703617
23736	MB1A	551	040-3	B30301-00495	NA	NA	A2C53389581	200	1095	sticker	NA	ROH	NA	58	4956703617
23736	MB1A	551	040-3	B30301-00495	5WY8770	NA	A2C53395685	112	1095	housing assy FOG FORD P	NA	ROH	NA	3034.08	4956703617
30396	ZSCR	551	030-1	NA	5WY8606	NA	40340074	1	1301	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	122.72	4956705726
36433	ZSCR	551	034-2	NA	5WY7975	NA	40139478	22	1342	SMD ESPEJO PATS CLIP ON MY08 - U377	NA	HALB	S.Real	425.7	4956707431
94745	MB1A	951	025-3	NA	NA	NA	A2C53366131	2	1253	pcb assy VW PQ35 ZE	VUG015310	HALB	S.Real	854.38	4956704980
95998	MB1A	951	025-3	NA	NA	NA	A2C53396776	1	1253	"""pcb assy VW POLO, VECU v018"""	VUG015310	HALB	S.Real	301.25	4956704980
107644	MB1A	551	062-4	NA	NA	NA	A2C53165601T	26	1624	pcb assy VW PQ35 ZE TOP	NA	HALB	S.Real	2748.72	4956707792
107644	MB1A	551	062-4	NA	NA	NA	A2C53353139T	50	1624	circuit board assy VW PQ35 TOP	NA	HALB	S.Real	5054	4956707792
111237	MB1A	551	040-1	B30301-02392	NA	NA	A2C53420006	1	1092	pcb assy VW PQ35 ZE	NA	HALB	S.Real	374.87	4956703408
121064	MB1A	551	064-2	NA	NA	NA	A2C53221116	12	1642	housing BK	NA	ROH	NA	179.88	4956707778
124311	MB1A	951	025-3	NA	NA	NA	A2C00004906	202	1253	"EM OTH BATTERY/CR2032,220mAh,3V"	VUG014957	ROH	NA	276.74	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53100310	202	1253	housing	VUG014957	ROH	NA	202	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53113919	180	1253	pushbutton	VUG014957	ROH	NA	1845	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53297306B	25	1253	SMD Subassy NIS US 315MH 2bundle	VUG014957	HALB	S.Real	1299.75	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53319341	202	1253	"compression spring D= 1,20x 0,25x 9,40"	VUG014957	ROH	NA	8.08	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53323911	202	1253	housing	VUG014957	ROH	NA	214.12	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53323916	202	1253	slide	VUG014957	ROH	NA	161.6	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53323916	202	1253	slide	VUG014957	ROH	NA	161.6	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53358639	202	1253	contact spring	VUG014957	ROH	NA	113.12	4956705330
124311	MB1A	951	025-3	NA	NA	NA	A2C53394918	202	1253	certification label	VUG014957	ROH	NA	963.54	4956705330
127552	MB1A	951	025-3	NA	NA	NA	A2C53399294	2	1253	"""pcb assy VW POLO, VECU v26"""	VUG015608	HALB	S.Real/AutoBF	752.1	4956705016
127793	ZSCR	551	030-1	NA	5WK50444	NA	A2C53399258	1	1301	"""pcb assy VW POLO, VECU V034"""	NA	HALB	S.Real	333.66	4956706633
128010	MB1A	551	030-1	B30301-02395	NA	NA	A2C53420001	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	358.12	4956704374
128013	MB1A	551	030-1	B30301-02395	NA	NA	A2C53420001	1	1095	pcb assy VW PQ35 ZE	NA	HALB	S.Real	358.12	4956704374
128341	ZSCR	551	030-1	NA	5WK50331	NA	A2C53398079	1	1301	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4956706605
128342	ZSCR	551	030-1	NA	5WK50331	NA	A2C53398079	1	1301	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4956706605
