No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
117147	ZSCR	551	040-3	NA	A2C53354071	NA	A2C53354071	2				1403	circuit board assy	NA	FERT	NA	140.12	
127570	ZSCR	551	050-1	NA	5WY7181		5WY7181	43				1501	UNIDAD DE MANDO SIMTEC 5.N	NA	FERT	NA	100588.18	
127593	ZSCR	551	050-1	NA	5WY8285		5WY8285	32				1501	OTIS Diesel Engine Controller	NA	FERT	NA	35106.56	
127990	ZSCR	551	034-2	NA	A2C53368683	NA	A2C53368683	2				1342	circuit board assy	NA	FERT	NA	70.62	
127990	ZSCR	551	034-2	NA	A2C53368685	NA	A2C53368685	2				1342	circuit board assy	NA	FERT	NA	27.64	
128655	ZSCR	551	034-3	NA	A2C53368683	NA	A2C53368683	1				1343	circuit board assy	NA	FERT	NA	35.31	
129900	ZSCR	551	034-9	NA	A2C53368685	NA	A2C53368685	4				1349	circuit board assy	NA	FERT	NA	55.28	
129906	ZSCR	551	040-2	NA	A2C53354071	NA	A2C53354071	1				1402	circuit board assy	NA	FERT	NA	70.06	
130004	ZSCR	551	034-2	NA	A2C53368685	NA	A2C53368685	16				1342	circuit board assy	NA	FERT	NA	221.12	
130005	ZSCR	551	034-2	NA	A2C53368683	NA	A2C53368683	7				1342	circuit board assy	NA	FERT	NA	247.17	
130006	ZSCR	551	034-2	NA	A2C53368683	NA	A2C53368683	4				1342	circuit board assy	NA	FERT	NA	141.24	
130033	ZSCR	551	034-2	NA	A2C53368685	NA	A2C53368685	6				1342	circuit board assy	NA	FERT	NA	82.92	
130036	ZSCR	551	034-2	NA	A2C53368685	NA	A2C53368685	3				1342	circuit board assy	NA	FERT	NA	41.46	
130191	ZSCR	551	034-2	NA	A2C53368683	NA	A2C53368683	3				1342	circuit board assy	NA	FERT	NA	105.93	
130205	ZSCR	551	040-1	NA	A2C53304913	NA	A2C53304913	1				1401	circuit board assy	NA	FERT	NA	67	
130206	ZSCR	551	034-2	NA	A2C53368685	NA	A2C53368685	5				1342	circuit board assy	NA	FERT	NA	69.1	
130207	ZSCR	551	034-9	NA	A2C53368685	NA	A2C53368685	4				1349	circuit board assy	NA	FERT	NA	55.28	
130208	ZSCR	551	034-2	NA	A2C53368683	NA	A2C53368683	4				1342	circuit board assy	NA	FERT	NA	141.24	
130305	ZSCR	551	040-4	NA	5WY7248-S	NA	6521037631A	1				1404	Subens SMD MB IDM2 PV3.0	NA	HALB	S.Real	360.51	4956758317
130985	ZSCR	551	030-1	NA	A2C53331467A	NA	A2C53331467A	1				1301	SID908 Mainboard side A	NA	HALB	S.Real	778.29	4956758358
130985	ZSCR	551	030-1	NA	A2C53331468A	NA	A2C53331468A	1				1301	SID908 Powerboard Side A	NA	HALB	S.Real	347.71	4956758386
130986	ZSCR	551	030-1	NA	A2C53331467A	NA	A2C53331467A	3				1301	SID908 Mainboard side A	NA	HALB	S.Real	2334.87	4956758358
130986	ZSCR	551	030-1	NA	A2C53331468A	NA	A2C53331468A	3				1301	SID908 Powerboard Side A	NA	HALB	S.Real	1043.13	4956758386
130987	ZSCR	551	034-2	NA	5WS40900	NA	A2C53331467A	1				1342	SID908 Mainboard side A	NA	HALB	S.Real	778.29	4956758365
130987	ZSCR	551	034-2	NA	5WS40900	NA	A2C53331468A	1				1342	SID908 Powerboard Side A	NA	HALB	S.Real	347.71	4956758389
130988	ZSCR	551	034-2	NA	5WS40900	NA	A2C53331467A	1				1342	SID908 Mainboard side A	NA	HALB	S.Real	778.29	4956758365
130988	ZSCR	551	034-2	NA	5WS40900	NA	A2C53331468A	1				1342	SID908 Powerboard Side A	NA	HALB	S.Real	347.71	4956758389
131483	ZSCR	551	040-2	NA	5WY7248	NA	6521037632	1				1402	Bottom Cover Assy DC DC IDM2 PV3.0	NA	HALB	S.Real/AutoBF	232.51	4956757885
131515	ZSCR	551	034-2	NA	A2C53354071	NA	A2C53354071	7				1342	circuit board assy	NA	FERT	NA	490.42	
132036	ZSCR	551	040-1	NA	A2C53331465	NA	A2C53331467	1				1401	circuit board assy V152 SID908 E	NA	HALB	S.Real/AutoBF	974.55	4956758065
132036	ZSCR	551	040-1	NA	A2C53331465	NA	A2C53331468	1				1401	circuit board assy V152 SID908 E	NA	HALB	S.Real/AutoBF	413.45	4956758071
132336	ZSCR	551	040-3	NA	A2C31623500	NA	A2C31623500	1				1403	engine control el	NA	HALB	S.Real/AutoBF	1042.21	4956758118
132339	ZSCR	551	040-4	NA	A2C31623500	NA	A2C31623500	1				1404	engine control el	NA	HALB	S.Real/AutoBF	1042.21	4956758130
132341	ZSCR	551	040-5	NA	A2C31623500	NA	A2C31623500	1				1405	engine control el	NA	HALB	S.Real/AutoBF	1042.21	4956758139
132348	ZSCR	551	050-1	NA	A2C31623500	NA	A2C31623500	1				1501	engine control el	NA	HALB	S.Real/AutoBF	1042.21	4956758154
132552	ZSCR	551	040-1	NA	5WY8908	NA	A2C31624000	1				1401	engine control el	NA	HALB	S.Real/AutoBF	1005.12	4956758048
132556	ZSCR	551	040-2	NA	5WY8906	NA	A2C31623800	1				1402	engine control el	NA	HALB	S.Real/AutoBF	1060.39	4956758207
132835	ZSCR	551	040-2	NA	5WY8903	NA	A2C31624100	1				1402	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real/AutoBF	865.36	4956757919
132840	ZSCR	551	042-4	NA	5WY7248	NA	6521037631	2				1424	Top Cover Assy MB IDM2 PV3.0	NA	HALB	S.Real/AutoBF	1396.28	4956757898
132984	ZSCR	551	040-1	NA	5WY8906	NA	A2C31623800	1				1401	engine control el	NA	HALB	S.Real/AutoBF	1060.39	4956757998
132985	ZSCR	551	040-2	NA	5WY8903	NA	A2C31623500	1				1402	engine control el	NA	HALB	S.Real/AutoBF	1042.21	4956757919
132991	ZSCR	551	040-2	NA	5WY8906	NA	A2C31623800	1				1402	engine control el	NA	HALB	S.Real/AutoBF	1060.39	4956758207
133079	ZSCR	551	034-2	NA	A2C53107631	NA	6521011304	6	3011	050		1342	TUERCA M4	NA	ROH	NA	0.72	4956758805
133079	ZSCR	551	034-2	NA	A2C53107631	NA	6521030701	6	3011	050		1342	INTERCONNECT POST	NA	ROH	NA	13.08	4956758805
133079	ZSCR	551	034-2	NA	A2C53107631	NA	6521031909	6	3011	050		1342	SIL PAD MAIN PCB	NA	ROH	NA	96.66	4956758805
133079	ZSCR	551	034-2	NA	A2C53107631	NA	6521037001	6	3011	050		1342	54 WAY CONNECTOR	NA	ROH	NA	370.8	4956758805
133090	ZSCR	551	030-1	NA	A2C31623500	NA	A2C31623500	1				1301	engine control el	NA	HALB	S.Real/AutoBF	1042.21	4956758171
133142	ZSCR	551	034-2	NA	5WY8906	NA	A2C31624400	1				1342	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real/AutoBF	883.54	4956757977
133181	ZSCR	551	050-2	NA	5WY8903	NA	A2C31624100	4				1502	circuit board assy FOR MY10 V8/V	NA	HALB	S.Real/AutoBF	3461.44	4956757935
133187	ZSCR	551	050-2	NA	5WY8903	NA	A2C31623500	2				1502	engine control el	NA	HALB	S.Real/AutoBF	2084.42	4956757935
133191	ZSCR	551	050-2	NA	5WY8906	NA	A2C31623800	24				1502	engine control el	NA	HALB	S.Real/AutoBF	25449.36	4956758244
133220	ZSCR	551	034-2	NA	A2C53107631	NA	6521031909	1	3011	050		1342	SIL PAD MAIN PCB	NA	ROH	NA	16.11	4956758805
133220	ZSCR	551	034-2	NA	A2C53107631	NA	6521037001	1	3011	050		1342	54 WAY CONNECTOR	NA	ROH	NA	61.8	4956758805
133236	ZSCR	551	034-2	NA	5WY8906	NA	A2C31623800	1				1342	engine control el	NA	HALB	S.Real/AutoBF	1060.39	4956757977
133394	ZSCR	551	034-2	NA	5WY8906	NA	A2C31623800	2				1342	engine control el	NA	HALB	S.Real/AutoBF	2120.78	4956757977
