	Tus SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP		
135560	ZSCR	551	034-2	NA	A2C31556400	NA	A2C31556400	18	1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	849.24	4957083058		
135981	ZSCR	551	030-1	NA	6598177	NA	6598172118	14	1301	PCB FR4 HASL 1oz SKREEM CS/RS NA	NA	ROH	NA	99.96	4957083559		
136144	ZSCR	551	030-1	NA	A2C32144600	NA	A2C32144700	2	1301	MY12 SPDJB LOOP MODEL B TMI	NA	HALB	S.Real	576.32	4957082720		
137327	ZSCR	551	034-2	NA	6598177	NA	6598172152	210	1342	PCB SKREEK KJEU FR-4 DOUBLE SIDED PLATED	NA	ROH	NA	491.4	4957084630		
137964	ZSCR	551	034-2	NA	A2C53402830	NA	A2C53402830	3	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	144.93	4957083243		
137973	ZSCR	551	034-2	NA	A2C3144240092	NA	A2C3144240092	1	1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real/AutoBF	5.94	4957083046		
138032	ZSCR	551	040-3	NA	S180052017	NA	A2C53402100	1	1403	module assy TPM	NA	HALB	S.Real/AutoBF	47.15	4957083224		
138034	ZSCR	551	034-2	NA	S180052017	NA	A2C53402099	2	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	188.62	4957083156		
138097	ZSCR	551	034-2	NA	S180052017	NA	A2C53402099	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	94.31	4957083156		
138104	ZSCR	551	034-2	NA	S180052017	NA	A2C53402099	1	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	94.31	4957083156		
138116	ZSCR	551	040-2	NA	A2C53345109	NA	A2C53402230	1	1402	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.15	4957083269		
138118	ZSCR	551	042-4	NA	5WY8548	NA	A2C53402832	1	1424	parts kit assy TPM	NA	HALB	S.Real/AutoBF	47.71	4957083288		
138127	ZSCR	551	034-2	NA	5WY8547	NA	A2C32163600	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	48	4957083077		
138128	ZSCR	551	034-2	NA	5WY8548	NA	A2C53348714	1	1342	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	59.43	4957083124		
138129	ZSCR	551	034-2	NA	5WY8547	NA	A2C32163600	1	1342	module assy TPM	NA	HALB	S.Real/AutoBF	48	4957083077		
138146	ZSCR	551	030-1	NA	5WK49830	NA	A2C53335967B	1	1301	SMD Assy Fob Mobilio HP 4Bot(Bot)	NA	HALB	S.Real	81.56	4957082940		
138202	ZSCR	551	030-1	NA	S180052017	NA	A2C3818940093	2	1301	circuit board assy TPM 315 MHz TOP	NA	HALB	S.Real	73.08	4957082734		
138209	ZSCR	551	030-1	NA	S180052017	NA	A2C3818940093	6	1301	circuit board assy TPM 315 MHz TOP	NA	HALB	S.Real	219.24	4957082734		
138397	ZSCR	551	034-2	NA	5WY8547	NA	A2C53311707	53	1342	housing	NA	ROH	NA	141.51	4957084952		
138721	ZSCR	551	030-1	NA	A2C53249285	NA	A2C53285130	4	1301	GDL	NA	ROH	NA	110.2	4957084423		
138723	ZSCR	551	030-1	NA	A2C53249282	NA	A2C53249282	2	1301	circuit board assy HONDA ZZDI	NA	HALB	S.Real	378.54	4957082915		
138724	ZSCR	551	030-1	NA	A2C53249397	NA	A2C53249259	1	1301	circuit board assy HONDA ZZDI	NA	HALB	S.Real	202.67	4957082893		
138724	ZSCR	551	030-1	NA	A2C53249397	NA	A2C53249431	1	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	4957084457		
