No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP		
138355	ZSCR	551	034-2	NA	A2C53406359	NA	A2C53406359	1	1342	CRV - LL - 433MHz - MY12	NA	FERT	NA	186.89	4957110661		
136882	ZSCR	551	040-2	NA	5WK49308	NA	A2C53215550	1	1402	Honda Accord RXM housing cover	NA	ROH	NA	 $1.00 	4957114394		
137680	ZSCR	551	034-2	NA	5WK49309	NA	A2C53379740	2	1342	housing bottom	NA	ROH	NA	 $2.54 	4957114056		
138377	ZSCR	551	034-2	NA	5WK49308	NA	A2C53215550	15	1342	Honda Accord RXM housing cover	NA	ROH	NA	 $15.00 	4957114041		
139011	ZSCR	551	035-1	0	A2C53406354B	NA	A2C00047154	2	1351	"UPD70F3371GB(A1),A1,LQFP64,FLASH,32bit,M"		ROH	NA	 $51.56 	4957114324		
139012	ZSCR	551	035-1	0	A2C53406354A	NA	A2C00010853	2	1351	"3.6KW,24V,DO218,SUP DIODE/SM5S24A autom"		ROH	NA	 $10.84 	4957114287		
139012	ZSCR	551	035-1	0	A2C53406354A	NA	A2C00049779	2	1351	"22uH,3.5A,SMD,COIL/SLF12565"		ROH	NA	 $0.60 	4957114287		
139012	ZSCR	551	035-1	0	A2C53406354A	NA	A2C00051994	4	1351	"330uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	 $6.64 	4957114287		
139012	ZSCR	551	035-1	0	A2C53406354A	NA	A2C53331174	2	1351	antenna		ROH	NA	 $3.30 	4957114287		
139012	ZSCR	551	035-1	0	A2C53406354A	NA	A2C53331175	2	1351	antenna		ROH	NA	 $3.52 	4957114287		
139014	ZSCR	551	035-1	0	A2C5321554092	NA	A2C00024266	28	1351	"680pF,1%,50V,C0G,0603,TINNED,CER CAP/GCM"		ROH	NA	 $3.64 	4957114239		
139015	ZSCR	551	035-1	0	A2C5333838493	NA	A2C00021642	21	1351	"1,GATE,SOT353,LOGIC/Xor 74AHC1G86"		ROH	NA	 $6.09 	4957114253		
139015	ZSCR	551	035-1	0	A2C5333838493	NA	A2C00036125	4	1351	"2.2uH,7A,SMD,COIL/B82476-A1222-M"		ROH	NA	 $9.16 	4957114253		
139015	ZSCR	551	035-1	0	A2C5333838493	NA	A2C00039698	4	1351	"5V,450mA,STEP DOWN,DPAK,VOLT REG/NCV4275"		ROH	NA	 $11.60 	4957114253		
139015	ZSCR	551	035-1	0	A2C53335967	NA	A2C00040850	14	1351	"100nH,300mA,SMD,COIL/LQG18"		ROH	NA	 $1.82 	4957114248		
139015	ZSCR	551	035-1	0	A2C53364288	NA	A2C00040850	2	1351	"100nH,300mA,SMD,COIL/LQG18"		ROH	NA	 $0.26 	4957114266		
139015	ZSCR	551	035-1	0	A2C5333838493	NA	A2C00041938	4	1351	"S912XDT512J1CAG,1L15Y,LQFP144,FLASH,16bi"		ROH	NA	 $228.08 	4957114253		
139015	ZSCR	551	035-1	0	A2C53364288	NA	A2C00047043	2	1351	"13.08MHz,10ppm,NX5032SA,QUARTZ CRYSTAL/"		ROH	NA	 $6.20 	4957114266		
139016	ZSCR	551	035-1	0	A2C53215449-B	NA	A2C00047264	8	1351	"2.36mH,30mA,SMD,COIL/CAS16D14"		ROH	NA	 $30.16 	4957114235		
139017	ZSCR	551	035-1	0	A2C30889800T	NA	A2C40009952	3	1351	"D ZEN/MMSZ39T1,39V,500mW,SOD 123"		ROH	NA	 $0.39 	4957114102		
139017	ZSCR	551	035-1	0	A2C30889800T	NA	A2C40012828	15	1351	"T FET/VNN1NV04,MOS,POWER,SOT223"		ROH	NA	 $20.55 	4957114102		
139017	ZSCR	551	035-1	0	A2C30889800T	NA	A2C40015255	3	1351	"IC SMART POW/MC33982,IC_16-PLL12X12"		ROH	NA	 $53.97 	4957114102		
139017	ZSCR	551	035-1	0	A2C30889800T	NA	A2C53428220	9	1351	"CONN,0CONT,NEW MATL FRET RCPT"		ROH	NA	 $6.12 	4957114102		
139018	ZSCR	551	035-1	0	A2C30889900T	NA	A2C40002181	8	1351	"R LIN,39K,5%,TK200,100mW,0603"		ROH	NA	 $0.08 	4957114212		
139018	ZSCR	551	035-1	0	A2C30889900T	NA	A2C40006972	54	1351	"C CER,X7R,100nF,10%,50V,0805,-"		ROH	NA	 $2.16 	4957114212		
139018	ZSCR	551	035-1	0	A2C30889900T	NA	A2C40007146	30	1351	"C CER,X7R,220nF,10%,16V,C0603,-"		ROH	NA	 $1.50 	4957114212		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00003447	2	1351	"4K7,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	 $0.06 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00003514	1	1351	"47R,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	 $0.02 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00003528	1	1351	"2K4,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	 $0.02 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00003753	1	1351	"R LIN,5K1,5%,TK200,100mW,0603"		ROH	NA	 $0.01 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00006952	2	1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	 $0.04 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00017677	1	1351	"R LIN,470R,1%,TK100,100mW,0603"		ROH	NA	 $0.01 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C00032055	1	1351	"680R,1%,TK100,63mW,0402,LIN RES/Resistor"		ROH	NA	 $0.01 	4957114226		
139020	ZSCR	551	035-1	0	A2C3229560092	NA	A2C40000660	1	1351	"IC MCU BLK/MC9S12XEG384CAL,3M25J,LQFP112"		ROH	NA	 $24.46 	4957114226		
139024	ZSCR	551	030-1	NA	5WK47833	NA	A2C53249431	1	1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	 $25.47 	4957110922		
139025	ZSCR	551	040-4	NA	5WK47833	NA	A2C53249431	1	1404	multipoint connector 73P H 3SYS BK	NA	ROH	NA	 $25.47 	4957114401		
139026	ZSCR	551	034-2	NA	5WK47834	NA	A2C53249431	1	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	 $25.47 	4957111091		
139028	ZSCR	551	034-2	NA	5WK47833	NA	A2C53249431	1	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	 $25.47 	4957111018		
139034	ZSCR	551	042-4	NA	5WK49598	NA	A2C53239487	16	1424	pcb HONDA ZZDIV	NA	ROH	NA	 $128.00 	4957114418		
139040	ZSCR	551	034-2	NA	A2C80504700	NA	A2C37915000	4	1342	button	NA	ROH	NA	 $23.40 	4957114079		
139040	ZSCR	551	034-2	NA	A2C80504700	NA	A2C53419609	4	1342	housing	NA	ROH	NA	 $223.12 	4957114079		
