No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
112733	MB1A	551	025-4	B30301-00495	NA	NA	A2C00003403	9930	1095	"4K7,5%,TK250,125mW,0805,LIN RES/"	NA	ROH	NA	99.3	4955970997
112733	MB1A	551	025-4	B30301-00495	NA	NA	A2C00003837	1900	1095	"R LIN,22K,5%,TK200,100mW,0603"	NA	ROH	NA	19	4955970997
112733	MB1A	551	025-4	B30301-00495	NA	NA	A2C00010472	6630	1095	"47K,5%,TK200,63mW,0402,LIN RES/CRCW"	NA	ROH	NA	66.3	4955970997
112733	MB1A	551	025-4	B30301-00495	NA	NA	A2C00026743	1000	1095	"3.3pF,0.1pF,50V,C0G,0603,TINNED,CER CAP/"	NA	ROH	NA	40	4955970997
113507	MB1A	551	030-1	B30301-00495	A2C34172100	NA	A2C33265400	180	1095	PCB*FR-4/ TD-A6 /TSG*GM PWE	NA	ROH	NA	630	4955970997
115620	ZSCR	551	034-2	NA	A2C53386110	NA	A2C53386111	4	1342	electronic assy USM L42A NAM	NA	HALB	S.Real	742.52	4955970151
115630	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	1	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969801
115637	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	1	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969801
115639	ZSCR	551	030-1	NA	A2C53386110	NA	A2C53386111	3	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	556.89	4955970412
115642	ZSCR	551	034-2	NA	A2C53386110	NA	A2C53386111	1	1342	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970151
115712	ZSCR	551	034-2	NA	S122736090A	NA	A2C53386110	2	1342	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	4955970189
115726	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	4	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	263.76	4955970997
116003	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
116078	MB1A	551	022-2	B30301-00495	NA	NA	A2C34172200	16	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	1055.04	4955970997
116104	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	1	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969801
116108	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	1	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969801
116109	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	1	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969801
116110	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386110	4	1301	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	1066.36	4955970565
116112	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111B	3	1301	Circuit board assy SMD bottom	NA	HALB	S.Real/AutoBF	227.1	4955970571
116129	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	2	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	131.88	4955970997
116137	ZSCR	551	030-1	NA	5WK49612C	NA	A2C53297309B	1	1301	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	50.8	4955970315
116141	ZSCR	551	040-3	NA	5WK49612C	NA	A2C53297309B	2	1403	SMD Subassy NIS US 315 M 2bundle	NA	HALB	S.Real	101.6	4955969412
116198	ZSCR	551	040-2	NA	S122736090A	NA	A2C53386110	1	1402	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969695
116369	ZSCR	551	030-1	NA	A2C53387374	NA	A2C53387374B	3	1301	BCM L42A (NEW 2010) SMD Bottom	NA	HALB	S.Real/AutoBF	226.8	4955970605
116371	ZSCR	551	040-1	NA	A2C53387368	NA	A2C53387368	1	1401	BCM L42A (NEW 2010) Sub assy OLA/ICT	NA	HALB	S.Real/AutoBF	266.71	4955969828
116408	ZSCR	551	030-1	NA	A2C53387368	NA	A2C53387374B	3	1301	BCM L42A (NEW 2010) SMD Bottom	NA	HALB	S.Real/AutoBF	226.8	4955970605
116425	ZSCR	551	040-2	NA	S122736090A	NA	A2C53386110	2	1402	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	4955969695
116661	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955970440
116670	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955970440
116672	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955970440
116674	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	4	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	389.36	4955970440
116695	MB1A	551	034-2	B30301-02395	NA	NA	A2C53361552	9	1095	"label 40,00x 39,00mm white foil"	NA	ROH	NA	1.17	4955971039
116700	MB1A	551	040-2	B30301-02395	NA	NA	A2C53340509	1	1095	"housing UPP 170,0x 180,0"	NA	ROH	NA	8.26	4955971039
116702	ZSCR	551	030-1	NA	S122736097A	NA	A2C53387374T	1	1301	BCM L42A (NEW 2010) SMD	NA	HALB	S.Real	182.4	4955970425
116705	ZSCR	551	040-3	NA	S122736090A	NA	A2C53386110	1	1403	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969455
116723	ZSCR	551	040-2	NA	5WK50331	NA	A2C53398079	1	1402	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4955969658
116726	ZSCR	551	030-1	NA	5WK50435	NA	A2C53396776	1	1301	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	301.25	4955970452
116727	ZSCR	551	040-5	NA	5WK50437	NA	A2C53398079	1	1405	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4955969120
116729	ZSCR	551	030-1	NA	5WK50437	NA	A2C53398079	1	1301	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4955970463
116767	ZSCR	551	030-1	NA	5WK50457	NA	A2C31082800	1	1301	pcb assy BCU 434 v25	NA	HALB	S.Real	401.18	4955970267
116869	ZSCR	551	040-4	NA	5WY8419	NA	A2C53139536	189	1404	housing BK	NA	ROH	NA	1020.6	4955969184
116872	ZSCR	551	040-4	NA	5WY8419	NA	A2C53141159	185	1404	spring button	NA	ROH	NA	168.35	4955969184
116873	ZSCR	551	040-4	NA	5WY8419	NA	A2C53141160	189	1404	pushbutton 0 top	NA	ROH	NA	262.71	4955969184
116874	ZSCR	551	040-4	NA	5WY8419	NA	A2C53105128	189	1404	contact spring	NA	ROH	NA	60.48	4955969184
116875	ZSCR	551	040-4	NA	5WY8419	NA	A2C00004906	189	1404	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	258.93	4955969184
116876	ZSCR	551	040-4	NA	5WY8419	NA	A2C53139545	118	1404	key GM CADILLA 5BUT 295	NA	ROH	NA	2806.04	4955969184
116877	ZSCR	551	040-4	NA	5WY8419	NA	A2C53139538	144	1404	housing BK	NA	ROH	NA	321.12	4955969184
116878	ZSCR	551	040-4	NA	5WY8191	NA	A2C53283864	26	1404	key GM CADILLA 5BUT 206	NA	ROH	NA	704.34	4955969171
116879	ZSCR	551	040-4	NA	5WY8419	NA	A2C53114664	185	1404	not defined	NA	ROH	NA	3115.4	4955969184
116880	ZSCR	551	040-4	NA	5WY8171	NA	A2C53139537	73	1404	housing BK	NA	ROH	NA	162.79	4955969149
116881	ZSCR	551	040-4	NA	5WY8171	NA	A2C53139544	73	1404	key GM CADILLA 4BUT 295	NA	ROH	NA	1751.27	4955969149
116895	ZSCR	551	040-2	NA	5WK50437	NA	A2C53221115	1	1402	housing BK	NA	ROH	NA	18.87	4955969529
116895	ZSCR	551	040-2	NA	5WK50437	NA	A2C53398079	1	1402	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4955969658
116896	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
116905	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
116906	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
116985	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	6	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	584.04	4955970440
116989	ZSCR	551	030-1	NA	5WG50029	NA	A2C53390797T	1	1301	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955970440
116993	ZSCR	551	034-1	NA	S122736097A	NA	A2C53387374T	2	1341	BCM L42A (NEW 2010) SMD	NA	HALB	S.Real	364.8	4955970206
116995	ZSCR	551	030-1	NA	S122736097A	NA	A2C53387368	1	1301	BCM L42A (NEW 2010) Sub assy OLA/ICT	NA	HALB	S.Real/AutoBF	266.71	4955970598
116995	ZSCR	551	030-1	NA	A2C53387368	NA	A2C53387374T	1	1301	BCM L42A (NEW 2010) SMD	NA	HALB	S.Real	182.4	4955970425
116996	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386110	1	1301	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955970565
116998	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386110	2	1301	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	4955970565
117322	ZSCR	551	042-4	NA	S122736090A	NA	A2C53371606	18	1424	pcb TLS_BCM_2010	NA	ROH	NA	681.12	4955969035
117329	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
117331	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
117336	ZSCR	551	040-4	NA	S122736090A	NA	A2C53386110	1	1404	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	266.59	4955969236
117337	ZSCR	551	040-4	NA	5WK50329	NA	A2C53396776	1	1404	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	301.25	4955969206
117338	ZSCR	551	040-5	NA	5WK50244	NA	A2C53361994	1	1405	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	336.29	4955969110
117340	ZSCR	551	040-4	NA	5WK50244	NA	A2C53361994	2	1404	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	672.58	4955969214
117342	ZSCR	551	040-2	NA	5WK50435	NA	A2C53396776	1	1402	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	301.25	4955969653
117346	ZSCR	551	034-2	NA	A2C53396776	NA	A2C53213475	437	1342	"connector pin 0,64x0,64 L=22,5"	NA	ROH	NA	39.33	4955970131
117346	ZSCR	551	034-2	NA	A2C53396776	NA	A2C53213477	122	1342	"tab 2,8x0,8"	NA	ROH	NA	29.28	4955970131
117346	ZSCR	551	034-2	NA	A2C53396776	NA	A2C53213478	122	1342	"tab 4,8x0,8"	NA	ROH	NA	40.26	4955970131
117367	MB1A	551	040-2	B30301-00495	NA	NA	A2C40016348	5	1095	"EM RELAY,TBD,TWIN,12V"	NA	ROH	NA	51	4955970997
117368	MB1A	551	040-2	B30301-00495	NA	NA	A2C40001299	39	1095	"C ELEC,AL,150uF,20%,25V"	NA	ROH	NA	34.32	4955970997
117369	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	1	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	65.94	4955970997
117370	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	9	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	593.46	4955970997
117378	ZSCR	551	030-1	NA	5WG50028	NA	A2C53380884T	5	1301	circuit board assy VW PQ35 V06 TOP	NA	HALB	S.Real	475.05	4955970399
117379	ZSCR	551	035-1	NA	5WK50437	NA	A2C00047433	17	1351	"MICRO,SINGLE,12V,PIP-RELAY/V23086-R1805-"	NA	ROH	NA	112.37	4955970066
117379	ZSCR	551	035-1	NA	5WK50437	NA	A2C00052547	51	1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	338.13	4955970066
117380	ZSCR	551	035-1	NA	5WK50244	NA	A2C00045575	50	1351	"UPD76F0117GJ(A1),A1,LQFP144,FLASH,32bit,"	NA	ROH	NA	1846.5	4955969895
117390	ZSCR	551	030-1	NA	5WK50437	NA	A2C53398079	1	1301	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	326.42	4955970463
