No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
141167	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428228	34	1342	PIN	NA	ROH	NA	6.8	S1 TIPM MEDIUM (APROB	4957298355
141167	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428229	4	1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	0.88	S1 TIPM MEDIUM (APROB	4957298355
141168	ZSCR	551	034-8	NA	A2C31231300	NA	A2C53428228	38	1348	PIN	NA	ROH	NA	7.6	S1 TIPM MEDIUM (APROB	4957298355
141168	ZSCR	551	034-8	NA	A2C31231300	NA	A2C53428229	4	1348	"PIN,TNG FORK (TALL)"	NA	ROH	NA	0.88	S1 TIPM MEDIUM (APROB	4957298355
141169	ZSCR	551	034-8	NA	A2C31231300T	NA	A2C31229200	2	1348	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	125.54	S1 TIPM MEDIUM (APROB	4957298375
141195	ZSCR	551	030-1	NA	A2C31231300	NA	A2C53428219	468	1301	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	93.6	S1 TIPM MEDIUM (APROB	4957298355
141196	ZSCR	551	030-1	NA	A2C53430026T	NA	A2C53430027	18	1301	PCB MY09 SPDJB	NA	ROH	NA	967.86	S1 SPDJB (APROBACION	4957298575
141197	MB1A	551	034-2	B30301-00495	NA	NA	A2C32464600	24	1095	receiver assy	NA	ROH	NA	288.96	S1 IGNM CUSW (APROBAC	4957298917
141198	MB1A	551	022-2	B30301-00495	NA	NA	A2C32294900	7	1095	module assy RKE 433 Var#4	NA	HALB	S.Real/AutoBF	1155.84	S1 RFHM CUSW (APROBAC	4957299457
141216	MB1A	551	030-1	B30301-00495	NA	NA	A2C32464300	4	1095	pcb assy	NA	ROH	NA	116.48	S1 RFHM CUSW (APROBAC	4957298941
141219	MB1A	551	022-2	B30301-00495	NA	NA	A2C32464300	40	1095	pcb assy	NA	ROH	NA	1164.8	S1 RFHM CUSW (APROBAC	4957298956
141221	MB1A	551	022-2	B30301-00495	NA	NA	A2C32464300	12	1095	pcb assy	NA	ROH	NA	349.44	S1 RFHM CUSW (APROBAC	4957298991
141225	MB1A	551	030-1	B30301-00495	NA	NA	A2C32464600	4	1095	receiver assy	NA	ROH	NA	48.16	S1 RFHM CUSW (APROBAC	4957299029
141225	MB1A	551	030-1	B30301-00495	NA	NA	A2C35130400	2	1095	"16-way connector, PIN&PASTE"	NA	ROH	NA	16.82	S1 RFHM CUSW (APROBAC	4957299045
