d	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
138791	MB1A	551	022-2	B30301-01495	A2C53416548	NA	A2C00019750	600	1095	"470K,1%,TK100,63mW,0402,LIN RES/Thick Fi"	NA	ROH	NA	6	S1_TG1C NISSAN_ (APROB	4957394720
142167	ZSCR	551	030-1	NA	A2C31231100	NA	A2C31231300	1	1301	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957394790
142170	ZSCR	551	034-2	NA	A2C31231100	NA	A2C31231300	4	1342	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	893.92	S1TIPM MEDIUM (APROB	4957394999
142174	ZSCR	551	050-1	NA	A2C31231100	NA	A2C31231300	1	1501	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957395424
142179	ZSCR	551	050-1	NA	5WY9011	NA	A2C31231300	3	1501	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	670.44	S1_TIPM MEDIUM_ (APROB	4957395424
142183	ZSCR	551	040-4	NA	A2C31231100	NA	A2C31231300	2	1404	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	446.96	S1_TIPM MEDIUM_ (APROB	4957395402
142184	ZSCR	551	050-1	NA	A2C31231100	NA	A2C31231300	1	1501	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957395424
142197	ZSCR	551	034-2	NA	5WY9039	NA	A2C00052919	109	1342	"1,N_CHAN,MOS,POWER,55V,30A,15mOhm,TO252/"	NA	ROH	NA	313.92	S1_TIPM MEDIUM_ (APROB	4957395780
142199	ZSCR	551	034-2	NA	5WY9011	NA	A2C00062952	28	1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	195.44	S1_TIPM MEDIUM_ (APROB	4957395743
142199	ZSCR	551	034-2	NA	5WY9011	NA	A2C40018533	31	1342	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	118.42	S1_TIPM MEDIUM_ (APROB	4957395743
