Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc.HeaderTex	No.Docto.SAP
ZSCR	551	030-1	NA	A2C31231300T	NA	A2C31229200	2	1301	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	125.54	S1TIPMMEDIUM(APROB	4957734487
ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428227	4	1301	PIN	NA	ROH	NA	0.8	S1TIPMMEDIUM(APROB	4957734458
ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428228	12	1301	PIN	NA	ROH	NA	2.4	S1TIPMMEDIUM(APROB	4957734458
ZSCR	551	030-1	NA	5WY7632	NA	6598172132	35	1301	PCB FR4 DOUBLE SIDED PLATED TH	NA	ROH	NA	94.5	S1CORPORATE(APROBAC	4957734321
ZSCR	551	030-1	NA	A2C53404863B	NA	A2C53404864	32	1301	pcb HONZZDIV	NA	ROH	NA	441.28	S5TGECU(APROBACION	4957734594
ZSCR	551	030-1	NA	5WY9012	NA	A2C53440572	360	1301	pcb TLS_WU2010	NA	ROH	NA	518.4	S1TIS1D(APROBACION	4957734472
ZSCR	551	030-1	NA	A2C32291400	NA	A2C32464500	2	1301	transceiver assy	NA	ROH	NA	11.76	S1RKEFOBCUSW(APRO	4957734523
ZSCR	551	030-1	NA	A2C31348400	NA	A2C31535000	120	1301	pcb HONDA KEY U	NA	ROH	NA	297.6	S5TXK(APROBACIONAU	4957734499
ZSCR	551	030-1	NA	A2C53404863B	NA	A2C53404864	32	1301	pcb HONZZDIV	NA	ROH	NA	441.28	S5TGECU(APROBACION	4957734594
ZSCR	551	030-1	NA	A2C31348400	NA	A2C31535000	120	1301	pcb HONDA KEY U	NA	ROH	NA	297.6	S5TXK(APROBACIONAU	4957734499
ZSCR	551	030-1	NA	A2C53404863B	NA	A2C53404864	8	1301	pcb HONZZDIV	NA	ROH	NA	110.32	S5TGECU(APROBACION	4957734594
ZSCR	551	030-1	NA	A2C32291400	NA	A2C32464500	20	1301	transceiver assy	NA	ROH	NA	117.6	S1RKEFOBCUSW(APRO	4957734523
ZSCR	551	034-2	NA	5WK47833	NA	A2C53249431	1	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	S5ECU08ENRIQUEGARCI	4957735086
ZSCR	551	030-1	NA	A2C53249282B	NA	A2C53216585	4	1301	pcb panel multiple 4-up	NA	ROH	NA	94.24	S5ECU08ENRIQUEGARCI	4957734562
ZSCR	551	030-1	NA	S180150004	NA	A2C32305000	180	1301	pcb TLS_TG2010	NA	ROH	NA	232.2	S1TIS1D(APROBACION	4957734721
ZSCR	551	030-1	NA	A2C31348400	NA	A2C31535000	40	1301	pcb HONDA KEY U	NA	ROH	NA	99.2	S5TXK(APROBACIONAU	4957734499
ZSCR	551	030-1	NA	5WK50218	NA	A2C53385267	16	1301	pcb BMWZZDIV 315Mhz	NA	ROH	NA	116.16	S1BMW(APROBACIONAU	4957734305
ZSCR	551	030-1	NA	5WY7632	NA	6598172132	35	1301	PCB FR4 DOUBLE SIDED PLATED TH	NA	ROH	NA	94.5	S1CORPORATE(APROBAC	4957734321
ZSCR	551	030-1	NA	S180052042	NA	A2C30840000	96	1301	pcb TLS_TIRE_GU SP 37 GENERI	NA	ROH	NA	132.48	S5TG1CHONDA(APROBA	4957734695
ZSCR	551	034-1	NA	A2C53259382A	NA	A2C00010853	2	1341	"3.6KW,24V,DO218,SUP DIODE/SM5S24A autom"	NA	ROH	NA	10.84	S5TGECUJORGEAGUILAR	4957734989
ZSCR	551	034-1	NA	A2C53404863A	NA	A2C53331174	29	1341	antenna	NA	ROH	NA	47.85	S5TGECUJORGEAGUILAR	4957735002
ZSCR	551	034-1	NA	A2C53429114	NA	A2C53331175	141	1341	antenna	NA	ROH	NA	248.16	S5TGECUJORGEAGUILAR	4957735011
ZSCR	551	034-1	NA	A2C53404863A	NA	A2C53341943	6	1341	receiver bleifrei	NA	ROH	NA	351.36	S5TGECUJORGEAGUILAR	4957735002
MB1A	551	030-1	B30301-01495	NA	NA	A2C30840000	96	1095	pcb TLS_TIRE_GU SP 37 GENERI	NA	ROH	NA	132.48	S5_HONDA HL LL SP37_ (	4957732738
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216753	3	1342	cover	NA	ROH	NA	5.58	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216755	3	1342	housing	NA	ROH	NA	73.38	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	030-1	NA	A2C53364288B	NA	A2C53253118	20	1301	HONDA SMART FOB PANEL	NA	ROH	NA	442	S5FOBACURA08ENRIQUE	4957734583
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216753	8	1342	cover	NA	ROH	NA	14.88	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49308	NA	A2C53215555	9	1342	contact spring	NA	ROH	NA	2.34	S5TXKJORGEAGUILAR	4957735162
ZSCR	551	034-2	NA	5WK49308	NA	A2C53380226	9	1342	housing bottom	NA	ROH	NA	8.37	S5TXKJORGEAGUILAR	4957735162
ZSCR	551	030-1	NA	5WY9011M	NA	A2C53428228	1223	1301	PIN	NA	ROH	NA	244.6	S1TIPMMEDIUM(APROB	4957734458
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216753	6	1342	cover	NA	ROH	NA	11.16	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216755	6	1342	housing	NA	ROH	NA	146.76	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216753	1	1342	cover	NA	ROH	NA	1.86	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK47834	NA	A2C53249431	1	1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	S5ECU08ENRIQUEGARCI	4957735100
ZSCR	551	030-1	NA	A2C31348400	NA	A2C31535000	40	1301	pcb HONDA KEY U	NA	ROH	NA	99.2	S5TXKJORGEAGUILAR	4957734499
ZSCR	551	022-2	NA	A2C53373417	NA	A2C53278177	16	1222	"sealing ring 2x 2,85 40"	NA	ROH	NA	1.44	S1TG1CHYUNDAI(APRO	4957734289
ZSCR	551	022-2	NA	A2C53373417	NA	A2C53311707	17	1222	housing	NA	ROH	NA	45.39	S1TG1CHYUNDAI(APRO	4957734289
ZSCR	551	030-1	NA	5WY8547	NA	A2C30840500	48	1301	pcb	NA	ROH	NA	74.4	S1TG1CHYUNDAI(APRO	4957734331
ZSCR	551	030-1	NA	5WY8547	NA	A2C30840500	48	1301	pcb	NA	ROH	NA	74.4	S1TG1CDCX(APROBACI	4957734331
ZSCR	551	034-2	NA	A2C53429642	NA	A2C53429643	1	1342	SPDJB ANTENNA	NA	ROH	NA	39.44	S1SPDJBPABLOPALMER-C	4957735050
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429644	7	1342	"26 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	48.86	S1SPDJBPABLOPALMER-C	4957735041
