No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP									
149794	ZSCR	551	034-2	NA	5WY79410	NA	6590110301	72	3011	054		1342	Epsilon SDM Housing	NA	ROH	NA	1138.32	PSAD_EPSILON_GERARDO EC	4957840980									
149794	ZSCR	551	034-2	NA	5WY74130	NA	6590110701	72	3011	054		1342	Epsilon SDM Cover	NA	ROH	NA	173.52	PSAD_EPSILON_GERARDO EC	4957840980									
149800	ZSCR	551	030-1	NA	A2C53391237B	NA	A2C53367683	12	3011	054		1301	pcb VW ZZDIV AC VW10G RdW 1	NA	ROH	NA	234.84	PS_VW10 LC_GERARDO ECHE	4957841116									
149805	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149807	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149808	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149811	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149812	ZSCR	551	030-1	NA	5WY78881	NA	A2C53241830	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	255.28	PS_FORD_GERARDO ECHEAGA	4957841512									
149817	ZSCR	551	030-1	NA	5WY86980	NA	A2C53405101MI	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4957841441									
149819	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4957841451									
149821	ZSCR	551	030-1	NA	5WK44285	NA	A2C53367544	1	3011	054		1301	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	226	PS_VW10 LC_GERARDO ECHE	4957841061									
149824	ZSCR	551	030-1	NA	5WK43966	NA	A2C37975500	1	3011	054		1301	pcb assy DAGARM2 RO V09	NA	HALB	S.Real	469.75	PS_ARAMIS II MCG_GERARD	4957841491									
149826	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	6	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	1082.58	PS_HYUNDAI_GERARDO ECHE	4957841710									
149828	ZSCR	551	030-1	NA	5WK43966	NA	A2C3797550093	1	3011	054		1301	pcb assy DAGARM2 RO V09 TOP	NA	HALB	S.Real	446.33	PS_ARAMIS II MCG_GERARD	4957841478									
149836	ZSCR	551	030-1	NA	A2C53429875	NA	A2C53429875A	1	3011	054		1301	Hyundai circuit board assy 12FL SMD Top	NA	HALB	S.Real	180.43	PS_HYUNDAI_GERARDO ECHE	4957841710									
149838	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	3011	054		1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	4957841052									
149840	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	3011	054		1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	4957841052									
149841	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	3011	054		1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	4957841052									
149844	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
149846	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	3011	054		1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	4957841052									
149848	ZSCR	551	030-1	NA	A2C53416946	NA	A2C53417068A	1	3011	054		1301	VW10 circuit board assy 8FL SMD Top	NA	HALB	S.Real	174.31	PS_VW10 LC_GERARDO ECHE	4957841019									
149849	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	3011	054		1301	VW10G circuit board assy 12FL SMD Top	NA	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	4957841052									
149851	ZSCR	551	030-1	NA	A2C53367544	NA	A2C53374378A	1	3011	054		1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	173.97	PS_VW10 LC_GERARDO ECHE	4957841043									
149852	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149853	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149855	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
149856	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
149857	ZSCR	551	030-1	NA	5WK43966	NA	A2C3797550093	1	3011	054		1301	pcb assy DAGARM2 RO V09 TOP	NA	HALB	S.Real	446.33	PS_ARAMIS II MCG_GERARD	4957841478									
149858	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	3011	054		1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4957841471									
149860	ZSCR	551	030-1	NA	A2C53243155MI	NA	A2C53243155A	1	3011	054		1301	SMD assy C207 WITH PPS/WITHOUT RO side A	NA	HALB	S.Real	357.61	PS_ARAMIS II MCG_GERARD	4957841476									
149862	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4957841451									
149863	ZSCR	551	030-1	NA	5WY86980	NA	A2C53405101MI	1	3011	054		1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4957841441									
149865	ZSCR	551	030-1	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841456									
149867	ZSCR	551	030-1	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841456									
149868	ZSCR	551	030-1	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841456									
149870	ZSCR	551	030-1	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841456									
149871	ZSCR	551	030-1	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841456									
149872	ZSCR	551	030-1	NA	A2C53405104MI	NA	A2C53405104	1	3011	054		1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4957841456									
149875	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149876	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
149878	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
149879	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	3011	054		1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4957841421									
149896	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149897	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149899	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149900	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149903	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149904	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149905	ZSCR	551	030-1	NA	A2C53375498MI2	NA	A2C53375498A2	1	3011	054		1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	412.45	PS_ARAMIS III_GERARDO E	4957841291									
149906	ZSCR	551	030-1	NA	A2C53375498MI2	NA	A2C53375498A2	1	3011	054		1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	412.45	PS_ARAMIS III_GERARDO E	4957841291									
149908	ZSCR	551	030-1	NA	A2C53375496MI2	NA	A2C53375496A2	1	3011	054		1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	256.47	PS_ARAMIS III_GERARDO E	4957841318									
149910	ZSCR	551	030-1	NA	A2C37820600	NA	A2C3797550093	1	3011	054		1301	pcb assy DAGARM2 RO V09 TOP	NA	HALB	S.Real	446.33	PS_ARAMIS II MCG_GERARD	4957841478									
149912	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149913	ZSCR	551	030-1	NA	A2C53287874	NA	A2C53287874	1	3011	054		1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4957841611									
149915	ZSCR	551	030-1	NA	A2C53396263	NA	A2C53396263T	6	3011	054		1301	EPS FIAT 169 SMD TOP SIDE	NA	HALB	S.Real	2041.98	CHS_EPS_GERARDO ECHEAGA	4957841581									
149916	ZSCR	551	030-1	NA	A2C53396253	NA	A2C53396255	1	3011	054		1301	EPS FIAT 843 ASSY	NA	HALB	S.Real	360.81	CHS_EPS_GERARDO ECHEAGA	4957841540									
149917	ZSCR	551	030-1	NA	A2C53396255	NA	A2C53396255T	2	3011	054		1301	EPS FIAT 843 TOP SIDE	NA	HALB	S.Real	655.1	CHS_EPS_GERARDO ECHEAGA	4957841528									
149918	ZSCR	551	030-1	NA	A2C32682200	NA	A2C53391886	1				1301	circuit board assy	NA	HALB	S.Real	202.96	PSAD_EPSILON_GERARDO EC	4957840959									
149920	ZSCR	551	030-1	NA	A2C32682200	NA	A2C53391886	1				1301	circuit board assy	NA	HALB	S.Real	202.96	PSAD_EPSILON_GERARDO EC	4957840959									
149990	ZSCR	551	042-4	NA	5WK44524	NA	A2C53375496MI2	1	3011	054		1424	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	4957841275									
149991	ZSCR	551	042-4	NA	5WK44526	NA	A2C53375498MI2	1	3011	054		1424	MI Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	453.43	PS_ARAMIS III_GERARDO E	4957841361									
149994	ZSCR	551	034-2	NA	5WK43966	NA	A2C37975500	1	3011	054		1342	pcb assy DAGARM2 RO V09	NA	HALB	S.Real	469.75	PS_ARAMIS II MCG_GERARD	4957841499									
