No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
146645	ZSCR	551	034-2	NA	A2C32163600	NA	A2C32163600	18		1342	module assy TPM	NA	HALB	S.Real/AutoBF	864	S1_TG1C DCX_ (APROBACI	4957986285
148712	ZSCR	551	040-3	NA	A2C53345109	NA	A2C53402231	1		1403	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_ (APROBA	4957990012
148761	MB1A	551	030-1	B30301-00495	NA	NA	A2C32464300	8		1095	pcb assy	NA	ROH	NA	232.96	S1_RFHM CUSW_ (APROBAC	4957983884
148797	MB1A	551	030-1	B30301-01495	NA	NA	A2C30840500	96		1095	PCB	NA	ROH	NA	148.8	S5_HONDA HL LL SP37_ (	4957983977
149170	ZSCR	551	040-3	NA	S180052025	NA	A2C53345109	2		1403	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	113.7	S5_TG1C HONDA_ (APROBA	4957989616
149562	ZSCR	551	042-4	NA	5WY8547	NA	A2C53402830	2		1424	parts kit assy TPM	NA	HALB	S.Real/AutoBF	96.62	S1_TG1C DCX_ (APROBACI	4957990538
149574	ZSCR	551	042-4	NA	S180052017	NA	A2C53402099	1		1424	parts kit assy TPM	NA	HALB	S.Real/AutoBF	94.31	S1_TG1C HYUNDAI_ (APRO	4957990492
149653	MB1A	551	034-2	B30301-00495	NA	NA	A2C53331174	4		1095	antenna	NA	ROH	NA	6.6	S1_RFHM CUSW_ (APROBAC	4957983884
149654	MB1A	551	034-2	B30301-00495	NA	NA	A2C40000660	4		1095	"IC MCU BLK/MC9S12XEG384CAL,3M25J,LQFP112"	NA	ROH	NA	97.84	S1_RFHM CUSW_ (APROBAC	4957983884
149773	ZSCR	551	040-3	NA	5WK49393	NA	A2C53242673	13		1403	circuit board assy HONDA ZZDI	NA	HALB	S.Real/AutoBF	675.61	S5_INMMO_ (APROBACION	4957989538
149777	ZSCR	551	040-2	NA	A2C53406358	NA	A2C53404863	1		1402	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	134.1	S5_TG ECU_ (APROBACION	4957989259
149779	MB1A	551	010-4	B30301-01410	NA	NA	A2C53216753	2		1104	COVER	QN410075063	ROH	NA	3.58	S5_RXM_ (APROBACION AU	4957984245
149779	MB1A	551	010-4	B30301-01410	NA	NA	A2C53216755	2		1104	housing	QN410075063	ROH	NA	42.64	S5_RXM_ (APROBACION AU	4957984245
149965	ZSCR	551	030-1	NA	A2C53428271	NA	A2C53428272	4		1301	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	1043	S1_TIPM LOGIC_ (APROBA	4957985965
149998	ZSCR	551	034-2	NA	5WY8547	NA	A2C53402830	1		1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.31	S1_TG1C DCX_ (APROBACI	4957988826
150000	ZSCR	551	034-2	NA	5WY8547	NA	A2C53402830	3		1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	144.93	S1_TG1C DCX_ (APROBACI	4957988826
150019	MB1A	551	034-2	B30301-01495	NA	NA	A2C53427412	16		1095	pcb panel family	NA	ROH	NA	172.48	S1_DCU_LUIS LIZARRAGA-T	4957983741
