No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
162328	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	
162332	6/1/2012	MB1A	551	034-2	B30301-00295	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_FIAT BRAZIL_GERARDO	NO	
162334	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000200	1	1095	SMD B FIAT 326 V15	NA	HALB	S.Real/AutoBF	85.41	PS_FIAT BRAZIL_GERARDO	NO	
162335	6/1/2012	MB1A	551	042-4	B30301-00295	NA	NA	A2C53412213	1	1095	pcb assy	NA	HALB	S.Real	183.16	PSAD_GM BRASIL_GERARDO	NO	
162336	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	NO	
162337	6/1/2012	MB1A	551	040-2	B30301-00295	NA	NA	A2C53412221	1	1095	pcb GM BRAZIL S	NA	ROH	NA	13.84	PSAD_GM BRASIL_GERARDO	NO	
162338	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	NO	
162340	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	NO	
162343	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	NO	
162345	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	NO	
162362	6/1/2012	MB1A	551	034-2	B30301-00295	NA	NA	A2C53408763	1	1095	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	NO	
162372	6/1/2012	MB1A	551	030-1	B30301-00295	NA	NA	A2C53412223	1	1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	NO	
162374	6/1/2012	MB1A	551	040-1	B30301-00295	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	NO	
162376	6/1/2012	MB1A	551	034-2	B30301-00295	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	NO	
