No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
162328	MB1A	551	030-1	B30301-00295	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	
162332	MB1A	551	034-2	B30301-00295	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_FIAT BRAZIL_GERARDO	
162334	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000200	1	1095	SMD B FIAT 326 V15	NA	HALB	S.Real/AutoBF	85.41	PS_FIAT BRAZIL_GERARDO	
162335	MB1A	551	042-4	B30301-00295	NA	NA	A2C53412213	1	1095	pcb assy	NA	HALB	S.Real	183.16	PSAD_GM BRASIL_GERARDO	
162336	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	
162337	MB1A	551	040-2	B30301-00295	NA	NA	A2C53412221	1	1095	pcb GM BRAZIL S	NA	ROH	NA	13.84	PSAD_GM BRASIL_GERARDO	
162338	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	
162340	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	
162343	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	
162345	MB1A	551	030-1	B30301-00295	NA	NA	A2C33000300	1	1095	SMD A FIAT 326 V15	NA	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	
162362	MB1A	551	034-2	B30301-00295	NA	NA	A2C53408763	1	1095	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	
162372	MB1A	551	030-1	B30301-00295	NA	NA	A2C53412223	1	1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	
162374	MB1A	551	040-1	B30301-00295	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	
162376	MB1A	551	034-2	B30301-00295	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	
162377	MB1A	551	034-2	B30301-00295	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	
162378	MB1A	551	040-1	B30301-00295	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	
162385	MB1A	551	030-1	B30301-00295	A2C53412213	NA	A2C53412223	1	1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	
162386	MB1A	551	030-1	B30301-00295	NA	NA	A2C53412223	1	1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	
162387	MB1A	551	034-4	B30301-00295	NA	NA	A2C53408763	2	1095	pcb assy	NA	HALB	S.Real	333.1	PS_FIAT BRAZIL_GERARDO	
162389	MB1A	551	042-4	B30301-00295	NA	NA	A2C53412213	1	1095	pcb assy	NA	HALB	S.Real	183.16	PSAD_GM BRASIL_GERARDO	
162395	MB1A	551	030-1	B30301-00295	NA	NA	A2C53387067	16	1095	pcb FIAT ACU MA	NA	ROH	NA	190.4	PS_FIAT BRAZIL_GERARDO	
162406	MB1A	551	022-2	B30301-02598	NA	NA	A2C53193004	5	1098	keypad assy	NA	HALB	S.Real/AutoBF	2407.3	OC_OCS NISSAN_GERARDO E	
162408	MB1A	551	022-2	B30301-02598	NA	NA	A2C53279728	1	1098	keypad assy	NA	HALB	S.Real/AutoBF	497.74	OC_OCS NISSAN_GERARDO E	
162410	MB1A	551	022-2	B30301-02598	NA	NA	A2C53279728	2	1098	keypad assy	NA	HALB	S.Real/AutoBF	995.48	OC_OCS NISSAN_GERARDO E	
162417	MB1A	551	022-2	B30301-02598	NA	NA	A2C53106606	1	1098	keypad seat	NA	ROH	NA	491.47	OC_OCS SUZUKI_GERARDO E	
162435	MB1A	551	022-2	B30301-02598	NA	NA	A2C53116493	3	1098	cable harness	NA	ROH	NA	72.6	OC_OCS NISSAN_GERARDO E	
162435	MB1A	551	022-2	B30301-02598	NA	NA	A2C53287874	3	1098	pcb assy	NA	HALB	S.Real	173.97	OC_OCS NISSAN_GERARDO E	
162436	MB1A	551	022-2	B30301-02598	NA	NA	A2C53279728	2	1098	keypad assy	NA	HALB	S.Real/AutoBF	995.48	OC_OCS NISSAN_GERARDO E	
162472	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405103MI	3	1104	circuit board assy	QN410072404	HALB	S.Real	1239.12	PS_ARAMIS 2011_GERARDO	
162472	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405104MI	20	1104	circuit board assy	QN410072404	HALB	S.Real	8779.4	PS_ARAMIS 2011_GERARDO	
162472	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405105MI	1	1104	circuit board assy	QN410072404	HALB	S.Real	413.04	PS_ARAMIS 2011_GERARDO	
162472	MB1A	551	010-4	B30301-00210	NA	NA	A2C53437942MI	1	1104	circuit board assy	QN410072404	HALB	S.Real	290.65	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C31267400MI	3	1104	circuit board assy Aramis 2012 MI	QN410072404	HALB	S.Real	1207.65	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C31267500MI	8	1104	circuit board assy Aramis 2012 MI	QN410072404	HALB	S.Real	3511.76	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C34527100	4	1104	pcb assy	QN410072404	HALB	S.Real	1744.8	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C34527200	2	1104	pcb mechanical assy Aramis 2012 v26	QN410072404	HALB	S.Real	902.26	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C53334920	1	1104	circuit board assy	QN410072404	HALB	S.Real	412.52	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C53388685MI	57	1104	circuit board assy	QN410072404	HALB	S.Real	25021.29	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C53388686MI	2	1104	circuit board assy	QN410072404	HALB	S.Real	574.62	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405100MI	7	1104	circuit board assy	QN410072404	HALB	S.Real	3147.62	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405101MI	22	1104	circuit board assy	QN410072404	HALB	S.Real	9657.34	PS_ARAMIS 2011_GERARDO	
162474	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405102MI	7	1104	circuit board assy	QN410072404	HALB	S.Real	2025.03	PS_ARAMIS 2011_GERARDO	
162477	MB1A	551	010-4	B30301-00210	NA	NA	A2C31267500MI	4	1104	circuit board assy Aramis 2012 MI	QN410053114	HALB	S.Real	1755.88	PS_ARAMIS 2012_GERARDO	
162477	MB1A	551	010-4	B30301-00210	NA	NA	A2C31267600MI	1	1104	circuit board assy Aramis 2012 MI	QN410053114	HALB	S.Real	438.97	PS_ARAMIS 2012_GERARDO	
162477	MB1A	551	010-4	B30301-00210	NA	NA	A2C34527200	1	1104	pcb mechanical assy Aramis 2012 v26	QN410053114	HALB	S.Real	451.13	PS_ARAMIS 2012_GERARDO	
162477	MB1A	551	010-4	B30301-00210	NA	NA	A2C53388685MI	4	1104	circuit board assy	QN410053114	HALB	S.Real	1755.88	PS_ARAMIS 2012_GERARDO	
162477	MB1A	551	010-4	B30301-00210	NA	NA	A2C53405101MI	1	1104	circuit board assy	QN410053114	HALB	S.Real	438.97	PS_ARAMIS 2012_GERARDO	
162477	MB1A	551	010-4	B30301-00210	NA	NA	A2C53437942MI	2	1104	circuit board assy	QN410053114	HALB	S.Real	581.3	PS_ARAMIS 2012_GERARDO	
162479	MB1A	551	010-4	B30301-00210	NA	NA	A2C53108385MI	5	1104	Manual insertion assy for CCG	QN410053114	HALB	S.Real	2226.2	PS_ARAMIS I_GERARDO ECH	
162869	MB1A	551	010-4	95000080	NA	NA	A2C5343547693	1	1104	pcb assy HONHRS5 V35 top side	QN410083232	HALB	S.Real	192.36	PS_HONDA HRS5_GERARDO E	
163451	MB1A	951	025-3	NA	NA	NA	A2C53375496MI2	1	1253	MI Assy W/S204 WO/PyroPPSg WO/RO WO/PO	VUG014969	HALB	S.Real	309.88	PS_ARAMIS III_GERARDO E	
163573	MB1A	551	010-3	B30301-02510	NA	NA	A2C53364457	66	1103	pcb assy	QN410081340	HALB	S.Real	6953.1	OC_BOSE VW_GERARDO ECHE	
163707	ZSCR	551	030-1	NA	5WK44073	NA	A2C53298665MI	1	1301	Manual insertion assy A207 WITH PPS / RO	NA	HALB	S.Real	655.3	PS_ARAMIS II MCG_GERARD	4958790030
164400	ZSCR	551	034-2	NA	A2C53367544	NA	A2C53367544	3	1342	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	678	PS_VW10 LC_GERARDO ECHE	4958790079
164403	ZSCR	551	034-2	NA	5WY89340	NA	A2C32682200	4	1342	airbag control elect	NA	HALB	S.Real	1456.36	PSAD_EPSILON_GERARDO EC	4958789541
164408	ZSCR	551	034-2	NA	A2C32682200	NA	A2C32682200	1	1342	airbag control elect	NA	HALB	S.Real	364.09	PSAD_EPSILON_GERARDO EC	4958789541
164412	ZSCR	551	034-2	NA	5WK44366	NA	A2C53279728	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	497.74	OC_OCS NISSAN_GERARDO E	4958789295
164413	ZSCR	551	030-1	NA	A2C53399617	NA	A2C53399617A	1	1301	circuit board assy	NA	HALB	S.Real	187.26	PS_HONDA HRS5_GERARDO E	4958790439
164451	ZSCR	551	040-5	NA	5WK44385	NA	A2C53390474	1	1405	ACU VW10 MY10 12 NAR BOSE	NA	HALB	S.Real	273.35	PS_VW10 LC_GERARDO ECHE	4958790397
164452	ZSCR	551	030-1	NA	5WK44276	NA	A2C53362292	2	1301	ACU MY11 10	NA	HALB	S.Real	604.72	PS_HONDA ACCORD_GERARDO	4958790048
164457	ZSCR	551	040-1	NA	5WK44276	NA	A2C53362292	1	1401	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	4958790053
164459	ZSCR	551	042-4	NA	5WK44252		5WK44252	1	1424	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	
164468	ZSCR	551	040-1	NA	5WY89340	NA	A2C32682200	1	1401	airbag control elect	NA	HALB	S.Real	364.09	PSAD_EPSILON_GERARDO EC	4958789549
164487	ZSCR	551	040-1	NA	5WK44514	NA	A2C53399620	1	1401	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790458
164488	ZSCR	551	030-1	NA	5WK44276	NA	A2C53362292	1	1301	ACU MY11 10	NA	HALB	S.Real	302.36	PS_HONDA ACCORD_GERARDO	4958790048
164489	ZSCR	551	030-1	NA	5WK44551	NA	A2C53287874	1	1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	4958790018
164490	ZSCR	551	030-1	NA	5WY89340	NA	A2C32682200	1	1301	airbag control elect	NA	HALB	S.Real	364.09	PSAD_EPSILON_GERARDO EC	4958789501
