No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
161418	29/05/2012	ZSCR	551	034-2	NA	5WY82740	NA	A2C53303087	1	1342	HALB	S.Real	374.63	PSAD_EPSILON_GERARDO EC	NO	4959040845		
167873	15/06/2012	ZSCR	551	040-1	NA	5WK44421	NA	A2C53399617	1	1401	HALB	S.Real	229.87	PS_HONDA HRS5_GERARDO E	NO	4959040928		
167994	16/06/2012	ZSCR	551	034-2	NA	5WK44421	NA	A2C53397769	2	1342	ROH	NA	46.62	PS_HONDA HRS5_GERARDO E	NO	4959041563		
167994	16/06/2012	ZSCR	551	034-2	NA	5WK44421	NA	A2C53397780	3	1342	ROH	NA	25.35	PS_HONDA HRS5_GERARDO E	NO	4959041563		
167995	16/06/2012	ZSCR	551	034-2	NA	5WK44421	NA	A2C53397769	7	1342	ROH	NA	163.17	PS_HONDA HRS5_GERARDO E	NO	4959041563		
168091	16/06/2012	ZSCR	551	030-1	NA	5WK44675	NA	A2C33000300	1	1301	HALB	S.Real	131.6	PS_FIAT BRAZIL_GERARDO	NO	4959040902		
168105	16/06/2012	ZSCR	551	040-1	NA	5WK44285	NA	A2C53367544	1	1401	HALB	S.Real	226	PS_VW10 LC_GERARDO ECHE	NO	4959041026		
168168	16/06/2012	ZSCR	551	034-2	NA	5WY82740	NA	A2C53303087	1	1342	HALB	S.Real	374.63	PSAD_EPSILON_GERARDO EC	NO	4959040845		
168170	16/06/2012	ZSCR	551	040-1	NA	A2C30910800	NA	A2C32509000	2	1401	HALB	S.Real	320.72	PSAD_VW20_GERARDO ECHEA	NO	4959040829		
168175	16/06/2012	ZSCR	551	040-1	NA	5WK44421	NA	A2C53399617	1	1401	HALB	S.Real	229.87	PS_HONDA HRS5_GERARDO E	NO	4959040928		
168306	16/06/2012	ZSCR	551	040-3	NA	A2C53399620	NA	A2C53399620	1	1403	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	NO	4959040950		
168307	16/06/2012	ZSCR	551	040-2	NA	5WK44276	NA	A2C53362292	1	1402	HALB	S.Real	302.36	PS_HONDA HRS5_GERARDO E	NO	4959040913		
168597	17/06/2012	ZSCR	551	034-2	NA	5WK44748	NA	A2C53397769	6	1342	ROH	NA	139.86	PS_HONDA HRS5_GERARDO E	NO	4959041563		
168808	18/06/2012	ZSCR	551	040-1	NA	A2C53399620	NA	A2C53399620A	1	1401	HALB	S.Real	190.03	PS_HONDA HRS5_GERARDO E	NO	4959040969		
168894	18/06/2012	ZSCR	551	040-1	NA	5WK44423	NA	A2C53399617	1	1401	HALB	S.Real	229.87	PS_HONDA HRS5_GERARDO E	NO	4959040928		
168898	18/06/2012	ZSCR	551	050-1	NA	5WY88570	NA	A2C53389836	1	1501	HALB	S.Real	348.71	PSAD_EPSILON_GERARDO EC	NO	4959040872		
168907	18/06/2012	ZSCR	551	040-1	NA	5WK44385	NA	A2C53390474	2	1401	HALB	S.Real	546.7	PS_VW10 LC_GERARDO ECHE	NO	4959041052		
168909	18/06/2012	ZSCR	551	040-1	NA	5WK44514	NA	A2C53399620	1	1401	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	NO	4959040956		
168920	18/06/2012	ZSCR	551	034-2	NA	5WK44285	NA	A2C53367544	1	1342	HALB	S.Real	226	PS_VW10 LC_GERARDO ECHE	NO	4959041030		
168924	18/06/2012	ZSCR	551	040-1	NA	5WK44739	NA	A2C53108387	5	1401	ROH	NA	0.95	PS_ARAMIS III_GERARDO E	NO	4959041510		
168924	18/06/2012	ZSCR	551	040-1	NA	5WK44739	NA	A2C53245952	1	1401	ROH	NA	19.16	PS_ARAMIS III_GERARDO E	NO	4959041510		
168924	18/06/2012	ZSCR	551	040-1	NA	5WK44739	NA	A2C53371768	1	1401	ROH	NA	3.64	PS_ARAMIS III_GERARDO E	NO	4959041510		
168926	18/06/2012	ZSCR	551	034-2	NA	5WK43967	NA	A2C53108376	1	1342	ROH	NA	21.54	PS_ARAMIS II MCG_GERARD	NO	4959041542		
168926	18/06/2012	ZSCR	551	034-2	NA	5WK43967	NA	A2C53108377	1	1342	ROH	NA	3.72	PS_ARAMIS II MCG_GERARD	NO	4959041542		
168926	18/06/2012	ZSCR	551	034-2	NA	5WK43871	NA	A2C53108387	7	1342	ROH	NA	1.33	PS_ARAMIS II MCG_GERARD	NO	4959041510		
168963	18/06/2012	ZSCR	551	034-2	NA	5WK44252	NA	A2C53355144	4	1342	ROH	NA	16.16	OC_BOSE VW_GERARDO ECHE	NO	4959041587		
168963	18/06/2012	ZSCR	551	034-2	NA	5WK44252	NA	A2C53355145	4	1342	ROH	NA	95.52	OC_BOSE VW_GERARDO ECHE	NO	4959041587		
168965	18/06/2012	ZSCR	551	034-2	NA	5WK44748	NA	A2C53108387	25	1342	ROH	NA	4.75	PS_HONDA HRS5_GERARDO E	NO	4959041510		
168965	18/06/2012	ZSCR	551	034-2	NA	5WK44748	NA	A2C53397769	6	1342	ROH	NA	139.86	PS_HONDA HRS5_GERARDO E	NO	4959041563		
168967	18/06/2012	ZSCR	551	034-2	NA	5WK44423	NA	A2C53399617	3	1342	HALB	S.Real	689.61	PS_HONDA HRS5_GERARDO E	NO	4959040934		
168973	18/06/2012	ZSCR	551	040-2	NA	5WK44252	NA	A2C53355144	12	1402	ROH	NA	48.48	OC_BOSE VW_GERARDO ECHE	NO	4959041587		
169077	19/06/2012	ZSCR	551	034-2	NA	5WY86930	NA	A2C53108387	2	1342	ROH	NA	0.38	PS_ARAMIS 2011_GERARDO	NO	4959041510		
169077	19/06/2012	ZSCR	551	034-2	NA	5WY86930	NA	A2C53324560	150	1342	ROH	NA	75	PS_ARAMIS 2011_GERARDO	NO	4959041510		
169094	19/06/2012	ZSCR	551	030-1	NA	A2C53399617	NA	A2C53399617A	1	1301	HALB	S.Real	187.26	PS_HONDA HRS5_GERARDO E	NO	4959040946		
169097	19/06/2012	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	1301	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	NO	4959041066		
169101	19/06/2012	ZSCR	551	030-1	NA	A2C53390474	NA	A2C53391237A	1	1301	HALB	S.Real	211.36	PS_VW10 LC_GERARDO ECHE	NO	4959041066		
169130	19/06/2012	ZSCR	551	030-1	NA	A2C53364457A	NA	A2C53364453	24	1301	ROH	NA	205.92	OC_BOSE VW_GERARDO ECHE	NO	4959041587		
169131	19/06/2012	ZSCR	551	030-1	NA	A2C53364457A	NA	A2C53364453	48	1301	ROH	NA	411.84	OC_BOSE VW_GERARDO ECHE	NO	4959041587		
169133	19/06/2012	ZSCR	551	030-1	NA	A2C53399620	NA	A2C53399620A	6	1301	HALB	S.Real	1140.18	PS_HONDA HRS5_GERARDO E	NO	4959040964		
