No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
171741	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C00004906	20	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	27.4	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171741	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C30115900	21	3011	045		1095	housing bottom	NA	ROH	NA	79.59	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171741	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53358639	21	3011	045		1095	contact spring	NA	ROH	NA	11.76	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171746	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53405271	5	3011	045		1095	Foam PEPS PK MY11	NA	ROH	NA	1.9	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171746	25/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53408731	7	3011	045		1095	circuit board assy TPM	NA	HALB	S.Real	326.13	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171750	25/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C00004906	12	3011	045		1095	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	16.44	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171750	25/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C30115900	12	3011	045		1095	housing bottom	NA	ROH	NA	45.48	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171750	25/06/2012	MB1A	551	040-3	K96019	NA	NA	A2C53358639	12	3011	045		1095	contact spring	NA	ROH	NA	6.72	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
171757	25/06/2012	ZSCR	551	030-1	NA	S180039015	NA	A2C53212557	144	3011	045		1301	pcb panel 1-up	NA	ROH	NA	694.08	S2_RF TUNER_ANTONIO ALA	NO	4959329739	
171761	25/06/2012	ZSCR	551	022-2	NA	5WY8392	NA	A2C53299805	6	3011	045		1222	pcb GM EZKEY PA	NA	ROH	NA	149.1	S2_RF TUNER_ANTONIO ALA	NO	4959329074	
172020	26/06/2012	ZSCR	551	030-1	NA	5WY8806	NA	A2C53349876	1	3011	045		1301	circuit board assy GM EZKEY P NA/JP PC	NA	HALB	S.Real	137.43	S1_EZKEY_LUIS LIZARRAGA	NO	4959329512	
172069	26/06/2012	ZSCR	551	034-2	NA	S180039013	NA	A2C53121775	3	3011	045		1342	housing	NA	ROH	NA	5.1	S2_RF TUNER_ANTONIO ALA	NO	4959330429	
172073	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	6598141929	6	3011	045		1342	LOWER HOUSING CID Rev. C	NA	ROH	NA	47.94	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172074	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	6598141903	1	3011	045		1342	UPPER HOUSING 5 BUTTON	NA	ROH	NA	3.87	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172075	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	6598141003	1	3011	045		1342	Logo Cadillac	NA	ROH	NA	10.48	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172076	26/06/2012	ZSCR	551	034-2	NA	5WY7277	NA	A2C00004906	6	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	8.22	S1_EZKEY_LUIS LIZARRAGA	NO	4959330243	
172094	26/06/2012	MB1A	551	040-2	K96019	NA	NA	A2C53405271	1	3011	045		1095	Foam PEPS PK MY11	NA	ROH	NA	0.38	S2_NISSAN KEY FOB SQUAR	NO	4959328880	
