No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
A2C53387021	3	1503	control device	NA	HALB	S.Real/AutoBF	383.94	S1_DCU_ADRIAN CEBALLOS	NO	4959331616
A2C53387022	2	1503	control device	NA	HALB	S.Real/AutoBF	267.36	S1_DCU_ADRIAN CEBALLOS	NO	4959331633
A2C53386979	2	1504	UNT DR CONTR FRT DDM STD	NA	HALB	S.Real/AutoBF	7.9	S1_DCU_ADRIAN CEBALLOS	NO	4959331686
A2C53387023	2	1503	UNT DR CONTR RR STD	NA	HALB	S.Real/AutoBF	138.74	S1_DCU_ADRIAN CEBALLOS	NO	4959331648
A2C53387020	1	1503	UNT DR CONTR FRT DDM HIGH	NA	HALB	S.Real/AutoBF	131.85	S1_DCU_ADRIAN CEBALLOS	NO	4959331592
A2C30822000	27	1222	SUB PCB TMI ASSY. TIPM Ci MY11 CAN TEST	NA	HALB	S.Real/AutoBF	7332.39	S1_TIPM LOGIC_CARLOS MU	NO	4959330826
A2C53428272	4	1342	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	1043	S1_TIPM LOGIC_CARLOS MU	NO	4959331240
A2C53428272	1	1424	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	260.75	S1_TIPM LOGIC_CARLOS MU	NO	4959331554
A2C53428272	1	1402	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	260.75	S1_TIPM LOGIC_CARLOS MU	NO	4959331343
A2C53428700	1	1342	SUB PCB TMI ASSY. MY11DS GAS LOG DV2S1	NA	HALB	S.Real/AutoBF	235.09	S1_TIPM LOGIC_CARLOS MU	NO	4959331246
A2C53348715	7	1402	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	405.44	S1_TG1C DCX_JAIME JIMEN	NO	4959331274
A2C53402830	2	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	96.62	S1_TG1C DCX_JAIME JIMEN	NO	4959331216
A2C53348715	5	1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	289.6	S1_TG1C DCX_JAIME JIMEN	NO	4959331132
A2C53402099	3	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	282.93	S1_TG1C HYUNDAI_CARLOS	NO	4959331181
A2C53402100	1	1424	module assy TPM	NA	HALB	S.Real/AutoBF	47.15	S1_TG1C HYUNDAI_CARLOS	NO	4959331512
A2C37350900	4	1342	housing assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	171.52	S1_TG1C NISSAN_JAIME JI	NO	4959331079
A2C53402231	1	1424	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_MIGUEL QU	NO	4959331547
A2C53402231	1	1424	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_MIGUEL QU	NO	4959331547
A2C53402231	1	1424	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_MIGUEL QU	NO	4959331547
A2C53402231	1	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_MIGUEL QU	NO	4959331204
A2C53402231	2	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	95.08	S5_TG1C HONDA_MIGUEL QU	NO	4959331204
A2C53402230	1	1424	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.15	S5_TG1C HONDA_MIGUEL QU	NO	4959331531
A2C53428700	2	1424	SUB PCB TMI ASSY. MY11DS GAS LOG DV2S1	NA	HALB	S.Real/AutoBF	470.18	S1_TIPM LOGIC_CARLOS MU	NO	4959331565
A2C53428700	4	1301	SUB PCB TMI ASSY. MY11DS GAS LOG DV2S1	NA	HALB	S.Real/AutoBF	940.36	S1_TIPM LOGIC_CARLOS MU	NO	4959331017
A2C53428272	4	1503	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	1043	S1_TIPM LOGIC_CARLOS MU	NO	4959331662
