No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
183793	26/07/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C32509000	9	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	1443.24	PSAD_VW20_GERARDO ECHEA	NO	4959975138
183824	26/07/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C53408763	1	1095	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	NO	4959975138
183843	26/07/2012	MB1A	551	040-1	K96019	'054	NA	NA	A2C53412214	1	1095	pcb assy	NA	HALB	S.Real	167.2	PSAD_GM BRASIL_GERARDO	NO	4959975138
183930	26/07/2012	ZSCR	551	040-1	NA	'054	5WK44014	NA	A2C53279666	1	1401	ACU MY10 12	NA	HALB	S.Real	435.9	PS_HONDA CR-V HE_GERARD	NO	4959974803
183938	26/07/2012	MB1A	551	040-1	K96019	'054	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4959975138
183940	26/07/2012	MB1A	551	034-2	K96019	'054	NA	NA	5WY89350	1	1095	Chrysler RT/RM DOM ORC MY13	NA	FERT	NA	410.37	PS_CHRYSLER MY2013_GERA	NO	4959975194
183953	26/07/2012	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1	1342	pcb assy	NA	HALB	S.Real	105.35	OC_BOSE VW_GERARDO ECHE	NO	4959974812
183954	26/07/2012	ZSCR	551	080-2	NA	'054	5WK44252		5WK44252	1	1802	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	NO	4959975168
183956	26/07/2012	ZSCR	551	034-2	NA	'054	5WK42560	NA	A2C53328548	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	502.3	OC_OCS NISSAN_GERARDO E	NO	4959974122
183959	26/07/2012	ZSCR	551	034-2	NA	'054	5WK42560	NA	A2C53328548	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	502.3	OC_OCS NISSAN_GERARDO E	NO	4959974122
183960	26/07/2012	ZSCR	551	034-2	NA	'054	5WK43590	NA	6592827601V02	1	1342	OCS Nissan final Assembly V02	NA	HALB	S.Real/AutoBF	474.59	OC_OCS NISSAN_GERARDO E	NO	4959974126
183961	26/07/2012	ZSCR	551	040-1	NA	'054	A2C53108385MI	NA	A2C53125027	2	1401	circuit board assy	NA	HALB	S.Real/AutoBF	92.28	PS_ARAMIS I_GERARDO ECH	NO	4959974143
183962	26/07/2012	ZSCR	551	040-1	NA	'054	5WK44385	NA	A2C53390474	1	1401	ACU VW10 MY10 12 NAR BOSE	NA	HALB	S.Real	273.35	PS_VW10 LC_GERARDO ECHE	NO	4959974856
184182	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44385	NA	A2C00014697	5	1342	sticker	NA	ROH	NA	2.55	PS_VW10 LC_GERARDO ECHE	NO	4959975276
184182	27/07/2012	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027389	10	1342	COVER	NA	ROH	NA	27.5	PS_VW10 LC_GERARDO ECHE	NO	4959975249
