Folio	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
194644	8/19/2012	ZSCR	551	040-3	NA	'050	5WY8842	NA	A2C53428219	24	1403	"COMP,26-WAY DL R BRD TO BRD"	NA	ROH	NA	1.68	S1_TIPM MEDIUM_APROBACI	NO	4960783755		
194647	8/19/2012	ZSCR	551	040-3	NA	'050	5WY8920	NA	A2C53429646	4	1403	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	0.4	S1_SPDJB_APROBACION ESP	NO	4960783777		
194831	8/20/2012	MB1A	551	034-2	K96019	'015	NA	0	A2C3229590093	4	1095	pcb assy PASE 433 w KG Var#5 TOP	NA	HALB	S.Real	706.12	S1_RFHM CUSW_APROBACION	NO	4960781577		
194832	8/20/2012	MB1A	551	034-2	K96019	'015	NA	NA	A2C3229590093	6	1095	pcb assy PASE 433 w KG Var#5 TOP	NA	HALB	S.Real	1059.18	S1_RFHM CUSW_APROBACION	NO	4960781577		
194980	8/20/2012	MB1A	551	030-1	K96019	'015	NA	NA	A2C3229590093	7	1095	pcb assy PASE 433 w KG Var#5 TOP	NA	HALB	S.Real	1235.71	S1_RFHM CUSW_APROBACION	NO	4960781577		
195118	8/21/2012	ZSCR	551	034-2	NA	'015	A2C53429642	NA	A2C53429648	53	1342	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	3.71	S1_SPDJB_APROBACION ESP	NO	4960783168		
195118	8/21/2012	ZSCR	551	034-2	NA	'015	A2C53429642	NA	A2C53429647	24	1342	"TERM,0CONT,CONNECTORS, DL 1.14MM AUTOHEA"	NA	ROH	NA	8.16	S1_SPDJB_APROBACION ESP	NO	4960783168		
195166	8/21/2012	MB1A	551	034-2	K96019	'015	NA	NA	A2C53332996	8	1095	PB Fuel Filter [Bar]	NA	FERT	NA	677.68	S1_TG1C NISSAN_APROBACI	NO	4960781685		
195395	8/21/2012	ZSCR	551	034-2	NA	'015	5WY8848	NA	A2C53429647	10	1342	"TERM,0CONT,CONNECTORS, DL 1.14MM AUTOHEA"	NA	ROH	NA	3.4	S1_SPDJB_APROBACION ESP	NO	4960783048		
195395	8/21/2012	ZSCR	551	034-2	NA	'015	5WY8848	NA	A2C53429648	120	1342	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	8.4	S1_SPDJB_APROBACION ESP	NO	4960783048		
