No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00000414	16	"70V,140mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	1.76	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00000576	3	"1,PNP,NORMAL,100mA,50V,SOT23,BIP/BCR192"		ROH	NA	0.3	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00003434	31	"R LIN,470K,5%,TK200,125mW,0805"		ROH	NA	0.31	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00003629	40	"3K83,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	3.2	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00003748	19	"0R22,5%,TK100,250mW,MINIMELF0204,LIN RES"		ROH	NA	2.28	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00004071	57	"100K,1%,TK100,125mW,0805,LIN RES/RC"		ROH	NA	1.14	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00004150	112	"R LIN,324K,1%,TK100,125mW,0805"		ROH	NA	2.24	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00004383	63	"3K74,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	1.26	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00004465	4	"R LIN,47K,1%,TK100,100mW,0603"		ROH	NA	0.04	ES_B299_ARTURO NERI-LOZ	NO	4961812834
216114	09/10/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00004557	2	"59K,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.02	ES_B299_ARTURO NERI-LOZ	NO	4961812834
