No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	x	x	x	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
215105	07/10/2012	ZSCR	551	034-2	NA	'050	5WY7260	NA	A2C00029604	3	3011	050		1342	"3.155mH,5mA,SMD,COIL/High End Transponde"	NA	ROH	NA	12.75	S1_CORPORATE_ (APROBAC	NO	4962043843
216055	09/10/2012	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53311707	8	3011	015		1342	housing	NA	ROH	NA	21.36	S1_TG1C DCX_JAIME JIMEN	NO	4962043932
216193	10/10/2012	ZSCR	551	034-2	NA	'050	5WY7361	NA	6598282101	29	3011	050		1342	PCB LF initiator	NA	ROH	NA	101.79	S1_LF_ADRIAN CEBALLOS (	NO	4962043865
216601	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8379	NA	A2C53115134	71	3011	015		1342	bracket DCX MY05 LF I BK	NA	ROH	NA	733.43	S1_LF_ADRIAN CEBALLOS (	NO	4962043898
216602	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8380	NA	A2C53115137	42	3011	015		1342	bracket left BK	NA	ROH	NA	432.6	S1_LF_ADRIAN CEBALLOS (	NO	4962043901
216603	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8372	NA	A2C53101132	11	3011	015		1342	BRACKET LF Initiator PM left front	NA	ROH	NA	216.7	S1_LF_ADRIAN CEBALLOS (	NO	4962043884
216604	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8302	NA	6598287001	4	3011	015		1342	Housing with antenna LF Initiator	NA	ROH	NA	56.96	S1_LF_ADRIAN CEBALLOS (	NO	4962043875
216606	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8374	NA	6598280708	2	3011	015		1342	BRACKET LF Initiator LX Right Front	NA	ROH	NA	30.88	S1_LF_ADRIAN CEBALLOS (	NO	4962043891
216607	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8384	NA	A2C53124137	1	3011	015		1342	bracket DCX MY05 LF I	NA	ROH	NA	12.8	S1_LF_ADRIAN CEBALLOS (	NO	4962043923
216608	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8375	NA	6598280709	2	3011	015		1342	BRACKET LF Initiator LX Right Rear	NA	ROH	NA	205.5	S1_LF_ADRIAN CEBALLOS (	NO	4962043895
216609	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8383	NA	A2C53124134	2	3011	015		1342	bracket antenna	NA	ROH	NA	21.64	S1_LF_ADRIAN CEBALLOS (	NO	4962043915
216821	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53304050	3	3011	015		1342	housing bottom	NA	ROH	NA	8.07	S1_DCU_ADRIAN CEBALLOS	NO	4962044182
216822	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8835	NA	A2C53304051	10	3011	015		1342	housing	NA	ROH	NA	24.5	S1_DCU_ADRIAN CEBALLOS	NO	4962044235
216878	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8832	NA	A2C53304052	2	3011	015		1342	housing	NA	ROH	NA	5.38	S1_DCU_ADRIAN CEBALLOS	NO	4962043957
217000	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53304051	6	3011	015		1342	housing	NA	ROH	NA	14.7	S1_DCU_ADRIAN CEBALLOS	NO	4962044204
217001	11/10/2012	ZSCR	551	034-2	NA	'015	5WY8832	NA	A2C53304052	8	3011	015		1342	housing	NA	ROH	NA	21.52	S1_DCU_ADRIAN CEBALLOS	NO	4962043957
217332	12/10/2012	ZSCR	551	034-2	NA	'015	5WK49521	NA	A2C00004906	34	3011	015		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	46.58	S5_SMART FOB_ENRIQUE GA	NO	4962043672
217448	12/10/2012	ZSCR	551	034-2	NA	'015	5WY8829	NA	A2C00051931	8	3011	015		1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	74.64	S1_TG1C NISSAN_ (APROB	NO	4962043939
217586	13/10/2012	ZSCR	551	034-2	NA	'050	5WK50218	NA	A2C00047810	60	3011	050		1342	"16MHz,10ppm,NX5032SA,QUARTZ CRYSTAL/"	NA	ROH	NA	192	S1_BMW_ADRIAN CEBALLOS	NO	4962043799
218441	14/10/2012	ZSCR	551	034-2	NA	'050	5WY8842	NA	A2C53428225	4	3011	050		1342	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	213.72	S1_TIPM LOGIC_PABLO PAL	NO	4962044416
218687	15/10/2012	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53322135	496	3011	015		1342	"contact pin 0,8"	NA	ROH	NA	49.6	S1_DCU_ADRIAN CEBALLOS	NO	4962044182
218687	15/10/2012	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53322437	128	3011	015		1342	"contact pin 2,8x0,8"	NA	ROH	NA	32	S1_DCU_ADRIAN CEBALLOS	NO	4962044182
218782	15/10/2012	ZSCR	551	034-2	NA	'015	5WK50220	NA	A2C53410060	43	3011	015		1342	"label 50,00x 25,00mm green foil"	NA	ROH	NA	15.48	S1_BMW_ADRIAN CEBALLOS	NO	4962043806
