No.Item	Fecha		Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
223232	26/10/2012		ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53334853	100	1342	certification label identi spool part p	NA	ROH	NA	54	PS_HYUNDAI_	NO	4962327066		
223232	26/10/2012		ZSCR	551	034-2	NA	'054	5WK44352	NA	A2C53381596	2	1342	COVER	NA	ROH	NA	10.78	PS_HYUNDAI_	NO	4962327045		
223233	26/10/2012		ZSCR	551	034-2	NA	'054	5WK43700	NA	A2C00027390	13	1342	COVER	NA	ROH	NA	44.2	PS_VW10 LC_ULISES VILLE	NO	4962328124		
223345	26/10/2012		ZSCR	551	034-2	NA	'054	5WY70750	NA	A2C00023541	30	1342	"2.2mF,20%,35V,HOL,AL,ELEC CAP/AIRBAG"	NA	ROH	NA	85.5	PS_VW10 LC_ULISES VILLE	NO	4962328320		
223463	26/10/2012		MB1A	551	030-1	K96019	'054	5WK44630	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_ULISES VILLEG	NO	4962324941		
223549	26/10/2012		ZSCR	551	034-2	NA	'054	A2C53374378	NA	A2C00030441	43	1342	"120uF,20%,16V,HOL,AL,ELEC CAP/"	NA	ROH	NA	18.92	PS_VW10 LC_ULISES VILLE	NO	4962328397		
223551	26/10/2012		ZSCR	551	034-2	NA	'054	5WK44742	NA	A2C53245952	1	1342	"housing FIP 152,0x 135,7"	NA	ROH	NA	19.16	PS_ARAMIS III_FERNANDO	NO	4962326199		
223684	27/10/2012		MB1A	551	040-2	K96019	'054	NA	NA	A2C32509000	1	1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_ULISES VILLEG	NO	4962324941		
223693	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	3	1095	cover RAP T BK	NA	ROH	NA	18.24	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
223694	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C32519400	6	1095	COVER	NA	ROH	NA	50.04	PSAD_VW20_ULISES VILLEG	NO	4962324941		
223721	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
223722	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1	1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_EDWI	NO	4962324858		
223723	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	2	1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	714.98	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
223724	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	1	1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
223726	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	1	1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
223727	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C32680400	1	1095	pcb assy HONHRS6 V11	NA	HALB	S.Real	365.95	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
223728	27/10/2012		MB1A	551	034-2	K96019	'054	NA	NA	A2C80216600	1	1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
223737	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8021730093	1	1095	pcb assy HONHRS6 V06 TOP	NA	HALB	S.Real	164.43	PS_HONDA HRS6_JUAN CHAV	NO	4962324868		
223738	27/10/2012		MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	1	1095	pcb topSMD TOP	NA	HALB	S.Real	234.04	PS_SDM10+_CAROLINA OTAN	NO	4962324916		
