No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
214183	10/5/2012	ZSCR	551	040-4	NA	'015	5WY7852	NA	6598171921	385	ROH	NA	2105.95	S1_CORPORATE_ (APROBAC	NO	4962327051
219250	10/16/2012	ZSCR	551	040-5	NA	'050	5WY8835	NA	A2C53427412	32	ROH	NA	344.96	S1_DCU_ADRIAN CEBALLOS	NO	4962330237
219275	10/16/2012	ZSCR	551	042-4	NA	'050	5WY8848	NA	A2C53429649	4	ROH	NA	22.48	S1_SPDJB_PABLO PALMER-C	NO	4962331146
219275	10/16/2012	ZSCR	551	042-4	NA	'050	5WY8850	NA	A2C53430028	2	ROH	NA	4.48	S1_SPDJB_PABLO PALMER-C	NO	4962331180
219275	10/16/2012	ZSCR	551	042-4	NA	'050	5WY8849	NA	A2C53429645	1	ROH	NA	2.16	S1_SPDJB_PABLO PALMER-C	NO	4962331173
219275	10/16/2012	ZSCR	551	042-4	NA	'050	5WY8849	NA	A2C53429644	6	ROH	NA	30.42	S1_SPDJB_PABLO PALMER-C	NO	4962331173
219286	10/16/2012	ZSCR	551	042-4	NA	'015	5WY8838	NA	A2C53428197	1	ROH	NA	2.13	S1_TIPM LOGIC_PABLO PAL	NO	4962331136
219286	10/16/2012	ZSCR	551	042-4	NA	'015	5WY8838	NA	A2C53428196	8	ROH	NA	50.48	S1_TIPM LOGIC_PABLO PAL	NO	4962331136
219685	10/17/2012	ZSCR	551	040-5	NA	'050	A2C53410558	NA	A2C53427412	104	ROH	NA	1121.12	S1_DCU_ADRIAN CEBALLOS	NO	4962330309
219932	10/18/2012	ZSCR	551	040-5	NA	'015	5WK49210	NA	A2C53216755	1	ROH	NA	21.32	S5_RXM_JORGE AGUILAR (A	NO	4962330224
219933	10/18/2012	ZSCR	551	040-5	NA	'015	5WK49210	NA	A2C53216755	4	ROH	NA	85.28	S5_RXM_JORGE AGUILAR (A	NO	4962330224
220329	10/18/2012	ZSCR	551	040-3	NA	'050	A2C53310663	NA	6598282101	16	ROH	NA	56.16	S1_LF_ADRIAN CEBALLOS (	NO	4962329485
220396	10/19/2012	ZSCR	551	042-4	NA	'050	A2C53427189	NA	A2C53426149	25	ROH	NA	108.25	S5_ACURA FOB_ENRIQUE GA	NO	4962331229
220580	10/19/2012	ZSCR	551	040-1	NA	'015	5WK49598	NA	A2C53239500	5	ROH	NA	31.4	S5_FOB SLOT_ENRIQUE GAR	NO	4962329270
220599	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49717	NA	A2C00051803	6	ROH	NA	38.94	S5_FOB SLOT_ENRIQUE GAR	NO	4962329387
220599	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49717	NA	6593371301	6	ROH	NA	1.2	S5_FOB SLOT_ENRIQUE GAR	NO	4962329387
220599	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49717	NA	A2C53289060	3	ROH	NA	20.49	S5_FOB SLOT_ENRIQUE GAR	NO	4962329387
220602	10/19/2012	ZSCR	551	040-3	NA	'015	5WY7821	0	A2C53189296	38	ROH	NA	286.52	S1_WIN_ADRIANA REYES	NO	4962329423
220615	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49598	NA	A2C00046724	1	ROH	NA	12.6	S5_FOB SLOT_ENRIQUE GAR	NO	4962329292
220615	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49598	NA	A2C53239500	1	ROH	NA	6.28	S5_FOB SLOT_ENRIQUE GAR	NO	4962329292
220616	10/19/2012	ZSCR	551	040-4	NA	'015	5WK49598	NA	A2C53239500	2	ROH	NA	12.56	S5_FOB SLOT_ENRIQUE GAR	NO	4962329632
220616	10/19/2012	ZSCR	551	040-4	NA	'015	5WK49598	NA	A2C00046724	2	ROH	NA	25.2	S5_FOB SLOT_ENRIQUE GAR	NO	4962329632
220667	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49684	NA	A2C53278282	2	ROH	NA	2.82	S5_ACURA FOB_ENRIQUE GA	NO	4962329300
220667	10/19/2012	ZSCR	551	040-3	NA	'015	5WK49684	NA	A2C53278285	2	ROH	NA	3.16	S5_ACURA FOB_ENRIQUE GA	NO	4962329300
221089	10/21/2012	ZSCR	551	040-4	NA	'015	5WK49717	NA	A2C00051803	3	ROH	NA	19.47	S5_FOB SLOT_ENRIQUE GAR	NO	4962329915
221089	10/21/2012	ZSCR	551	040-4	NA	'015	5WK49598	NA	A2C53239500	3	ROH	NA	18.84	S5_FOB SLOT_ENRIQUE GAR	NO	4962329632
