No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590193	NA	A2C00000346	16	"70V,250mA,2,common anode,FAST,SOT23,RECT"		ROH	NA	1.12	ES_B299_ARTURO NERI-LOZ	NO	4963087912	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000346	44	"70V,250mA,2,common anode,FAST,SOT23,RECT"		ROH	NA	3.08	ES_B299_ARTURO NERI-LOZ	NO	4963087856	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000609	3	"1,N_CHAN,-,SMALLSIGNAL,50V,200mA,3.5Ohm,"		ROH	NA	0.66	ES_B299_ARTURO NERI-LOZ	NO	4963087856	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00002014	1	"100nF,10%,25V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.04	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00002060	6	"47pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.12	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00002578	17	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	14.11	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590193	NA	A2C00002578	26	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	21.58	ES_B299_ARTURO NERI-LOZ	NO	4963087912	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590193	NA	A2C00003465	2	"R LIN,470R,5%,TK200,250mW,1206"		ROH	NA	0.06	ES_B299_ARTURO NERI-LOZ	NO	4963087912	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00003465	2	"R LIN,470R,5%,TK200,250mW,1206"		ROH	NA	0.06	ES_B299_ARTURO NERI-LOZ	NO	4963087856	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00003492	5	"R LIN,1K5,5%,TK200,250mW,1206"		ROH	NA	0.1	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00003517	1	"R LIN,150R,5%,TK200,250mW,1206"		ROH	NA	0.02	ES_B299_ARTURO NERI-LOZ	NO	4963087856	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00003551	1	"R LIN,10K,1%,TK50,250mW,MINIMELF0204"		ROH	NA	0.08	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00003886	22	"12K1,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	1.76	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
238658	28/11/2012	ZSCR	551	035-1	0	'050	A2C3286590192	NA	A2C00004150	14	"R LIN,324K,1%,TK100,125mW,0805"		ROH	NA	0.28	ES_B299_ARTURO NERI-LOZ	NO	4963087880	
