No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	Reason Code	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
232510	14/11/2012	ZSCR	551	034-2	NA	'015	5WK49309	NA	A2C5321554092	13	1342	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	414.83	S5_TXK_JORGE AGUILAR (A	NO	4963177940		
232822	15/11/2012	ZSCR	551	034-2	NA	'015	5WK49309	NA	A2C5321554092	3	1342	circuit board assy HONDA KEY Bottom	NA	HALB	S.Real	95.73	S5_TXK_JORGE AGUILAR (A	NO	4963177940		
234186	18/11/2012	ZSCR	551	034-4	NA	'015	5WY7361	NA	A2C53310663	4	1344	circuit board assy CHR DCX MY	NA	HALB	S.Real	85.96	S1_LF_ADRIAN CEBALLOS (	NO	4963178124		
235590	22/11/2012	ZSCR	551	034-1	NA	'050	5WY8838	NA	A2C40012828	45	1341	"T FET/VNN1NV04,MOS,POWER,SOT223"	NA	ROH	NA	55.35	S1_TIPM LOGIC_PABLO PAL	NO	4963180400		
236006	22/11/2012	ZSCR	551	034-1	NA	'015	5WY8832	NA	A2C53304050	2	1341	housing bottom	NA	ROH	NA	5.38	S1_DCU_ADRIAN CEBALLOS	NO	4963180433		
236408	23/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	1	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	33.57	S5_TXK_JORGE AGUILAR (A	NO	4963177932		
236409	23/11/2012	ZSCR	551	034-2	NA	'015	5WK49308	NA	A2C53215449-B	2	1342	"SMD BOT Assy US/Asia 313,85MHz 4 button"	NA	HALB	S.Real	67.14	S5_TXK_JORGE AGUILAR (A	NO	4963177932		
236461	24/11/2012	ZSCR	551	030-1	NA	'050	A2C53328412T	NA	A2C53328412T	8	1301	circuit board assy	NA	HALB	S.Real	733.12	S1_DCU_ADRIAN CEBALLOS	NO	4963177081		
236788	24/11/2012	ZSCR	551	030-1	NA	'050	5WK49829	NA	A2C53335966	20	1301	SMD Assy Fob Mobilio HP (Top side)	NA	HALB	S.Real/AutoBF	635	S5_SMART FOB_ENRIQUE GA	NO	4963178427		
236950	24/11/2012	ZSCR	551	034-1	NA	'015	5WK49692	NA	A2C53278800	3	1341	receiver assy HONZZDIV S1800360	NA	ROH	NA	245.22	S5_ANTENA_ANTONIO ALARC	NO	4963180443		
236968	24/11/2012	ZSCR	551	030-1	NA	'050	5WK49308	NA	A2C00047264	37	1301	"2.36mH,30mA,SMD,COIL/CAS16D14"	NA	ROH	NA	145.41	S5_TXK_JORGE AGUILAR (A	NO	4963179916		
236998	25/11/2012	ZSCR	551	050-3	NA	'015	S180052025	NA	A2C53345109	2	1503	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	122.86	S5_TG1C HONDA_MIGUEL QU	NO	4963179847		
237005	25/11/2012	ZSCR	551	050-3	NA	'015	5WY8548	NA	A2C53348714	1	1503	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	63.29	S1_TG1C DCX_JAIME JIMEN	NO	4963179862		
237007	25/11/2012	ZSCR	551	050-3	NA	'015	S180052033	NA	A2C53407338	1	1503	Control device TG1C NISSAN 315 ASK	NA	HALB	S.Real/AutoBF	54.37	S1_TG1C NISSAN_ (APROB	NO	4963179865		
237008	25/11/2012	ZSCR	551	050-3	NA	'015	S180052025	NA	A2C53345109	4	1503	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	245.72	S5_TG1C HONDA_MIGUEL QU	NO	4963179847		
237048	25/11/2012	ZSCR	551	030-1	NA	'050	A2C53190307	NA	A2C53190307	3	1301	circuit board assy	NA	HALB	S.Real	252.9	S5_RXM_JORGE AGUILAR (A	NO	4963177042		
237051	25/11/2012	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	2	1301	circuit board assy	NA	HALB	S.Real	186.26	S1_DCU_ADRIAN CEBALLOS	NO	4963177077		
237052	25/11/2012	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	3	1301	circuit board assy	NA	HALB	S.Real	279.39	S1_DCU_ADRIAN CEBALLOS	NO	4963177077		
