No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
235465	21/11/2012	ZSCR	551	030-1	NA	'045	A2C53117474	NA	A2C53117474	3	1301	circuit board assy NIS D-PLAT AUTOMATI	NA	HALB	S.Real	0.06	S2_FOB READER_ANTONIO A	4963261459
236795	24/11/2012	ZSCR	551	030-1	NA	'045	A2C53117474	NA	A2C53117474	1	1301	circuit board assy NIS D-PLAT AUTOMATI	NA	HALB	S.Real	0.02	S2_FOB READER_ANTONIO A	4963261488
236981	24/11/2012	ZSCR	551	035-1	0	'045	A2C3417220093	NA	A2C40000827	1148	1351	"R VARIS,22V,29.7V,0603 +++Please use A"		ROH	NA	309.96	S1_EZKEY_LUIS LIZARRAGA	4963257253
238893	29/11/2012	ZSCR	551	034-2	NA	'045	A2C34710700	NA	A2C34685500	50	1342	GLOBAL A BCM PRINTED LABEL	NA	ROH	NA	49	S1_GLOBAL A_ (APROBACI	4963260889
239026	29/11/2012	ZSCR	551	034-2	NA	'045	5WK11211S	NA	A2C53121775	3	1342	housing	NA	ROH	NA	5.1	S2_RF TUNER_ANTONIO ALA	4963260818
239111	29/11/2012	ZSCR	551	040-2	NA	'045	5WG50407	NA	A2C53311196	1	1402	cover LOP B BK	NA	ROH	NA	5.75	S4_PQ35 5TA GEN_MIGUEL	4963256411
239217	30/11/2012	ZSCR	551	040-5	NA	'045	A2C34710700	NA	A2C40001221	12	1405	"C ELEC,AL,470uF,20%,35V"	NA	ROH	NA	16.08	S1_GLOBAL A_ (APROBACI	4963256282
239439	30/11/2012	ZSCR	551	034-2	NA	'045	S180144020	NA	A2C31221300	60	1342	circuit board assy TPM	NA	HALB	S.Real	3216	S2_KEY FOB_ANTONIO ALAR	4963261202
239446	30/11/2012	ZSCR	551	034-1	NA	'045	5WY8800	NA	A2C53282675	38	1341	24-WAY HEADER TYPE A BLACK	NA	ROH	NA	253.08	S1_ABM_MANUEL MANZANO-G	4963260969
239649	01/12/2012	ZSCR	551	040-3	NA	'045	5WY8439	NA	A2C53139543	3	1403	GM EZ Key Vette Keypad	NA	ROH	NA	69.54	S1_EZKEY_LUIS LIZARRAGA	4963256370
239688	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49670C	NA	A2C53358639	2	1342	contact spring	NA	ROH	NA	1.12	S2_KEY FOB_ANTONIO ALAR	4963260835
239688	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49670C	NA	A2C53319341	2	1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.08	S2_KEY FOB_ANTONIO ALAR	4963260835
239688	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49670C	NA	A2C53323916	2	1342	slide	NA	ROH	NA	1.62	S2_KEY FOB_ANTONIO ALAR	4963260835
239688	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49670C	NA	A2C00004906	2	1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	S2_KEY FOB_ANTONIO ALAR	4963260835
239688	01/12/2012	ZSCR	551	034-2	NA	'045	S180143002	NA	A2C53365040	2	1342	housing bottom	NA	ROH	NA	1.94	S2_KEY FOB_ANTONIO ALAR	4963260906
239688	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49670C	NA	A2C53323911	2	1342	housing	NA	ROH	NA	2.16	S2_KEY FOB_ANTONIO ALAR	4963260835
239692	01/12/2012	ZSCR	551	030-1	NA	'045	S180144021	NA	A2C53408731	1	1301	circuit board assy TPM	NA	HALB	S.Real	51.18	S2_NISSAN KEY FOB SQUAR	4963261231
239693	01/12/2012	ZSCR	551	030-1	NA	'045	S180144020	NA	A2C31221300	9	1301	circuit board assy TPM	NA	HALB	S.Real	482.4	S2_NISSAN KEY FOB SQUAR	4963261248
239698	01/12/2012	ZSCR	551	030-1	NA	'045	5WK49606C	NA	A2C53367590B	5	1301	SMD sub assy JP Hibrido 3Bot BOTTOM	NA	HALB	S.Real	228.95	S2_KEY FOB_ANTONIO ALAR	4963261507
239698	01/12/2012	ZSCR	551	030-1	NA	'045	5WK50239C	NA	A2C53372524B	1	1301	SMD sub assy JP HP 3B 314.85 MHz Bot	NA	HALB	S.Real	46.53	S2_KEY FOB_ANTONIO ALAR	4963261524
239699	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49670C	NA	A2C53394918	4	1342	certification label	NA	ROH	NA	19.08	S2_KEY FOB_ANTONIO ALAR	4963260835
239699	01/12/2012	ZSCR	551	034-2	NA	'045	5WK49672C	NA	A2C53103663	6	1342	certification label	NA	ROH	NA	42.48	S2_KEY FOB_ANTONIO ALAR	4963260864
239699	01/12/2012	ZSCR	551	034-2	NA	'045	S180143002	NA	A2C53365040	6	1342	housing bottom	NA	ROH	NA	5.82	S2_KEY FOB_ANTONIO ALAR	4963260906
