No.Item	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
253756	ZSCR	551	034-2	NA	'050	A2C30723201	NA	A2C30840000	48	3011	050		1342	pcb TLS_TIRE_GU SP 37 GENERI	NA	ROH	NA	66.24	S5_HONDA HL LL SP37_MIG	NO	4964325170
256082	ZSCR	551	034-2	NA	'050	A2C30723201	NA	A2C30840000	48	3011	050		1342	pcb TLS_TIRE_GU SP 37 GENERI	NA	ROH	NA	66.24	S5_HONDA HL LL SP37_MIG	NO	4964325170
256092	ZSCR	551	034-2	NA	'054	5WK4184	NA	6593331403	10	3011	054		1342	ETIQUETA C/ROTULO ADVERT.HONDA	NA	ROH	NA	78.9	PS_HONDA HRS5_	NO	4964323620
256270	ZSCR	551	034-2	NA	'050	A2C30723201	NA	A2C30840000	48	3011	050		1342	pcb TLS_TIRE_GU SP 37 GENERI	NA	ROH	NA	72.48	S5_HONDA HL LL SP37_MIG	NO	4964325170
256456	ZSCR	551	034-2	NA	'015	A2C30848900	NA	A2C53428196	1	3011	015		1342	"CONN,1 ROW,7CONT,1 ROW,MALE,7CONT,2.54MM"	NA	ROH	NA	7.52	S1_TIPM LOGIC_PABLO PAL	NO	4964323465
256456	ZSCR	551	034-2	NA	'015	5WY8842	NA	A2C53428197	12	3011	015		1342	TERMINAL STRIP	NA	ROH	NA	26.52	S1_TIPM LOGIC_PABLO PAL	NO	4964323465
256633	ZSCR	551	034-2	NA	'045	5WG50408	NA	A2C53213477	480	3011	045		1342	"tab 2,8x0,8"	NA	ROH	NA	96	S4_PQ35 5TA GEN_MIGUEL	NO	4964323508
256670	ZSCR	551	034-2	NA	'045	5WG50407	NA	A2C53213477	121	3011	045		1342	"tab 2,8x0,8"	NA	ROH	NA	24.2	S4_PQ35 5TA GEN_MIGUEL	NO	4964323508
256671	ZSCR	551	034-2	NA	'045	5WG50408	NA	A2C53213477	192	3011	045		1342	"tab 2,8x0,8"	NA	ROH	NA	38.4	S4_PQ35 5TA GEN_MIGUEL	NO	4964323508
256693	ZSCR	551	034-2	NA	'045	5WG50407	NA	A2C53213477	120	3011	045		1342	"tab 2,8x0,8"	NA	ROH	NA	24	S4_PQ35 5TA GEN_MIGUEL	NO	4964323508
256883	ZSCR	551	035-1	0	'050	A2C5321554393	NA	A2C53281810	5	3011	050		1351	antenna HONDA KEY U		ROH	NA	8.7	S5_TXK_JORGE AGUILAR	NO	4964325206
256989	ZSCR	551	022-2	NA	'073	A2C53369059	NA	A2C53294073	3	3011	073		1222	pcb panel multiple 4-up	NA	ROH	NA	56.22	ES_M3C_ARTURO NERI-LOZA	NO	4964323690
258289	ZSCR	551	034-2	NA	'054	5WK44120	NA	A2C53324560	150	3011	054		1342	certification label spool part p	NA	ROH	NA	78	PS_ARAMIS III_FERNANDO	NO	4964323566
258290	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	3	3011	054		1342	front plate	NA	ROH	NA	71.22	OC_BOSE VW_ANA TAPIA-VI	NO	4964323541
258295	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332366	8	3011	054		1342	cover RAP T BK	NA	ROH	NA	42	PS_FIAT BRAZIL_EDWIN RO	NO	4964323592
258295	ZSCR	551	034-2	NA	'054	5WK44675	NA	A2C53332369	3	3011	054		1342	base plate B	NA	ROH	NA	26.46	PS_FIAT BRAZIL_EDWIN RO	NO	4964323592
258297	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	1	3011	054		1342	COVER	NA	ROH	NA	3.59	PS_HONDA HRS5_	NO	4964323627
258326	ZSCR	551	040-2	NA	'054	5WK44047	NA	A2C53295038	1	3011	054		1402	cable harness	NA	ROH	NA	18.3	OC_OCS NISSAN_ANA TAPIA	NO	4964323548
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000345	2	3011	050		1351	"70V,250mA,2,FAST,SOT23,RECT DIODE/BAV70"		ROH	NA	0.14	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00021661	18	3011	050		1351	"C CER,C0G,680pF,5%,50V,0603,Sn"		ROH	NA	0.9	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000346	1	3011	050		1351	"70V,250mA,2,common anode,FAST,SOT23,RECT"		ROH	NA	0.07	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010444	12	3011	050		1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.12	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00034028	9	3011	050		1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	0.18	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00046692	17	3011	050		1351	"100nF,10%,50V,X7R,0603,Sn,CER CAP/GCM"		ROH	NA	0.51	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00021664	2	3011	050		1351	"15pF,1%,50V,C0G,0402,Sn,CER CAP/RF appli"		ROH	NA	0.06	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00035217	68	3011	050		1351	"1,OP AMP,0Hz,5 PINS SOT23,OP-COMP/AD8515"		ROH	NA	97.24	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000305	10	3011	050		1351	"D SUP/P6SMB33A,DO214AA"		ROH	NA	5	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010416	20	3011	050		1351	"470pF,10%,50V,X7R,0402,TINNED,CER CAP/VJ"		ROH	NA	0.4	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258488	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00022909	14	3011	050		1351	"2.2nF,10%,50V,X7R,0402,TINNED,CER CAP/C1"		ROH	NA	0.28	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000609	3	3011	050		1351	"1,N_CHAN,-,SMALLSIGNAL,50V,200mA,3.5Ohm,"		ROH	NA	0.66	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00000345	5	3011	050		1351	"70V,250mA,2,FAST,SOT23,RECT DIODE/BAV70"		ROH	NA	0.35	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010903	20	3011	050		1351	"1M,5%,TK200,63mW,0402,LIN RES/CRCW"		ROH	NA	0.2	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00045453	18	3011	050		1351	"4,GATE,14 PIN TSSOP,LOGIC/MC74HC02A - Co"		ROH	NA	8.28	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00018593	43	3011	050		1351	"470R,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.43	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00010445	255	3011	050		1351	"4K7,5%,TK200,63mW,0402,LIN RES/CRCW"		ROH	NA	2.55	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00003551	8	3011	050		1351	"R LIN,10K,1%,TK50,250mW,MINIMELF0204"		ROH	NA	0.72	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00022910	7	3011	050		1351	"C CER,X7R,22nF,10%,25V,0402,Sn"		ROH	NA	0.07	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00019601	31	3011	050		1351	"2K2,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	0.31	ES_B299_ARTURO NERI-LOZ	NO	4964324327
258489	ZSCR	551	035-1	0	'050	A2C3286560193	NA	A2C00021664	10	3011	050		1351	"15pF,1%,50V,C0G,0402,Sn,CER CAP/RF appli"		ROH	NA	0.3	ES_B299_ARTURO NERI-LOZ	NO	4964324327
