Row Labels	Count of No.Item
5WK49717	9
5WY8848	8
A2C34172100	8
A2C32291400	6
A2C32297200	3
A2C8350450093	3
5WY8832	3
5WY8829	2
5WK50228	2
5WK47832	2
5WK49845	2
5WY8770	2
S122736205	2
A2C53326410	2
A2C3144240092	2
A2C3156350092	2
5WY8918	2
5WK49718	1
A2C53404863	1
A2C37762400	1
5WK47834	1
A2C8010730093	1
5WY8838	1
A2C32715200T	1
5WY8842	1
5WY8687	1
5WY8844	1
A2C53406357	1
5WK49309	1
5WG60029	1
S122736098A	1
5WY8604	1
S122736202L	1
5WY8680R	1
5WY5979	1
A2C53282668	1
S180052017	1
A2C53338452T	1
5WY8042	1
A2C53406354A	1
A2C31556000	1
A2C53406390	1
5WY8547	1
A2C8341070093	1
A2C31624600B	1
S122736039	1
5WY8548	1
A2C32293500	1
S122736202LS	1
A2C30821700T	1
S122736205C	1
A2C30852000	1
5WG60027	1
A2C30852700T	1
Grand Total	97
