No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
285367	4/3/2013	ZSCR	551	034-2	NA	'054	5WK43767	NA	A2C53142626	2	1342	HALB	S.Real	508.52	PS_HONDA CR-V MC_	NO	4966178144
285840	4/4/2013	ZSCR	551	034-2	NA	'054	5WK44291	NA	A2C53395078	14	1342	HALB	S.Real	1157.8	OC_BOSE BMW_ANA TAPIA-V	NO	4966177912
285841	4/4/2013	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	1	1342	HALB	S.Real	105.89	OC_BOSE VW_ANA TAPIA-VI	NO	4966177955
285851	4/4/2013	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	1	1342	ROH	NA	3.59	PS_HONDA HRS5_ (APROBA	NO	4966178199
286089	4/4/2013	ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53429875	1	1342	HALB	S.Real	224.23	PS_HYUNDAI_ (APROBACIO	NO	4966178139
286094	4/4/2013	ZSCR	551	040-2	NA	'054	5WK44374	NA	A2C53287874	2	1402	HALB	S.Real	118.82	OC_OCS NISSAN_ANA TAPIA	NO	4966178028
286736	4/6/2013	ZSCR	551	030-1	NA	'054	A2C3320950093	NA	A2C3320950093	1	1301	HALB	S.Real	127.42	PS_FIAT BRAZIL_EDWIN RO	NO	4966178080
287168	4/7/2013	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	HALB	S.Real	77.94	OC_BOSE VW_ANA TAPIA-VI	NO	4966177927
287169	4/7/2013	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	HALB	S.Real	77.94	OC_BOSE VW_ANA TAPIA-VI	NO	4966177927
287170	4/7/2013	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	HALB	S.Real	77.94	OC_BOSE VW_ANA TAPIA-VI	NO	4966177927
