No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	p
294364	26/04/2013	ZSCR	551	030-1	NA	'015	5WY7632	NA	6598177632	35	1301	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	850.85	S1_CORPORATE_ADRIAN CEB	NO	4966993886
294366	26/04/2013	ZSCR	551	030-1	NA	'015	5WY7361	NA	A2C53310663	16	1301	circuit board assy CHR DCX MY	NA	HALB	S.Real	327.36	S1_LF_ADRIAN CEBALLOS (	NO	4966993974
294406	27/04/2013	ZSCR	551	030-1	NA	'015	5WY7632	NA	6598177632	4	1301	SMD CS - RS MINIVAN NA	NA	HALB	S.Real	97.24	S1_CORPORATE_ADRIAN CEB	NO	4966993886
294425	27/04/2013	ZSCR	551	030-1	NA	'015	A2C37523900	NA	A2C3752390093	1	1301	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	68.31	S1_BMW_ADRIAN CEBALLOS	NO	4966993949
294626	27/04/2013	ZSCR	551	030-1	NA	'015	5WK50228	NA	A2C3752390093	8	1301	circuit board assy BMWZZDIV 868MHZ TOP	NA	HALB	S.Real	546.48	S1_BMW_ADRIAN CEBALLOS	NO	4966993949
294675	27/04/2013	ZSCR	551	040-1	NA	'045	A2C83410700	NA	A2C83410700	1	1401	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	477.78	S1_GLOBAL A_LUIS LIZARR	NO	4966993566
294677	27/04/2013	ZSCR	551	040-1	NA	'045	A2C83504500	NA	A2C83504500	1	1401	GM GLOBAL A BCM MID TOP THD ASM	NA	HALB	S.Real/AutoBF	442.46	S1_GLOBAL A_LUIS LIZARR	NO	4966993820
294695	27/04/2013	ZSCR	551	040-2	NA	'045	A2C8341070092	NA	A2C8341070092	4	1402	GM GLOBAL A BCM HIGH TOP THD ASM Bot	NA	HALB	S.Real/AutoBF	244.16	S1_GLOBAL A_LUIS LIZARR	NO	4966993753
294698	27/04/2013	ZSCR	551	040-2	NA	'045	A2C73442707	NA	A2C8350450092	2	1402	GM GLOBAL A BCM MID TOP THD ASM	NA	HALB	S.Real/AutoBF	118.32	S1_GLOBAL A_LUIS LIZARR	NO	4966993835
294699	27/04/2013	ZSCR	551	040-1	NA	'045	A2C34710800	NA	A2C34710800	1	1401	GM GLOBAL A BCM HIGH TOP THD ASM	NA	HALB	S.Real/AutoBF	479.61	S1_GLOBAL A_LUIS LIZARR	NO	4966993517
