No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
30255	7/20/2011	ZSCR	551	040-3	NA	5WY7181	NA	6577362040	3170	1403	"4.7NF,5%,50V,X7R,0805,NISN,CER"	NA	ROH	NA	126.8	ES_IDM_NORA ANCHONDO	SI	
54381	9/4/2011	ZSCR	551	035-1	0	A2C32273100T	NA	6594672048	35	1351	CUSTOM IC'S / ATM41_______PLCC		ROH	NA	830.2	ES_CEC_NORA ANCHONDO	SI	
54398	9/4/2011	ZSCR	551	035-1	0	A2C53351437	NA	A2C00063096	26	1351	"SEN/AS5134C,Magnetic rotary encoder"		ROH	NA	553.28	TR_GETRAG_ENRIQUE GARCI	SI	
57131	9/9/2011	ZSCR	551	035-1	0	A2C32273100T	NA	6594672048	24	1351	CUSTOM IC'S / ATM41_______PLCC		ROH	NA	569.28	ES_CEC_NORA ANCHONDO	SI	
61094	9/16/2011	ZSCR	551	035-1	0	A2C53351437	NA	A2C00063096	5	1351	"SEN/AS5134C,Magnetic rotary encoder"		ROH	NA	106.4	TR_GETRAG_ENRIQUE GARCI	SI	
62370	9/18/2011	ZSCR	551	022-2	NA	A2C53350221SMD	NA	A2C53350220	12	1222	pcb VW FLEX FUE	NA	ROH	NA	77.28	S&A_FFS II_ARTURO NERI-	SI	
69425	9/29/2011	ZSCR	551	035-1	0	A2C32273100T	NA	6594672048	58	1351	CUSTOM IC'S / ATM41_______PLCC		ROH	NA	1375.76	ES_CEC_NORA ANCHONDO	SI	
73236	10/7/2011	ZSCR	551	035-1	0	A2C32273100T	NA	6594672048	23	1351	CUSTOM IC'S / ATM41_______PLCC		ROH	NA	545.56	ES_CEC_NORA ANCHONDO	SI	
76336	10/16/2011	ZSCR	551	030-1	NA	A2C53350221SMD	NA	A2C53350220	24	1301	pcb VW FLEX FUE	NA	ROH	NA	154.56	S&A_FFS II_ARTURO NERI-	SI	
76338	10/16/2011	ZSCR	551	030-1	NA	6521017611A	NA	A2C00013414	2	1301	pcb CONSOLIDATE	NA	ROH	NA	91.02	ES_CEC_NORA ANCHONDO	SI	
78188	10/20/2011	ZSCR	551	035-1	0	A2C53331468A	NA	A2C00049140	75	1351	"9uH,22A,SMD,COIL/"		ROH	NA	708	ES_SID908_HERIBERTO SAN	SI	
80701	10/28/2011	ZSCR	551	035-1	0	6578527602A	NA	6581362055	8	1351	560pF 100V 5% ELECTROLYTIC CAPACITOR		ROH	NA	0.56	ES_IDM_NORA ANCHONDO	SI	
80701	10/28/2011	ZSCR	551	035-1	0	6578527602A	NA	9151160	3	1351	"24R,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.03	ES_IDM_NORA ANCHONDO	SI	
83694	11/5/2011	ZSCR	551	035-1	0	A2C31734300B	NA	A2C00040620	19	1351	"ATIC81, Single Source TI, TSSOP16, Monit"		ROH	NA	128.82	ES_EMS 2208_SAMUEL MEND	SI	
85691	11/10/2011	ZSCR	551	035-1	0	6578527602A	NA	9151160	12	1351	"24R,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.12	ES_IDM_NORA ANCHONDO	SI	
85693	11/10/2011	ZSCR	551	035-1	0	A2C53211240A	NA	A2C00005654	19	1351	"33nF,10%,16V,X7R,0603,TINNED,CER CAP/ ++"		ROH	NA	0.38	ES_SID903_HERIBERTO SAN	SI	
85703	11/10/2011	ZSCR	551	035-1	0	A2C53351437	NA	A2C00063096	3	1351	"SEN/AS5134C,Magnetic rotary encoder"		ROH	NA	63.84	TR_GETRAG_ENRIQUE GARCI	SI	
88408	11/17/2011	ZSCR	551	035-1	0	A2C53331467A	NA	A2C53331514	112	1351	"bushing 5,00x 9,00x14,50mm 11SMnPb3"		ROH	NA	359.52	ES_SID908_HERIBERTO SAN	SI	
88418	11/18/2011	ZSCR	551	035-1	0	A2C53259382A	NA	9151160	5	1351	"24R,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.05	ES_ECM_NORA ANCHONDO	SI	
89679	11/21/2011	ZSCR	551	035-1	0	6578567615A	NA	6596362013	5	1351	"33PF,1%,50V,NPO,0603,NISN,CER"		ROH	NA	0.25	ES_ECM_NORA ANCHONDO	SI	
91186	11/24/2011	ZSCR	551	035-1	0	A2C53211240A	NA	A2C00005654	56	1351	"33nF,10%,16V,X7R,0603,TINNED,CER CAP/ ++"		ROH	NA	1.12	ES_SID903_HERIBERTO SAN	SI	
94599	12/2/2011	ZSCR	551	035-1	0	6578527602A	NA	9151160	1	1351	"24R,5%,TK250,125MW,0805,FIX RE"		ROH	NA	0.01	ES_IDM_NORA ANCHONDO	SI	
94599	12/2/2011	ZSCR	551	035-1	0	6521037632A	NA	9151258	6	1351	"200K,5%,TK250,125MW,0805,FIX R"		ROH	NA	0.06	ES_IDM_NORA ANCHONDO	SI	
94599	12/2/2011	ZSCR	551	035-1	0	6521037632A	NA	9166685	1	1351	"LT0.25W,1/8W THICK FILMRESISTO"		ROH	NA	0.02	ES_IDM_NORA ANCHONDO	SI	
94601	12/2/2011	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00004199	3	1351	"365R,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.21	ES_SID904_HERIBERTO SAN	SI	
94602	12/2/2011	ZSCR	551	035-1	0	A2C53331467A	NA	A2C00021177	34	1351	"100uF,30%,35V,SMD,AL,ELEC CAP/"		ROH	NA	96.9	ES_SID908_HERIBERTO SAN	SI	
