No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
304293	5/21/2013	MB1A	951	025-3	NA	'015	NA	NA	A2C53410193	150				1253	wheel unit TPM 433 MHz	VUT016482	HALB	S.Real/AutoBF	8629.5	S1_TG1C UNIVERSAL_JAIME	NO	4967541196
304294	5/21/2013	MB1A	951	025-3	NA	'015	NA	NA	A2C53410192	168				1253	wheel unit TPM 315 MHz	VUT016482	HALB	S.Real/AutoBF	9681.84	S1_TG1C UNIVERSAL_JAIME	NO	4967541196
304345	5/21/2013	ZSCR	551	034-2	NA	'015	S180052025	NA	A2C53277894	7	3011	015	 	1342	valve housing	NA	ROH	NA	44.17	S5_TG1C HONDA_MIGUEL QU	NO	4967544125
304397	5/21/2013	ZSCR	551	030-1	NA	'015	A2C31556000	NA	A2C3156350093	48				1301	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	1474.08	S1_TG1C NISSAN_JAIME JI	NO	4967543659
304413	5/21/2013	ZSCR	551	030-1	NA	'015	A2C53345109	NA	A2C53402230	4				1301	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	173.68	S5_TG1C HONDA_MIGUEL QU	NO	4967541489
304414	5/21/2013	ZSCR	551	030-1	NA	'015	A2C53345109	NA	A2C8058490093	13				1301	circuit board assy TPM TOP	NA	HALB	S.Real	397.8	S5_TG1C HONDA_MIGUEL QU	NO	4967543739
304418	5/21/2013	ZSCR	551	030-1	NA	'015	A2C31556000	NA	A2C3156350093	7				1301	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	214.97	S1_TG1C NISSAN_JAIME JI	NO	4967543659
304457	5/22/2013	ZSCR	551	030-1	NA	'015	A2C53328412	NA	A2C53328412	5				1301	circuit board assy	NA	HALB	S.Real	439.65	S1_DCU_ADRIAN CEBALLOS	NO	4967543695
304458	5/22/2013	ZSCR	551	030-1	NA	'015	A2C53338452	NA	A2C53338452	1				1301	circuit board assy	NA	HALB	S.Real	59.64	S1_DCU_ADRIAN CEBALLOS	NO	4967543718
304459	5/22/2013	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	2				1342	circuit board assy	NA	HALB	S.Real	119.28	S1_DCU_ADRIAN CEBALLOS	NO	4967543869
