Folio	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
321126	04/07/2013	ZSCR	551	030-1	NA	'054	A2C81542800	NA	A2C81543200	1	1301	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2012_EDWIN RO	NO	4968773683
321301	05/07/2013	ZSCR	551	030-1	NA	'054	A2C81542700	NA	A2C81543200	1	1301	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2012_EDWIN RO	NO	4968773683
321406	05/07/2013	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	1301	pcb topSMD top	NA	HALB	S.Real	354.89	PS_SDM10_CAROLINA OTANE	NO	4968773647
321408	05/07/2013	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	1301	pcb topSMD top	NA	HALB	S.Real	354.89	PS_SDM10_CAROLINA OTANE	NO	4968773647
321622	06/07/2013	ZSCR	551	030-1	NA	'054	A2C81532800	NA	A2C8153280093	1	1301	pcb assy DAGARM3 V12 Top	NA	HALB	S.Real	282.5	PS_ARAMIS III_FERNANDO	NO	4968773748
321719	06/07/2013	ZSCR	551	030-1	NA	'054	A2C81542700	NA	A2C81543200	1	1301	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2012_EDWIN RO	NO	4968773683
321755	06/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10_CAROLINA OTANE	NO	4968773482
321769	06/07/2013	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	1301	pcb topSMD top	NA	HALB	S.Real	354.89	PS_SDM10_CAROLINA OTANE	NO	4968773647
321774	06/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10_CAROLINA OTANE	NO	4968773482
321987	07/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10+_CAROLINA OTAN	NO	4968773482
321989	07/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10+_CAROLINA OTAN	NO	4968773482
321991	07/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10+_CAROLINA OTAN	NO	4968773482
322016	07/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10+_CAROLINA OTAN	NO	4968773482
322033	07/07/2013	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	1301	pcb topSMD top	NA	HALB	S.Real	354.89	PS_SDM10+_CAROLINA OTAN	NO	4968773647
322034	07/07/2013	ZSCR	551	030-1	NA	'054	A2C83972000	NA	A2C8397200093	1	1301	pcb topSMD Top	NA	HALB	S.Real	383.46	PS_SDM10+_CAROLINA OTAN	NO	4968773482
