No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
364439	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44688	NA	A2C53397769	2	3011	054		1401	housing	NA	ROH	NA	45.08	PS_HONDA HRS5_.	NO	4971854444
364441	18/10/2013	ZSCR	551	040-1	NA	'054	5WK44567	NA	A2C53397780	1	3011	054		1401	COVER	NA	ROH	NA	3.59	PS_HONDA HRS5_.	NO	4971854340
366054	22/10/2013	ZSCR	551	030-1	NA	'054	A2C31080700	NA	A2C30816300	12	3011	054		1301	pcb SVI	NA	ROH	NA	185.76	PS_CHRYSLER MY2013_E.ED	NO	4971855160
366257	22/10/2013	ZSCR	551	034-2	NA	'054	A2C82735200	NA	A2C83145200	400	3011	054		1342	certification label identificati	NA	ROH	NA	120	PSAD_GM BRASIL_A.ANA TA	NO	4971855013
366258	22/10/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C40000022	4	3011	054		1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	28.08	PS_SDM10+_C.CAROLINA OT	NO	4971855488
366258	22/10/2013	ZSCR	551	034-2	NA	'054	A2C87075000	NA	A2C53338471	6	3011	054		1342	contact element	NA	ROH	NA	5.58	PS_SDM10+_C.CAROLINA OT	NO	4971855465
366258	22/10/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53395713	5	3011	054		1342	housing WIC P BK A-D	NA	ROH	NA	180.05	PS_SDM10+_C.CAROLINA OT	NO	4971855488
366259	22/10/2013	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	6	3011	054		1342	housing	NA	ROH	NA	135.24	PS_HONDA HRS6_J.JUAN CH	NO	4971854469
366259	22/10/2013	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	1	3011	054		1342	cover	NA	ROH	NA	3.59	PS_HONDA HRS6_J.JUAN CH	NO	4971854364
366260	22/10/2013	ZSCR	551	034-2	NA	'054	5WK44690	NA	A2C53397769	2	3011	054		1342	housing	NA	ROH	NA	45.08	PS_HONDA HRS6_J.JUAN CH	NO	4971854469
366260	22/10/2013	ZSCR	551	034-2	NA	'054	5WK44591	NA	A2C53397780	3	3011	054		1342	cover	NA	ROH	NA	10.77	PS_HONDA HRS6_J.JUAN CH	NO	4971854364
366261	22/10/2013	ZSCR	551	034-2	NA	'054	5WK44285	NA	A2C00027389	39	3011	054		1342	cover	NA	ROH	NA	108.03	PS_VW10 LC_U.ULISES VIL	NO	4971854236
366262	22/10/2013	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53424009	17	3011	054		1342	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	3.23	PS_CHRYSLER MY2013_E.ED	NO	4971854843
366262	22/10/2013	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53436156	4	3011	054		1342	cover RAP T BK	NA	ROH	NA	23.92	PS_CHRYSLER MY2013_E.ED	NO	4971854843
366263	22/10/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C40000022	5	3011	054		1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	35.1	PS_SDM10+_C.CAROLINA OT	NO	4971855488
