No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	apd	dfsdfsdf	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
332367	03/08/2013	MB1A	551	010-3	95000205	'073	NA	NA	A2C53185400	16	3011	073		1103	"housing bottom LOP 330,0x 180,0"	QN410097582	ROH	NA	850.56	410097582_SID913	NO	4971964344
332653	04/08/2013	MB1A	551	050-3	K96019	'073	A2C32782400	NA	A2C32782400	1	3011	073		1095	ECU SIMOS12 2 DI	NA	FERT	NA	842.44	ES_SIMOS 12.2_S.SAMUEL	NO	4971963606
336703	14/08/2013	MB1A	551	064-2	NA	'073	NA	NA	A2C53299618	1	3011	073		1642	AL Housing TOP	NA	ROH	NA	49.45	ES_V8 V10_A.ALVARO MEDI	NO	4971964446
336706	14/08/2013	ZSCR	551	040-1	NA	'073	5WY8930	NA	A2C53186083	1	3011	073		1401	multipoint connector 128P H 3SYS N2GY	NA	ROH	NA	30.32	ES_EMS 2208_A.ARTURO NE	NO	4971963417
339586	21/08/2013	MB1A	551	050-5	K96019	'073	NA	NA	A2C53184152	1958	3011	073		1095	"pan head screw SF-M4 x10,00 T20"	NA	ROH	NA	450.34	ES_ACM_A.ALVARO MEDINA-	NO	4971964115
342799	27/08/2013	MB1A	551	022-2	K96019	'073	NA	NA	A2C00011826	96	3011	073		1095	"15uH,30A,HOL,COIL/15uH Inductor"	NA	ROH	NA	1246.08	ES_SID913_H.HERIBERTO S	NO	4971964202
342799	27/08/2013	MB1A	551	022-2	K96019	'073	NA	NA	A2C00045699	72	3011	073		1095	"470uF,20%,50V,HOL,AL,ELEC CAP/EEUTZ1H471"	NA	ROH	NA	431.28	ES_SID913_H.HERIBERTO S	NO	4971964202
342799	27/08/2013	MB1A	551	022-2	K96019	'073	NA	NA	A2C00049085	192	3011	073		1095	"1000#F,20%,35V,HOL,OTHER,ELEC CAP/B41896"	NA	ROH	NA	1249.92	ES_SID913_H.HERIBERTO S	NO	4971964202
344597	31/08/2013	MB1A	551	064-2	NA	'073	NA	NA	6578527003	1	3011	073		1642	48 WAY CONNECTOR SEALED 2	NA	ROH	NA	50.75	ES_ECM_. (APROBACION A	NO	4971964446
346131	04/09/2013	MB1A	551	022-2	K96019	'073	NA	NA	A2C53182962	11	3011	073		1095	diaphragm	NA	ROH	NA	8.58	ES_SIMOS 18.2_S.SAMUEL	NO	4971964287
346131	04/09/2013	MB1A	551	022-2	K96019	'073	NA	NA	A2C53254094	11	3011	073		1095	spring	NA	ROH	NA	10.12	ES_SIMOS 18.2_S.SAMUEL	NO	4971964274
346312	04/09/2013	MB1A	551	93	NA	'073	NA	NA	A2C53299618	2	3011	073		1093	AL Housing TOP	NA	ROH	NA	98.9	ES_V8 V10_L.LUIS RAMIRE	NO	4971964318
349658	12/09/2013	ZSCR	551	034-2	NA	'073	5WY8906	NA	A2C53255998	1	3011	073		1342	multipoint connector 190P H 3SYS DCC	NA	ROH	NA	54.47	ES_V8 V10_A.ALVARO MEDI	NO	4971963400
