No.Item	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
343342	MB1A	551	064-2	NA	'054	NA	NA	A2C53108387	124	1642	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	23.56	PSAD_GM BRASIL_G.GERARD	NO	4972127097
343342	MB1A	551	064-2	NA	'054	NA	NA	A2C53408549	31	1642	housing D= 2	NA	ROH	NA	476.47	PSAD_GM BRASIL_G.GERARD	NO	4972127097
343342	MB1A	551	064-2	NA	'054	NA	NA	A2C53408690	31	1642	cover	NA	ROH	NA	131.44	PSAD_GM BRASIL_G.GERARD	NO	4972127097
343342	MB1A	551	064-2	NA	'054	NA	NA	A2C53417787	31	1642	pcb assy	NA	HALB	S.Real	4963.41	PSAD_GM BRASIL_G.GERARD	NO	4972127097
369175	MB1A	951	025-3	NA	'054	NA	NA	A2C53375496	14	1253	pcb assy DAGARM3 V04	VUG021101	HALB	S.Real	4464.46	PS_ARAMIS III_E.EDWIN R	NO	4972126545
369177	MB1A	951	025-3	NA	'054	NA	NA	A2C35116200	1	1253	pcb assy DAGSTAR2 D_3	VUG017761	HALB	S.Real	431.62	PSAD_DAIMLER STAR 2_A.A	NO	4972126571
369178	MB1A	951	025-3	NA	'054	NA	NA	A2C35116100	1	1253	pcb assy DAGSTAR2 D_2	VUG017761	HALB	S.Real	417.98	PSAD_DAIMLER STAR 2_A.A	NO	4972126571
370055	MB1A	551	034-2	K96019	'054	NA	NA	A2C83014200	1	1095	ACU OPLA3 10 300 AU/SN	NA	FERT	NA	264.87	PSAD_OPEL 3300_J.JOSE O	NO	4972127406
370056	MB1A	551	034-2	K96019	'054	NA	NA	A2C83021101	2	1095	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real/AutoBF	673.48	PSAD_ARMIN_J.JOSE ORTIZ	NO	4972126712
370078	MB1A	551	040-1	K96019	'054	NA	NA	A2C83377700	1	1095	pcb assy RCMT5 LR	NA	HALB	S.Real/AutoBF	482.36	PSAD_LAND ROVER_J.JOSE	NO	4972127135
370089	MB1A	551	030-1	K96019	'054	NA	NA	A2C8712890092	3	1095	pcb assy GMSDM30 bottom	NA	HALB	S.Real/AutoBF	261.39	PS_SDM30_C.CAROLINA OTA	NO	4972126606
370090	MB1A	551	030-1	K96019	'054	NA	NA	A2C8712890092	1	1095	pcb assy GMSDM30 bottom	NA	HALB	S.Real/AutoBF	87.13	PS_SDM30_C.CAROLINA OTA	NO	4972126606
