d	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
404444	1/24/2014	ZSCR	551	034-2	NA	'054	5WK44697	NA	5WK44697	1	1342	AIRBAG HONDA ACCORD 11 V14	NA	FERT	NA	346.69	PS_FIAT BRAZIL_E.EDWIN	NO	
404458	1/24/2014	ZSCR	551	040-1	NA	'054	5WK44682	NA	A2C80217700	1	1401	pcb assy HONHRS6 D_20	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
404481	1/24/2014	MB1A	551	022-2	K96019	'054	NA	NA	A2C85221401	3	1095	pcb assy DAGSM D_4	NA	HALB	S.Real	747.63	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
404495	1/24/2014	MB1A	551	040-1	B30301-00295	'054	NA	20	5WK43611	1	1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	499.05	PS_ARAMIS I_E.EDWIN ROD	NO	4974577385
404497	1/24/2014	MB1A	551	040-1	B30301-00295	'054	NA	20	5WK43611	1	1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	499.05	PS_ARAMIS I_E.EDWIN ROD	NO	4974577385
404523	1/24/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C83015600	8	1095	pin header 56/ 28P H 2R THP BK X-A	NA	ROH	NA	123.92	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
404696	1/25/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	3	1342	contact element	NA	ROH	NA	3.06	PS_SDM10+_C.CAROLINA OT	NO	
404853	1/25/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C35115900	12	1095	pcb 6-lay FR-4 main	NA	ROH	NA	302.64	PSAD_DAIMLER STAR 2_A.A	NO	4974577791
404917	1/25/2014	ZSCR	551	040-2	NA	'054	5WK44547	NA	6593831401	1	1402	WARNING LABEL c/d/i HONDA	NA	ROH	NA	1.11	PS_HONDA HRS6_J.JUAN CH	NO	
404931	1/25/2014	ZSCR	551	040-1	NA	'054	A2C83341100	NA	A2C8334140093	1	1401	pcb topSMD TOP	NA	HALB	S.Real	194.66	PS_SDM10+_C.CAROLINA OT	NO	
405017	1/25/2014	MB1A	551	070-2	NA	'054	NA	NA	A2C32509000	2	1702	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	274.66	PSAD_VW20_U.ULISES VILL	NO	4974578020
405033	1/25/2014	MB1A	551	070-2	NA	'054	NA	NA	A2C9257230092	4	1702	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	324.76	PS_SDM10+_C.CAROLINA OT	NO	4974578020
405206	1/27/2014	ZSCR	551	035-1	0	'054	A2C53243155B	NA	A2C00004070	2	1351	"R LIN,51K1,1%,TK100,125mW,0805"		ROH	NA	0.02	PS_ARAMIS II MCG_F.FERN	NO	
405206	1/27/2014	ZSCR	551	035-1	0	'054	A2C53298666B	NA	A2C00021084	1	1351	"R LIN,2K55,1%,TK100,63mW,0402"		ROH	NA	0.01	PS_ARAMIS II MCG_F.FERN	NO	
405212	1/27/2014	ZSCR	551	035-1	0	'054	A2C53108385	NA	A2C00022802	94	1351	"100nF,10%,50V,X7R,0603,TINNED,CER CAP/++"		ROH	NA	2.82	PS_ARAMIS I_G.GERARDO E	NO	
405212	1/27/2014	ZSCR	551	035-1	0	'054	A2C53108385	NA	A2C00031911	3	1351	"R LIN,2K55,1%,TK100,250mW,1206"		ROH	NA	0.09	PS_ARAMIS I_G.GERARDO E	NO	
405366	1/27/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	4974578322
405485	1/27/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	12	1342	contact element	NA	ROH	NA	12.24	PS_SDM10+_C.CAROLINA OT	NO	
405490	1/27/2014	MB1A	551	034-2	B30301-00295	'054	NA	19	5WK43611	3	1095	DCX ACU ARAMIS RT with side / RO	NA	FERT	NA	1497.15	PS_ARAMIS I_E.EDWIN ROD	NO	4974577385
405975	1/28/2014	ZSCR	551	040-2	NA	'054	A2C83972000	NA	A2C83972000	1	1402	pcb topSMD	NA	HALB	S.Real	361.65	PS_SDM10+_C.CAROLINA OT	NO	
405988	1/28/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C53408548	5	1095	"LSS*D7500CM 3,5X 10 A3K"	NA	ROH	NA	1.1	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
405988	1/28/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C82535400	1	1095	cover	NA	ROH	NA	3.37	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406410	1/29/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406412	1/29/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406413	1/29/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406415	1/29/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8254200093	1	1095	pcb assy OPLA4400 4401XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 3300_J.JOSE O	NO	4974577839
406427	1/29/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8253870093	1	1095	pcb assy OPLA4400 XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
406428	1/29/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C8253870093	1	1095	pcb assy OPLA4400 XESE lado top	NA	HALB	S.Real	187.84	PSAD_OPEL 4400_J.JOSE O	NO	4974577940
